striker,batting_team,num_innings,runs,balls,outs,fours,sixes,dots,ones,twos,threes,strike_rate,balls_per_dismissal,bat_avg,bpb,dot_%,30+_scores,50+_scores,100+_scores
N Pooran,MI,14,724,434,9,57,31,97,215,34,9,166.82,48.22,80.44,4.93,22.35,12,7,0
GJ Maxwell,RR,15,709,383,10,59,35,71,198,25,5,185.12,38.3,70.9,4.07,18.54,9,6,1
BM Duckett,SRH,10,620,361,8,46,25,71,179,49,3,171.75,45.12,77.5,5.08,19.67,7,6,1
DP Conway,GT,14,620,386,14,65,18,109,167,29,9,160.62,27.57,44.29,4.65,28.24,8,5,1
KL Rahul,SRH,14,619,397,6,50,23,93,197,36,4,155.92,66.17,103.17,5.44,23.43,9,7,0
RD Gaikwad,RCB,14,601,378,13,55,21,98,177,30,6,158.99,29.08,46.23,4.97,25.93,8,6,0
V Kohli,DC,14,593,354,11,51,24,83,166,32,5,167.51,32.18,53.91,4.72,23.45,8,5,1
SS Iyer,LSG,14,588,369,13,48,23,93,185,23,9,159.35,28.38,45.23,5.2,25.2,9,5,0
SV Samson,GT,14,587,377,13,51,20,103,165,37,8,155.7,29.0,45.15,5.31,27.32,8,6,0
Abhishek Sharma,MI,15,565,333,11,54,21,83,156,20,9,169.67,30.27,51.36,4.44,24.92,7,5,0
RD Rickelton,RR,15,553,348,15,47,25,109,131,33,6,158.91,23.2,36.87,4.83,31.32,10,3,0
SA Yadav,DC,15,548,313,12,51,21,65,157,20,7,175.08,26.08,45.67,4.35,20.77,7,5,0
PP Shaw,MI,15,546,363,14,59,14,114,149,31,5,150.41,25.93,39.0,4.97,31.4,8,5,0
AM Rahane,KKR,14,537,368,12,47,19,115,163,24,8,145.92,30.67,44.75,5.58,31.25,8,5,1
PD Salt,RCB,13,536,324,13,51,23,99,129,22,7,165.43,24.92,41.23,4.38,30.56,7,4,0
Shubman Gill,LSG,14,534,338,12,46,22,101,139,29,7,157.99,28.17,44.5,4.97,29.88,9,4,1
Naman Dhir,GT,13,513,311,8,35,19,52,171,26,12,164.95,38.88,64.12,5.76,16.72,7,5,0
P Simran Singh,SRH,15,502,316,15,42,21,92,138,23,8,158.86,21.07,33.47,5.02,29.11,8,3,0
JC Buttler,KKR,14,483,299,14,51,18,103,120,18,5,161.54,21.36,34.5,4.33,34.45,8,5,0
Tilak Varma,CSK,14,464,286,12,46,19,97,113,16,7,162.24,23.83,38.67,4.4,33.92,6,5,0
TM Head,CSK,14,457,314,13,50,12,103,135,22,2,145.54,24.15,35.15,5.06,32.8,6,4,0
Abishek Porel,DC,13,441,240,10,38,24,65,96,23,1,183.75,24.0,44.1,3.87,27.08,6,3,0
S Dube,RR,13,439,273,10,30,24,81,124,18,5,160.81,27.3,43.9,5.06,29.67,8,2,0
Q de Kock,PBKS,13,430,271,12,33,23,89,110,16,6,158.67,22.58,35.83,4.84,32.84,6,4,0
F du Plessis,CSK,14,415,334,13,27,15,119,144,29,5,124.25,25.69,31.92,7.95,35.63,6,4,1
Ishan Kishan,KKR,14,398,261,14,41,18,106,86,11,6,152.49,18.64,28.43,4.42,40.61,7,2,0
YBK Jaiswal,RR,15,397,233,11,30,20,60,95,25,4,170.39,21.18,36.09,4.66,25.75,7,3,0
Smaran Ravichandran,PBKS,11,388,228,9,27,15,53,91,30,13,170.18,25.33,43.11,5.43,23.25,6,3,0
VR Iyer,SRH,12,387,256,7,38,15,76,119,10,2,151.17,36.57,55.29,4.83,29.69,5,2,0
RM Patidar,RR,15,383,260,14,30,18,83,120,16,1,147.31,18.57,27.36,5.42,31.92,6,2,0
RR Rossouw,MI,11,356,222,9,28,13,57,108,20,6,160.36,24.67,39.56,5.41,25.68,5,5,0
T Stubbs,CSK,8,356,224,6,26,16,55,123,12,3,158.93,37.33,59.33,5.33,24.55,6,4,0
H Klaasen,PBKS,14,346,225,8,28,14,59,111,18,1,153.78,28.12,43.25,5.36,26.22,6,2,0
B Sai Sudharsan,RCB,12,344,246,11,21,19,87,103,17,3,139.84,22.36,31.27,6.15,35.37,5,2,0
R Powell,KKR,13,334,193,9,24,21,58,79,12,3,173.06,21.44,37.11,4.29,30.05,7,1,0
N Sindhu,DC,12,332,187,11,23,20,55,71,14,7,177.54,17.0,30.18,4.35,29.41,5,2,0
RG Sharma,PBKS,14,331,237,13,34,11,88,95,11,4,139.66,18.23,25.46,5.27,37.13,5,1,0
Urvil Patel,DC,15,316,214,11,22,13,65,88,19,8,147.66,19.45,28.73,6.11,30.37,5,1,0
RK Singh,RCB,13,307,196,7,23,12,48,99,19,2,156.63,28.0,43.86,5.6,24.49,4,1,0
SP Narine,LSG,8,281,167,6,17,17,50,66,21,1,168.26,27.83,46.83,4.91,29.94,4,2,0
KA Pollard,CSK,11,238,154,5,17,13,50,68,6,4,154.55,30.8,47.6,5.13,32.47,2,1,0
BA Stokes,LSG,12,236,174,10,18,11,71,68,9,4,135.63,17.4,23.6,6.0,40.8,2,2,0
JP Inglis,GT,7,233,143,4,14,12,40,56,20,3,162.94,35.75,58.25,5.5,27.97,3,2,0
