team,matches_played,points,#Won,#Lost,NRR
SRH,14,18,9,5,0.43051521460227526
DC,14,18,9,5,0.23698076269222668
RR,14,16,8,6,0.26503710170231365
MI,14,16,8,6,-0.04809405220679075
CSK,14,16,8,6,-0.22542468667930038
GT,14,12,6,8,0.04767726161369268
LSG,14,12,6,8,0.02705182346829993
RCB,14,12,6,8,-0.0008032128514070536
PBKS,14,10,5,9,-0.03280776228016968
KKR,14,10,5,9,-0.6856062062743131
