team,matches_played,points,#Won,#Lost,NRR
CSK,14,20,10,4,0.8768450027526145
PBKS,14,18,9,5,0.9175783954673893
SRH,14,16,8,6,0.311832684336137
LSG,14,16,8,6,-0.006627460739499824
KKR,14,16,8,6,-0.009708856580379788
DC,14,14,7,7,0.5046884808969452
GT,14,14,7,7,-0.45548689740922477
RR,14,10,5,9,-0.27126309657389136
MI,14,10,5,9,-0.6618998955455382
RCB,14,6,3,11,-1.1862260091648338
