bowling_team,phase,wkts,eco,SR
CSK,Death,4,16.17,18.0
CSK,Middle,9,8.33,18.0
CSK,PP,4,12.06,27.0
DC,Death,6,11.92,13.33
DC,Middle,4,9.48,40.5
DC,PP,6,9.39,18.0
GT,Death,8,10.8,11.25
GT,Middle,8,7.59,20.25
GT,PP,4,10.61,27.0
KKR,Death,2,14.19,31.5
KKR,Middle,7,8.78,23.14
KKR,PP,3,11.06,36.0
LSG,Middle,6,11.15,27.0
LSG,PP,4,10.22,27.0
LSG,Death,9,9.89,9.78
MI,Death,4,13.1,21.75
MI,Middle,4,9.07,40.5
MI,PP,5,10.56,21.6
PBKS,Death,9,12.63,9.56
PBKS,Middle,8,8.41,20.25
PBKS,PP,4,7.72,27.0
RCB,Death,4,12.29,15.75
RCB,Middle,2,8.3,81.0
RCB,PP,8,10.22,13.5
RR,Death,8,11.67,11.25
RR,Middle,8,9.04,20.25
RR,PP,7,9.78,15.43
SRH,Middle,9,7.48,18.0
SRH,Death,8,10.28,10.0
SRH,PP,7,9.61,15.43
