player,team,#catches,#runout/stumping
Abishek Porel,LSG,3,0
R Parag,GT,3,0
GF Linde,GT,2,0
DR Mousley,LSG,2,0
LS Livingstone,PBKS,2,0
Mohammad Amir,LSG,2,0
Naman Tiwari,CSK,2,0
Tanush Kotian,CSK,2,0
JC Archer,DC,2,0
Ishan Kishan,KKR,2,0
HV Patel,PBKS,2,0
Sonu Yadav,CSK,2,0
Tripuresh Singh,SRH,2,0
RA Jadeja,CSK,2,0
C Green,KKR,2,0
V Nigam,GT,2,1
Aniket Verma,RR,2,0
WG Jacks,RR,2,0
RD Rickelton,RR,2,0
YBK Jaiswal,RR,2,0
Shubhang Hegde,LSG,1,0
SA Yadav,DC,1,0
SH Johnson,KKR,1,0
Sameer Rizvi,LSG,1,0
Shashank Singh,PBKS,1,0
AD Russell,DC,1,0
TP Ura,PBKS,1,0
Shubman Gill,LSG,1,0
Sufiyan Muqeem,GT,1,0
Sunil Kumar,MI,1,0
T Stubbs,CSK,1,1
TL Seifert,PBKS,1,0
Ritik Vats,DC,1,0
Tarang Gohel,DC,1,0
Utkarsh Singh,RR,1,0
VR Iyer,SRH,1,0
WL Madsen,MI,1,0
Rohan Kunnummal,MI,1,0
PD Salt,PBKS,1,0
Rishabh Chouhan,GT,1,0
Rasikh Salam,SRH,1,0
Abhishek Pathak,RCB,1,0
Abhishek Sharma,MI,1,0
Akshat Raghuwanshi,MI,1,0
Atharva Ankolekar,RR,1,0
B Kumar,KKR,1,0
CV Varun,PBKS,1,0
D Brevis,GT,1,0
H Ssenyondo,LSG,1,0
JC Buttler,DC,1,0
JJ Bumrah,DC,1,0
JM Sharma,RCB,1,0
JP Inglis,GT,1,0
Jay Gohil,MI,1,0
KL Rahul,SRH,1,0
M Pathirana,CSK,1,0
M Siddharth,GT,1,0
MP Yadav,KKR,1,0
N Sindhu,DC,1,0
AM Hardie,CSK,1,0
PWH de Silva,RCB,1,0
RD Gaikwad,CSK,1,0
Yash Singh,RCB,1,0
Chirag Jani,RCB,0,1
D Padikkal,RR,0,1
Karan Shinde,SRH,0,1
NT Ellis,SRH,0,1
Tilak Varma,CSK,0,1
V Suryavanshi,PBKS,0,1
