team,matches_played,points,#Won,#Lost,NRR,Recent Form (Latest first)
RR,3,6,3,0,0.8981,Www
GT,3,6,3,0,0.7395,wWW
SRH,3,4,2,1,0.7054,wLW
PBKS,3,4,2,1,0.7,LwW
DC,3,4,2,1,0.3577,wlW
MI,3,4,2,1,0.2006,wWL
LSG,3,2,1,2,0.0082,LWl
KKR,3,0,0,3,-0.914,Lll
RCB,3,0,0,3,-0.9964,LLl
CSK,3,0,0,3,-1.7588,lll
