striker,batting_team,num_innings,strike_rate,runs,outs
AR Patel,PBKS,2,247.62,52,1
VR Iyer,SRH,3,233.33,56,2
Ajay Rohera,LSG,3,226.32,86,3
Shubman Gill,LSG,3,225.0,54,3
DR Mousley,LSG,3,215.22,99,1
GJ Maxwell,DC,3,209.52,132,3
Urvil Patel,MI,3,206.67,124,3
Parth Chandan,DC,2,203.7,55,0
Sameer Rizvi,LSG,3,203.57,114,2
R Parag,GT,3,202.04,99,1
Akhil Singh Rawat,KKR,2,197.06,67,1
JP Inglis,GT,3,196.15,51,3
V Suryavanshi,PBKS,3,195.24,82,3
Aniket Verma,RR,3,193.65,122,3
S Arora,KKR,1,191.84,94,1
Naman Dhir,GT,3,187.5,105,3
Akshat Raghuwanshi,MI,1,185.29,63,1
S Dube,RR,2,183.56,134,2
Abhishek Pathak,RCB,3,182.93,150,2
SP Narine,SRH,3,178.57,75,1
HH Pandya,LSG,3,176.19,74,2
C Green,KKR,3,176.19,74,3
Shashank Singh,PBKS,3,174.19,108,0
Tilak Varma,CSK,3,173.42,137,3
Kartik Sharma,SRH,3,172.55,88,3
WG Jacks,RR,2,170.49,104,1
AD Russell,DC,3,170.37,92,2
Tanush Kotian,CSK,2,166.67,55,2
KK Nair,CSK,3,164.38,120,2
N Sindhu,DC,3,162.86,114,3
KA Pollard,RR,1,160.47,69,1
Ishan Kishan,KKR,3,160.0,104,3
FH Allen,SRH,3,158.97,124,3
CH Gayle,RCB,3,158.33,95,3
MJ Owen,MI,2,157.55,167,1
PD Salt,PBKS,3,156.06,103,3
Vansh Bedi,PBKS,3,153.49,66,3
SA Yadav,DC,3,150.0,69,3
SV Samson,GT,3,147.37,140,2
Abhishek Sharma,MI,3,146.74,135,2
JM Sharma,RCB,3,144.9,71,2
TM Head,KKR,3,144.64,81,3
JC Buttler,DC,2,142.86,50,1
V Kohli,LSG,3,140.79,107,3
Chirag Jani,RCB,3,138.89,50,2
D Padikkal,RR,3,133.33,60,2
TL Seifert,PBKS,3,132.69,69,3
RD Gaikwad,CSK,2,131.25,84,2
D Brevis,GT,3,125.25,124,2
Karan Shinde,SRH,3,111.43,78,2
