striker,batting_team,num_innings,runs,balls,outs,fours,sixes,dots,strike_rate,balls_per_dismissal,bat_avg,bpb,dot_%,points,high_score,30s-50s-100s,strike_rotations
MJ Owen,MI,2,167,106,1,18,4,28,157.55,106.0,167.0,4.82,26.42,216.3,105* (65),2-2-1,60
Abhishek Pathak,RCB,3,150,82,2,11,7,16,182.93,41.0,75.0,4.56,19.51,192.47,112* (53),2-1-1,50
SV Samson,GT,3,140,95,2,15,3,28,147.37,47.5,70.0,5.28,29.47,164.47,99* (58),2-1-0,49
Tilak Varma,CSK,3,137,79,3,13,5,18,173.42,26.33,45.67,4.39,22.78,171.85,86 (47),2-1-0,45
Abhishek Sharma,MI,3,135,92,2,9,4,14,146.74,46.0,67.5,7.08,15.22,166.05,58* (42),3-1-0,67
S Dube,RR,2,134,73,2,8,7,12,183.56,36.5,67.0,4.87,16.44,182.93,71 (38),2-2-0,50
GJ Maxwell,DC,3,132,63,3,19,4,20,209.52,21.0,44.0,2.74,31.75,187.21,54 (22),3-1-0,24
Urvil Patel,MI,3,124,60,3,14,5,12,206.67,20.0,41.33,3.16,20.0,185.16,68 (37),2-1-0,29
FH Allen,SRH,3,124,78,3,13,4,28,158.97,26.0,41.33,4.59,35.9,149.09,63 (36),2-1-0,35
D Brevis,GT,3,124,99,2,9,5,36,125.25,49.5,62.0,7.07,36.36,139.38,74* (52),2-1-0,51
Aniket Verma,RR,3,122,63,3,19,2,14,193.65,21.0,40.67,3.0,22.22,177.41,54 (23),3-1-0,29
KK Nair,CSK,3,120,73,2,9,6,12,164.38,36.5,60.0,4.87,16.44,166.09,50 (27),2-1-0,46
Sameer Rizvi,LSG,3,114,56,2,13,3,6,203.57,28.0,57.0,3.5,10.71,185.39,90* (40),1-1-0,34
N Sindhu,DC,3,114,70,3,10,5,18,162.86,23.33,38.0,4.67,25.71,150.38,76 (44),1-1-0,40
Shashank Singh,PBKS,3,108,62,0,6,6,11,174.19,inf,inf,5.17,17.74,175.62,51* (29),2-1-0,39
V Kohli,LSG,3,107,76,3,15,1,31,140.79,25.33,35.67,4.75,40.79,126.86,48 (47),2-0-0,33
Naman Dhir,GT,3,105,56,3,11,6,18,187.5,18.67,35.0,3.29,32.14,157.25,57 (35),1-1-0,22
WG Jacks,RR,2,104,61,1,7,6,18,170.49,61.0,104.0,4.69,29.51,165.45,95* (49),1-1-0,31
Ishan Kishan,KKR,3,104,65,3,12,2,17,160.0,21.67,34.67,4.64,26.15,141.92,74 (45),1-1-0,36
PD Salt,PBKS,3,103,66,3,10,5,27,156.06,22.0,34.33,4.4,40.91,132.35,52 (30),2-1-0,26
DR Mousley,LSG,3,99,46,1,12,4,11,215.22,46.0,99.0,2.88,23.91,188.13,47 (25),1-0-0,23
R Parag,GT,3,99,49,1,7,5,7,202.04,49.0,99.0,4.08,14.29,182.95,41* (22),2-0-0,32
CH Gayle,RCB,3,95,60,3,9,3,23,158.33,20.0,31.67,5.0,38.33,127.42,73 (45),1-1-0,27
S Arora,KKR,1,94,49,1,8,4,11,191.84,49.0,94.0,4.08,22.45,170.2,94 (49),1-1-0,27
AD Russell,DC,3,92,54,2,4,7,15,170.37,27.0,46.0,4.91,27.78,142.7,40 (31),2-0-0,29
Kartik Sharma,SRH,3,88,51,3,4,4,8,172.55,17.0,29.33,6.38,15.69,140.2,56 (34),1-1-0,35
Ajay Rohera,LSG,3,86,38,3,14,3,9,226.32,12.67,28.67,2.24,23.68,175.61,48 (22),1-0-0,12
RD Gaikwad,CSK,2,84,64,2,7,3,25,131.25,32.0,42.0,6.4,39.06,111.25,76 (59),1-1-0,30
V Suryavanshi,PBKS,3,82,42,3,10,1,7,195.24,14.0,27.33,3.82,16.67,151.71,63 (29),1-1-0,25
TM Head,KKR,3,81,56,3,9,1,16,144.64,18.67,27.0,5.6,28.57,116.69,40 (21),1-0-0,31
Karan Shinde,SRH,3,78,70,2,3,2,25,111.43,35.0,39.0,14.0,35.71,96.11,36 (41),2-0-0,42
SP Narine,SRH,3,75,42,1,3,4,10,178.57,42.0,75.0,6.0,23.81,144.58,34* (22),2-0-0,26
C Green,KKR,3,74,42,3,5,4,6,176.19,14.0,24.67,4.67,14.29,137.48,43 (23),1-0-0,27
HH Pandya,LSG,3,74,42,2,8,2,9,176.19,21.0,37.0,4.2,21.43,137.64,54* (28),1-1-0,24
JM Sharma,RCB,3,71,49,2,6,2,17,144.9,24.5,35.5,6.12,34.69,110.06,35* (19),1-0-0,25
KA Pollard,RR,1,69,43,1,6,2,12,160.47,43.0,69.0,5.38,27.91,131.28,69 (43),1-1-0,25
SA Yadav,DC,3,69,46,3,6,3,15,150.0,15.33,23.0,5.11,32.61,110.38,36 (25),2-0-0,23
TL Seifert,PBKS,3,69,52,3,6,1,14,132.69,17.33,23.0,7.43,26.92,102.09,55 (37),1-1-0,32
Akhil Singh Rawat,KKR,2,67,34,1,6,5,13,197.06,34.0,67.0,3.09,38.24,146.27,34* (23),2-0-0,11
