bowler,bowling_team,num_innings,dots,balls,dot_%
Mohammad Amir,LSG,3,28,72,38.89
Sufiyan Muqeem,GT,3,27,72,37.5
A Zampa,SRH,3,26,72,36.11
Shashank Singh,PBKS,3,24,72,33.33
CV Varun,PBKS,3,23,72,31.94
SM Curran,RR,3,23,72,31.94
GF Linde,GT,3,20,72,27.78
Chirag Jani,RCB,3,19,66,28.79
Atharva Ankolekar,RR,3,19,72,26.39
Tripuresh Singh,SRH,2,18,48,37.5
M Siddharth,GT,2,18,48,37.5
AD Russell,DC,3,18,62,29.03
Rasikh Salam,SRH,3,18,68,26.47
V Nigam,GT,3,17,72,23.61
KA Maharaj,RCB,2,16,37,43.24
AR Patel,PBKS,2,16,42,38.1
NT Ellis,SRH,2,16,48,33.33
Tanush Kotian,CSK,3,16,66,24.24
Prashant Solanki,CSK,3,16,72,22.22
SP Narine,SRH,3,16,72,22.22
Parth Chandan,DC,2,15,48,31.25
Abhilash Shetty,MI,2,15,48,31.25
RE van der Merwe,CSK,2,14,48,29.17
Shahbaz Ahmed,KKR,3,14,72,19.44
JJ Bumrah,DC,2,13,48,27.08
C Green,KKR,2,13,48,27.08
PWH de Silva,RCB,3,13,66,19.7
M Markande,SRH,1,12,24,50.0
H Ssenyondo,LSG,1,12,24,50.0
SH Johnson,KKR,2,12,42,28.57
C Sakariya,RR,2,12,48,25.0
HH Pandya,LSG,2,12,48,25.0
HV Patel,PBKS,3,12,68,17.65
T Natarajan,RR,1,11,24,45.83
Mohammad Ghazanfar,RR,1,11,24,45.83
JR Hazlewood,MI,2,11,48,22.92
S Gill,RCB,1,10,18,55.56
Tanay Thyagarajan,CSK,1,10,24,41.67
Junaid Siddique,RR,1,10,24,41.67
Ravi Teja,PBKS,1,10,24,41.67
Gurnoor Brar,DC,2,10,42,23.81
AR Ramjani,PBKS,2,10,42,23.81
B Kumar,KKR,2,10,47,21.28
Ashutosh Sharma,GT,2,10,48,20.83
Praveen Dubey,MI,2,10,48,20.83
KH Pandya,SRH,1,9,18,50.0
V Puthur,RCB,1,9,22,40.91
S Lamichhane,MI,1,9,24,37.5
JJ Smit,PBKS,1,9,24,37.5
Sunil Kumar,MI,1,9,24,37.5
DR Mousley,LSG,2,9,42,21.43
JC Archer,DC,2,9,42,21.43
Shivam Shukla,MI,2,9,48,18.75
Ashwin Das,LSG,2,9,48,18.75
JA Duffy,LSG,1,8,22,36.36
DS Airee,DC,1,8,24,33.33
Naman Tiwari,CSK,1,8,24,33.33
DS Rathi,LSG,1,8,24,33.33
Sonu Yadav,CSK,1,8,24,33.33
Suryansh Shedge,KKR,1,7,18,38.89
R Sai Kishore,GT,1,7,24,29.17
Washington Sundar,RCB,1,7,24,29.17
Harsh Dubey,DC,1,7,24,29.17
AM Hardie,CSK,1,6,6,100.0
D Forrester,MI,1,6,21,28.57
Arshdeep Singh,LSG,1,6,24,25.0
Karan Lal,RR,1,6,24,25.0
Akash Vasisht,DC,1,6,24,25.0
Siddhesh Veer,MI,1,6,24,25.0
MP Yadav,KKR,1,5,18,27.78
J Overton,RR,1,5,24,20.83
Utkarsh Singh,RR,1,5,24,20.83
D Wiese,KKR,1,5,24,20.83
SS Ghosh,RCB,1,4,18,22.22
RA Jadeja,CSK,1,4,18,22.22
MJ Owen,MI,1,4,24,16.67
MA Starc,MI,1,4,24,16.67
Mohammed Shami,MI,1,4,24,16.67
HB Shipley,LSG,1,4,24,16.67
Geet Puri,CSK,2,4,36,11.11
Pulkit Narang,KKR,2,4,40,10.0
LS Livingstone,PBKS,1,3,12,25.0
Yash Singh,RCB,1,3,18,16.67
Rashid Khan,RCB,1,3,18,16.67
HJ Manenti,RCB,1,3,22,13.64
KA Pollard,RR,1,3,24,12.5
Shubhang Hegde,LSG,2,3,30,10.0
Kranthi Kumar,CSK,1,2,12,16.67
CH Gayle,RCB,1,2,12,16.67
GJ Maxwell,DC,2,2,12,16.67
Fazalhaq Farooqi,GT,1,2,24,8.33
AK Markram,DC,1,2,24,8.33
Noor Ahmad,KKR,1,1,24,4.17
