team,highest_batting_total,best_bowling_performance
CSK,207-2 (120) vs LSG in S09M010,209-6 (120) vs PBKS in S09M005
DC,210-8 (118) vs LSG in S09M002,209-5 (120) vs LSG in S09M002
GT,196-3 (115) vs RCB in S09M003,189-7 (120) vs KKR in S09M007
KKR,189-7 (120) vs GT in S09M007,174-6 (108) vs SRH in S09M001
LSG,211-6 (102) vs CSK in S09M010,210-8 (118) vs DC in S09M002
MI,215-7 (120) vs RR in S09M004,187-5 (120) vs DC in S09M006
PBKS,209-6 (120) vs CSK in S09M005,166-10 (116) vs CSK in S09M005
RCB,190-5 (120) vs GT in S09M003,196-5 (112) vs RR in S09M008
RR,218-3 (117) vs MI in S09M004,190-9 (120) vs RCB in S09M008
SRH,196-5 (120) vs PBKS in S09M009,173-7 (120) vs KKR in S09M001
