match_id,innings,runs,balls,SR,post_1st_strike_score,exit_pt_score,win,PP_perf,Middle_perf,Death_perf,batter,team,team_total,pitch
S09M006,2,58,42,138.1,25-1(3.0),,1,10 off 11,39 off 23,9 off 8,Abhishek Sharma,MI,1-191 (114),pace
S09M002,1,22,9,244.44,10-1(0.5),35-2(3.3),0,22 off 9,,,Ajay Rohera,LSG,5-209 (120),spin
S09M010,2,16,7,228.57,66-1(4.5),100-3(7.3),1,4 off 2,12 off 5,,Ajay Rohera,LSG,6-211 (102),pace
S09M014,2,48,22,218.18,9-1(0.5),84-3(7.1),0,41 off 17,7 off 5,,Ajay Rohera,LSG,10-189 (116),pace
S09M010,1,76,59,128.81,1-0(0.1),162-1(17.2),0,16 off 22,48 off 29,12 off 8,RD Gaikwad,CSK,2-207 (120),pace
S09M013,2,8,5,160.0,1-0(0.1),13-1(1.1),0,8 off 5,,,RD Gaikwad,CSK,7-192 (120),spin
S09M005,1,63,29,217.24,5-0(0.2),102-3(10.0),1,52 off 18,11 off 11,,V Suryavanshi,PBKS,6-209 (120),spin
S09M009,1,15,9,166.67,67-1(6.1),85-2(8.3),1,,15 off 9,,V Suryavanshi,PBKS,7-199 (120),pace
S09M015,2,4,4,100.0,46-1(4.0),55-2(5.1),0,4 off 4,,,V Suryavanshi,PBKS,8-184 (120),spin
S09M001,2,63,36,175.0,2-0(0.3),96-3(10.0),1,50 off 25,13 off 11,,FH Allen,SRH,6-174 (108),pace
S09M009,2,19,17,111.76,2-0(0.2),37-2(5.3),0,19 off 17,,,FH Allen,SRH,5-196 (120),pace
S09M001,1,1,2,50.0,1-0(0.1),5-1(0.5),0,1 off 2,,,Ishan Kishan,KKR,7-173 (120),pace
S09M007,1,74,45,164.44,4-0(0.1),157-6(17.5),0,35 off 18,34 off 23,5 off 4,Ishan Kishan,KKR,7-189 (120),spin
S09M002,1,0,1,0.0,156-5(16.5),156-5(16.5),0,,,0 off 1,HH Pandya,LSG,5-209 (120),spin
S09M010,2,54,28,192.86,101-4(7.5),,1,,39 off 21,15 off 7,HH Pandya,LSG,6-211 (102),pace
S09M014,2,20,13,153.85,123-4(12.0),148-6(15.0),0,,20 off 13,,HH Pandya,LSG,10-189 (116),pace
S09M001,2,18,11,163.64,83-2(8.2),110-5(12.1),1,,18 off 11,,Kartik Sharma,SRH,6-174 (108),pace
S09M009,2,56,34,164.71,37-2(5.4),130-4(16.2),0,0 off 3,49 off 26,7 off 5,Kartik Sharma,SRH,5-196 (120),pace
S09M004,2,69,43,160.47,49-2(4.4),203-3(18.5),1,1 off 3,40 off 26,28 off 14,KA Pollard,RR,3-218 (117),pace
S09M002,2,36,25,144.0,41-1(2.4),133-6(13.1),1,16 off 11,20 off 14,,SA Yadav,DC,8-210 (118),spin
S09M006,1,2,2,100.0,24-1(2.5),24-2(3.0),0,2 off 2,,,SA Yadav,DC,5-187 (120),pace
S09M014,1,31,19,163.16,73-2(5.4),139-3(11.4),1,0 off 3,31 off 16,,SA Yadav,DC,9-220 (120),pace
S09M005,1,7,8,87.5,75-1(6.0),89-2(8.2),1,2 off 1,5 off 7,,TL Seifert,PBKS,6-209 (120),spin
S09M009,1,55,37,148.65,1-0(0.2),129-4(13.5),1,32 off 17,23 off 20,,TL Seifert,PBKS,7-199 (120),pace
S09M015,2,7,7,100.0,15-0(1.1),46-1(3.5),0,7 off 7,,,TL Seifert,PBKS,8-184 (120),spin
S09M001,1,34,23,147.83,93-5(11.2),,0,,6 off 12,28 off 11,Akhil Singh Rawat,KKR,7-173 (120),pace
S09M007,1,33,11,300.0,139-5(16.3),173-7(18.3),0,,,33 off 11,Akhil Singh Rawat,KKR,7-189 (120),spin
S09M005,1,14,13,107.69,89-2(8.3),118-4(12.3),1,,14 off 13,,Vansh Bedi,PBKS,6-209 (120),spin
S09M009,1,5,3,166.67,86-2(8.4),96-3(9.4),1,,5 off 3,,Vansh Bedi,PBKS,7-199 (120),pace
S09M015,2,47,27,174.07,61-2(5.2),129-4(13.3),0,12 off 3,35 off 24,,Vansh Bedi,PBKS,8-184 (120),spin
S09M004,1,63,34,185.29,99-4(10.2),210-7(19.1),0,,42 off 23,21 off 11,Akshat Raghuwanshi,MI,7-215 (120),pace
S09M003,1,35,19,184.21,115-4(12.5),,0,,15 off 9,20 off 10,JM Sharma,RCB,5-190 (120),spin
S09M008,1,28,20,140.0,43-4(3.3),93-5(9.2),0,5 off 8,23 off 12,,JM Sharma,RCB,9-190 (120),pace
S09M004,2,8,2,400.0,207-3(19.0),,1,,,8 off 2,D Padikkal,RR,3-218 (117),pace
S09M008,2,10,7,142.86,159-4(16.4),190-5(18.3),1,,,10 off 7,D Padikkal,RR,5-196 (112),pace
S09M013,1,42,36,116.67,10-1(1.2),116-3(13.1),1,12 off 14,30 off 22,,D Padikkal,RR,5-217 (120),spin
S09M001,2,0,1,0.0,103-4(10.3),103-4(10.3),1,,0 off 1,,VR Iyer,SRH,6-174 (108),pace
S09M009,2,56,22,254.55,111-3(14.0),,0,,7 off 5,49 off 17,VR Iyer,SRH,5-196 (120),pace
S09M005,2,1,3,33.33,132-4(14.0),133-5(14.2),0,,1 off 3,,Tanush Kotian,CSK,10-166 (116),spin
S09M013,2,54,30,180.0,55-2(4.4),128-3(13.5),0,12 off 7,42 off 23,,Tanush Kotian,CSK,7-192 (120),spin
S09M002,1,5,3,166.67,4-0(0.1),6-1(0.4),0,5 off 3,,,Shubman Gill,LSG,5-209 (120),spin
S09M010,2,41,17,241.18,0-0(0.1),66-1(4.4),1,41 off 17,,,Shubman Gill,LSG,6-211 (102),pace
S09M014,2,8,4,200.0,0-0(0.1),8-1(0.4),0,8 off 4,,,Shubman Gill,LSG,10-189 (116),pace
S09M005,1,26,7,371.43,173-6(18.0),,1,,,26 off 7,AR Patel,PBKS,6-209 (120),spin
S09M015,2,26,14,185.71,141-5(15.2),175-6(18.4),0,,,26 off 14,AR Patel,PBKS,8-184 (120),spin
S09M003,2,6,2,300.0,7-0(0.3),7-1(0.4),1,6 off 2,,,JP Inglis,GT,3-196 (115),spin
S09M007,2,45,23,195.65,16-1(1.0),91-3(8.5),1,38 off 17,7 off 6,,JP Inglis,GT,3-193 (107),spin
S09M015,1,0,1,0.0,5-1(0.3),5-1(0.3),1,0 off 1,,,JP Inglis,GT,6-188 (120),spin
S09M006,1,36,29,124.14,105-4(11.3),,0,,14 off 13,22 off 16,JC Buttler,DC,5-187 (120),pace
S09M014,1,14,6,233.33,143-3(11.5),176-4(14.2),1,,14 off 6,,JC Buttler,DC,9-220 (120),pace
