bowler,bowling_team,num_innings,economy,balls,wkts
M Markande,SRH,1,5.0,24,3
Tanay Thyagarajan,CSK,1,5.0,24,2
H Ssenyondo,LSG,1,6.0,24,2
Akash Vasisht,DC,1,6.25,24,0
AR Patel,PBKS,2,6.29,42,1
Sunil Kumar,MI,1,6.5,24,0
A Zampa,SRH,3,6.67,72,5
T Natarajan,RR,1,7.0,24,3
Arshdeep Singh,LSG,1,7.25,24,2
Tripuresh Singh,SRH,2,7.5,48,2
DS Airee,DC,1,7.5,24,2
Utkarsh Singh,RR,1,7.75,24,0
HV Patel,PBKS,3,7.85,68,4
V Nigam,GT,3,8.08,72,3
JR Hazlewood,MI,2,8.38,48,1
Karan Lal,RR,1,8.5,24,2
D Wiese,KKR,1,8.5,24,0
CV Varun,PBKS,3,8.58,72,6
KA Maharaj,RCB,2,8.76,37,1
Prashant Solanki,CSK,3,8.83,72,4
Shahbaz Ahmed,KKR,3,8.83,72,3
Ashutosh Sharma,GT,2,8.88,48,1
JJ Bumrah,DC,2,9.0,48,4
Siddhesh Veer,MI,1,9.0,24,0
NT Ellis,SRH,2,9.25,48,5
S Lamichhane,MI,1,9.25,24,2
Sufiyan Muqeem,GT,3,9.33,72,4
PWH de Silva,RCB,3,9.36,66,2
SM Curran,RR,3,9.42,72,5
R Sai Kishore,GT,1,9.5,24,3
Washington Sundar,RCB,1,9.5,24,2
AD Russell,DC,3,9.58,62,2
Parth Chandan,DC,2,9.62,48,2
DS Rathi,LSG,1,9.75,24,1
Shivam Shukla,MI,2,9.88,48,4
M Siddharth,GT,2,9.88,48,1
GF Linde,GT,3,9.92,72,7
Mohammad Amir,LSG,3,10.0,72,7
Chirag Jani,RCB,3,10.09,66,3
AR Ramjani,PBKS,2,10.14,42,2
SP Narine,SRH,3,10.17,72,2
Mohammad Ghazanfar,RR,1,10.25,24,2
Harsh Dubey,DC,1,10.25,24,1
Atharva Ankolekar,RR,3,10.33,72,6
C Green,KKR,2,10.5,48,1
Fazalhaq Farooqi,GT,1,10.5,24,0
Gurnoor Brar,DC,2,10.57,42,3
C Sakariya,RR,2,10.75,48,0
B Kumar,KKR,2,10.98,47,1
Ashwin Das,LSG,2,11.0,48,2
JJ Smit,PBKS,1,11.0,24,2
Shashank Singh,PBKS,3,11.17,72,2
Abhilash Shetty,MI,2,11.25,48,0
Pulkit Narang,KKR,2,11.25,40,1
Junaid Siddique,RR,1,11.25,24,1
DR Mousley,LSG,2,11.43,42,2
SH Johnson,KKR,2,11.43,42,2
HH Pandya,LSG,2,11.5,48,0
Geet Puri,CSK,2,11.5,36,0
J Overton,RR,1,11.5,24,2
MJ Owen,MI,1,11.5,24,2
Ravi Teja,PBKS,1,11.5,24,1
JC Archer,DC,2,11.57,42,2
Praveen Dubey,MI,2,11.62,48,1
KA Pollard,RR,1,11.75,24,1
RE van der Merwe,CSK,2,12.0,48,1
Rasikh Salam,SRH,3,12.09,68,3
Tanush Kotian,CSK,3,12.27,66,5
Sonu Yadav,CSK,1,13.25,24,1
Naman Tiwari,CSK,1,13.5,24,2
HB Shipley,LSG,1,13.5,24,0
Shubhang Hegde,LSG,2,13.6,30,1
MA Starc,MI,1,13.75,24,1
Mohammed Shami,MI,1,16.0,24,1
AK Markram,DC,1,16.5,24,0
Noor Ahmad,KKR,1,16.5,24,0
