striker,batting_team,num_innings,runs,strike_rate,bat_avg,run_contribution_%
Abhishek Pathak,RCB,3,150,182.93,75.0,28.63
MJ Owen,MI,2,167,157.55,167.0,26.55
SV Samson,GT,3,140,147.37,70.0,24.26
Tilak Varma,CSK,3,137,173.42,45.67,24.25
FH Allen,SRH,3,124,158.97,41.33,23.94
D Brevis,GT,3,124,125.25,62.0,21.49
Abhishek Sharma,MI,3,135,146.74,67.5,21.46
GJ Maxwell,DC,3,132,209.52,44.0,21.39
S Dube,RR,2,134,183.56,67.0,21.24
KK Nair,CSK,3,120,164.38,60.0,21.24
Urvil Patel,MI,3,124,206.67,41.33,19.71
Aniket Verma,RR,3,122,193.65,40.67,19.33
Sameer Rizvi,LSG,3,114,203.57,57.0,18.72
N Sindhu,DC,3,114,162.86,38.0,18.48
Shashank Singh,PBKS,3,108,174.19,inf,18.24
Naman Dhir,GT,3,105,187.5,35.0,18.2
CH Gayle,RCB,3,95,158.33,31.67,18.13
Ishan Kishan,KKR,3,104,160.0,34.67,17.84
V Kohli,LSG,3,107,140.79,35.67,17.57
PD Salt,PBKS,3,103,156.06,34.33,17.4
R Parag,GT,3,99,202.04,99.0,17.16
Kartik Sharma,SRH,3,88,172.55,29.33,16.99
WG Jacks,RR,2,104,170.49,104.0,16.48
DR Mousley,LSG,3,99,215.22,99.0,16.26
S Arora,KKR,1,94,191.84,94.0,16.12
Karan Shinde,SRH,3,78,111.43,39.0,15.06
AD Russell,DC,3,92,170.37,46.0,14.91
RD Gaikwad,CSK,2,84,131.25,42.0,14.87
SP Narine,SRH,3,75,178.57,75.0,14.48
Ajay Rohera,LSG,3,86,226.32,28.67,14.12
TM Head,KKR,3,81,144.64,27.0,13.89
V Suryavanshi,PBKS,3,82,195.24,27.33,13.85
JM Sharma,RCB,3,71,144.9,35.5,13.55
C Green,KKR,3,74,176.19,24.67,12.69
HH Pandya,LSG,3,74,176.19,37.0,12.15
TL Seifert,PBKS,3,69,132.69,23.0,11.66
Akhil Singh Rawat,KKR,2,67,197.06,67.0,11.49
SA Yadav,DC,3,69,150.0,23.0,11.18
Vansh Bedi,PBKS,3,66,153.49,22.0,11.15
KA Pollard,RR,1,69,160.47,69.0,10.94
VR Iyer,SRH,3,56,233.33,28.0,10.81
Akshat Raghuwanshi,MI,1,63,185.29,63.0,10.02
Tanush Kotian,CSK,2,55,166.67,27.5,9.73
Chirag Jani,RCB,3,50,138.89,25.0,9.54
D Padikkal,RR,3,60,133.33,30.0,9.51
Priyansh Arya,RCB,3,48,171.43,16.0,9.16
KL Rahul,SRH,3,47,114.63,15.67,9.07
Parth Chandan,DC,2,55,203.7,inf,8.91
Shubman Gill,LSG,3,54,225.0,18.0,8.87
JP Inglis,GT,3,51,196.15,17.0,8.84
AR Patel,PBKS,2,52,247.62,52.0,8.78
JC Buttler,DC,2,50,142.86,50.0,8.1
V Nigam,GT,1,45,264.71,45.0,7.8
TP Ura,PBKS,2,45,132.35,22.5,7.6
T Stubbs,CSK,2,42,161.54,42.0,7.43
MR Marsh,KKR,2,43,122.86,21.5,7.38
Anmolpreet Singh,KKR,2,42,116.67,21.0,7.2
Jay Gohil,MI,2,45,264.71,45.0,7.15
YBK Jaiswal,RR,2,45,281.25,45.0,7.13
Abishek Porel,LSG,3,41,110.81,13.67,6.73
GD Phillips,RR,1,39,195.0,inf,6.18
Ritik Vats,DC,3,38,122.58,12.67,6.16
MS Bhandage,PBKS,2,34,161.9,17.0,5.74
WL Madsen,MI,1,36,200.0,inf,5.72
P Simran Singh,SRH,3,28,121.74,9.33,5.41
Sachin Baby,CSK,2,30,120.0,15.0,5.31
PWH de Silva,RCB,3,26,152.94,8.67,4.96
RM Patidar,RCB,2,23,121.05,11.5,4.39
Tarang Gohel,DC,3,27,180.0,9.0,4.38
D Forrester,MI,1,27,270.0,27.0,4.29
BJ McMullen,RCB,1,22,169.23,22.0,4.2
SS Iyer,KKR,3,23,135.29,7.67,3.95
Shubhang Hegde,LSG,2,21,262.5,21.0,3.45
Shahbaz Ahmed,KKR,2,20,166.67,20.0,3.43
RK Singh,PBKS,1,20,166.67,20.0,3.38
Dhruv Jurel,CSK,1,18,300.0,inf,3.19
JM Vince,CSK,1,18,120.0,18.0,3.19
R Smaran,RR,1,18,150.0,18.0,2.85
AM Hardie,CSK,1,16,114.29,16.0,2.83
SM Curran,RR,2,15,375.0,inf,2.38
Washington Sundar,RCB,1,12,133.33,12.0,2.29
N Pooran,MI,1,14,155.56,14.0,2.23
RD Rickelton,RR,2,14,116.67,7.0,2.22
Suryansh Shedge,KKR,1,12,171.43,inf,2.06
RA Jadeja,CSK,2,11,157.14,5.5,1.95
J Fraser-McGurk,DC,1,11,183.33,11.0,1.78
Sonu Yadav,CSK,1,10,200.0,10.0,1.77
S Gill,RCB,1,7,46.67,7.0,1.34
RE van der Merwe,CSK,1,7,140.0,inf,1.24
KH Pandya,SRH,1,6,120.0,inf,1.16
KA Maharaj,RCB,1,6,54.55,6.0,1.15
Geet Puri,CSK,1,6,120.0,6.0,1.06
RG Sharma,KKR,1,6,100.0,inf,1.03
DS Airee,DC,1,6,120.0,6.0,0.97
Tripuresh Singh,SRH,1,4,400.0,inf,0.77
HV Patel,PBKS,2,4,200.0,inf,0.68
Praveen Dubey,MI,1,4,400.0,inf,0.64
Ramandeep Singh,RCB,1,3,60.0,3.0,0.57
Rishabh Chouhan,GT,1,1,100.0,inf,0.17
MP Yadav,KKR,1,1,50.0,inf,0.17
AK Markram,DC,1,1,100.0,inf,0.16
Abhilash Shetty,MI,1,1,25.0,inf,0.16
JJ Bumrah,DC,1,1,25.0,1.0,0.16
Ashwin Das,LSG,1,1,16.67,1.0,0.16
