bowling_team,Bowl_Type,wkts,eco,SR
CSK,Pace,4,12.26,28.5
CSK,Spin,13,10.61,17.54
DC,Pace,11,10.08,17.64
DC,Spin,5,9.92,31.2
GT,Pace,1,9.42,72.0
GT,Spin,19,9.27,15.16
KKR,Pace,8,10.29,24.62
KKR,Spin,4,10.9,34.0
LSG,Spin,6,10.55,20.0
LSG,Pace,13,10.56,18.31
MI,Pace,6,10.53,39.5
MI,Spin,7,10.45,17.14
PBKS,Pace,8,9.26,14.5
PBKS,Spin,13,9.2,18.46
RCB,Pace,7,9.71,19.43
RCB,Spin,7,9.65,28.14
RR,Pace,12,10.14,18.0
RR,Spin,11,9.58,13.09
SRH,Pace,12,9.91,13.67
SRH,Spin,12,7.77,15.5
