match_id,innings,runs,balls,wkts,Eco,win,PP_perf,Middle_perf,Death_perf,bowler,team,team_total
S09M003,1,37,24,1,9.25,1,1-6(6),0-8(6),0-23(12),GF Linde,GT,5-190 (120)
S09M007,1,59,24,3,14.75,1,0-16(6),1-4(6),2-39(12),GF Linde,GT,7-189 (120)
S09M015,2,23,24,3,5.75,1,,1-9(12),2-14(12),GF Linde,GT,8-184 (120)
S09M002,2,65,24,1,16.25,0,0-29(12),1-36(12),,Mohammad Amir,LSG,8-210 (118)
S09M010,1,22,24,2,5.5,1,0-6(12),0-9(6),2-7(6),Mohammad Amir,LSG,2-207 (120)
S09M014,1,33,24,4,8.25,0,2-13(12),1-9(6),1-11(6),Mohammad Amir,LSG,9-220 (120)
S09M005,2,32,24,3,8.0,1,,1-19(12),2-13(12),CV Varun,PBKS,10-166 (116)
S09M009,2,33,24,1,8.25,1,,1-33(24),,CV Varun,PBKS,5-196 (120)
S09M015,1,38,24,2,9.5,0,,2-17(18),0-21(6),CV Varun,PBKS,6-188 (120)
S09M004,1,46,24,3,11.5,1,,2-27(18),1-19(6),Atharva Ankolekar,RR,7-215 (120)
S09M008,1,31,24,2,7.75,1,,2-31(24),,Atharva Ankolekar,RR,9-190 (120)
S09M013,2,47,24,1,11.75,1,,0-34(18),1-13(6),Atharva Ankolekar,RR,7-192 (120)
S09M001,1,37,24,2,9.25,1,1-8(6),0-7(6),1-22(12),NT Ellis,SRH,7-173 (120)
S09M009,1,37,24,3,9.25,0,0-13(6),1-8(6),2-16(12),NT Ellis,SRH,7-199 (120)
S09M004,1,27,24,2,6.75,1,1-15(12),0-4(6),1-8(6),SM Curran,RR,7-215 (120)
S09M008,1,48,24,2,12.0,1,1-14(6),1-4(6),0-30(12),SM Curran,RR,9-190 (120)
S09M013,2,38,24,1,9.5,1,1-31(18),,0-7(6),SM Curran,RR,7-192 (120)
S09M005,1,50,24,2,12.5,0,1-28(12),0-5(6),1-17(6),Tanush Kotian,CSK,6-209 (120)
S09M010,2,32,18,2,10.67,0,0-19(6),2-13(12),,Tanush Kotian,CSK,6-211 (102)
S09M013,1,53,24,1,13.25,0,1-40(18),,0-13(6),Tanush Kotian,CSK,5-217 (120)
S09M005,2,21,20,3,6.3,1,,1-13(12),2-8(8),HV Patel,PBKS,10-166 (116)
S09M009,2,32,24,0,8.0,1,,0-27(18),0-5(6),HV Patel,PBKS,5-196 (120)
S09M015,1,36,24,1,9.0,0,,1-23(18),0-13(6),HV Patel,PBKS,6-188 (120)
S09M005,1,23,24,3,5.75,0,,3-23(24),,Prashant Solanki,CSK,6-209 (120)
S09M010,2,49,24,1,12.25,0,,1-49(24),,Prashant Solanki,CSK,6-211 (102)
S09M013,1,34,24,0,8.5,0,,0-34(24),,Prashant Solanki,CSK,5-217 (120)
