batter,team,score,rank
Abhishek Pathak,RCB,27.78750897466388,1
Naman Dhir,GT,23.07167400425702,2
GJ Maxwell,DC,22.68369421694893,3
Abhishek Sharma,MI,22.48734541207748,4
Aniket Verma,RR,21.74078677134324,5
Sameer Rizvi,LSG,21.73351781050435,6
Kartik Sharma,SRH,20.13665518805324,7
Shubman Gill,LSG,20.11849218174021,8
N Sindhu,DC,19.87106886487609,9
VR Iyer,SRH,19.73167089466485,10
SA Yadav,DC,19.60959960813828,11
S Arora,KKR,19.19594391642263,12
YBK Jaiswal,RR,19.19125557621225,13
Urvil Patel,MI,19.14001574974542,14
Tilak Varma,CSK,19.02991868295129,15
JP Inglis,GT,18.87040496807214,16
Jay Gohil,MI,18.81003613768402,17
PWH de Silva,RCB,18.34802341650436,18
KK Nair,CSK,18.23345324659463,19
Tanush Kotian,CSK,18.14297212815402,20
CH Gayle,RCB,17.88829915174893,21
Shashank Singh,PBKS,17.70768047713247,22
Vansh Bedi,PBKS,17.62567456688189,23
C Green,KKR,17.56911257096946,24
KL Rahul,SRH,17.29233412883769,25
Akhil Singh Rawat,KKR,17.28249151319251,26
Priyansh Arya,RCB,17.23905291013843,27
V Suryavanshi,PBKS,16.88901893931636,28
GD Phillips,RR,16.79830627912017,29
Tarang Gohel,DC,16.63218720117756,30
KA Pollard,RR,16.369507535443,31
V Nigam,GT,16.29641972745163,32
S Dube,RR,16.16617096259189,33
Ajay Rohera,LSG,16.09681674911537,34
Rohan Kunnummal,MI,15.54581874542034,35
TL Seifert,PBKS,15.52112115150583,36
FH Allen,SRH,15.50256203660171,37
SV Samson,GT,15.26923658269704,38
JM Sharma,RCB,15.25751454669176,39
N Pooran,MI,15.06876306708532,40
Abishek Porel,LSG,14.74316122768291,41
MJ Owen,MI,14.72036095086569,42
Ishan Kishan,KKR,14.61931001472669,43
PD Salt,PBKS,14.30098421086074,44
Atharva Taide,RCB,14.29540802406517,45
RG Sharma,KKR,14.23256636108401,46
J Fraser-McGurk,DC,14.19596493353338,47
R Parag,GT,14.05725167494558,48
WL Madsen,MI,13.64777079030942,49
TP Ura,PBKS,13.45861117536947,50
DR Mousley,LSG,13.05880062957598,51
HH Pandya,LSG,12.71100963738429,52
TM Head,KKR,12.7000619266464,53
P Simran Singh,SRH,12.68829968257357,54
SP Narine,SRH,11.46975736161869,55
T Stubbs,CSK,11.2806806072416,56
R Smaran,RR,10.82477165853771,57
RD Gaikwad,CSK,10.8195292012186,58
MR Marsh,KKR,10.67017892490939,59
JC Buttler,DC,10.57961313109198,60
AD Russell,DC,10.02436924453302,61
Parth Chandan,DC,9.995758934286274,62
V Kohli,LSG,9.458911694273088,63
WG Jacks,RR,9.408807624982929,64
Chirag Jani,RCB,9.389557270299456,65
D Brevis,GT,9.270116194514046,66
SS Iyer,KKR,9.1467825412356,67
RK Singh,PBKS,9.090918109351431,68
RM Patidar,RCB,8.23745477549696,69
DS Airee,DC,8.168194480752632,70
RD Rickelton,RR,8.008963075391554,71
BJ McMullen,RCB,7.6911561276439,72
Karan Shinde,SRH,7.315322106962157,73
AR Patel,PBKS,6.728025129803108,74
Anmolpreet Singh,KKR,6.628796162015528,75
Dhruv Jurel,CSK,6.555578384604307,76
JM Vince,CSK,5.809478823529447,77
Ramandeep Singh,RCB,5.231568210274045,78
Suryansh Shedge,KKR,5.110114653647693,79
Sonu Yadav,CSK,4.707798119309785,80
RA Jadeja,CSK,4.632924861337434,81
GF Linde,GT,3.753107350279493,82
AK Markram,DC,3.643629214271393,83
Ritik Vats,DC,3.596240564797116,84
HV Patel,PBKS,2.101145535284736,85
JJ Smit,PBKS,2.012042246930381,86
Shahbaz Ahmed,KKR,1.830299297126024,87
KH Pandya,SRH,0.8748665952278536,88
D Padikkal,RR,0.6925814329268323,89
Washington Sundar,RCB,0.6409492102049912,90
SM Curran,RR,0.5533886619651334,91
LS Livingstone,PBKS,-0.2685080087509615,92
