bowler,team,score,rank
JJ Bumrah,DC,28.93180882561888,1
Tanush Kotian,CSK,28.92541868376122,2
JC Archer,DC,28.79604959708689,3
A Zampa,SRH,28.78103719955068,4
Fazalhaq Farooqi,GT,28.75492489121491,5
CV Varun,PBKS,28.70681056322425,6
Arshdeep Singh,LSG,28.58660694756227,7
M Pathirana,CSK,28.54592408386718,8
H Ssenyondo,LSG,28.50627913079163,9
Noor Ahmad,KKR,28.42981437232047,10
Karan Lal,RR,28.42351369927161,11
JJ Smit,PBKS,28.33403127653373,12
KA Maharaj,RCB,28.32999761542843,13
NT Ellis,SRH,28.28057821315815,14
AR Ramjani,PBKS,28.26306417929932,15
MA Starc,MI,28.23848237479616,16
B Kumar,KKR,28.20957225931384,17
Sufiyan Muqeem,GT,28.15765023538605,18
GF Linde,GT,28.03560467131454,19
JR Hazlewood,MI,28.03182931050123,20
Shashank Singh,PBKS,27.71718214386039,21
Harsh Dubey,DC,27.36423461106109,22
AK Markram,DC,27.2747603198812,23
Mohammad Ghazanfar,RR,26.89117069184178,24
HJ Manenti,RCB,26.87158990690486,25
Suryansh Shedge,KKR,26.84187218889486,26
PWH de Silva,RCB,26.42860787632488,27
Washington Sundar,RCB,26.05438087077622,28
T Natarajan,RR,25.6970884397806,29
MP Yadav,KKR,25.61734161544748,30
Rasikh Salam,SRH,25.13754581538881,31
AR Patel,PBKS,25.11952952276588,32
C Green,KKR,23.36940420068477,33
Prashant Solanki,CSK,23.34970159699968,34
HH Pandya,LSG,23.3344522109276,35
Ashutosh Sharma,GT,22.61366179876844,36
Shivam Shukla,MI,22.52239430652076,37
DS Rathi,LSG,22.40614317876201,38
Mohammad Amir,LSG,21.88656734073187,39
Ravi Teja,PBKS,21.74973580429355,40
SP Narine,SRH,21.1259185962437,41
M Markande,SRH,21.09141372637563,42
Sunil Kumar,MI,20.73502489833495,43
Pulkit Narang,KKR,20.28817957401058,44
Shahbaz Ahmed,KKR,20.17602181881033,45
Ashwin Das,LSG,19.89243061104774,46
C Sakariya,RR,19.58229126812602,47
R Sai Kishore,GT,18.59519876220072,48
Akash Vasisht,DC,17.61990530256056,49
Atharva Ankolekar,RR,17.56472138663225,50
M Siddharth,GT,17.55877966532456,51
SH Johnson,KKR,16.91530164709751,52
S Lamichhane,MI,16.87383068030526,53
LS Livingstone,PBKS,16.80511258702124,54
KH Pandya,SRH,16.60711254265373,55
Utkarsh Singh,RR,16.22562049304023,56
Rashid Khan,RCB,15.85792555872807,57
V Puthur,RCB,15.82366251194797,58
SS Ghosh,RCB,15.78487528558043,59
Geet Puri,CSK,15.10777944759795,60
Tripuresh Singh,SRH,15.09816487181702,61
JA Duffy,LSG,14.95086828596854,62
HV Patel,PBKS,14.4622676848927,63
GJ Maxwell,DC,14.18633654160543,64
Chirag Jani,RCB,13.28713831724646,65
DS Airee,DC,12.40950397804353,66
SM Curran,RR,11.87066470861442,67
J Overton,RR,11.76955930557186,68
RA Jadeja,CSK,11.13870769969012,69
Mohammed Shami,MI,11.11136775075768,70
V Nigam,GT,11.09008352712609,71
Tanay Thyagarajan,CSK,11.05501865347959,72
Naman Tiwari,CSK,10.891730646094,73
Gurnoor Brar,DC,9.628175449687008,74
Parth Chandan,DC,9.429261262286715,75
CH Gayle,RCB,9.142649557714694,76
D Wiese,KKR,8.906997217879994,77
MJ Owen,MI,8.848619144690048,78
D Forrester,MI,8.2336823513402,79
RE van der Merwe,CSK,7.239863152100229,80
AD Russell,DC,5.763468730365126,81
Ramandeep Singh,RCB,3.994239797906623,82
Junaid Siddique,RR,3.899812080019855,83
Sonu Yadav,CSK,3.798575056330471,84
Shubhang Hegde,LSG,3.707487896505239,85
DR Mousley,LSG,2.825392743592619,86
KA Pollard,RR,2.399816448873111,87
AM Hardie,CSK,-0.501832717247453,88
