player,team,points
MJ Owen,MI,278
Mohammad Amir,LSG,244
GF Linde,GT,233
Shashank Singh,PBKS,227
Tanush Kotian,CSK,226
CV Varun,PBKS,212
SM Curran,RR,206
DR Mousley,LSG,204
AD Russell,DC,204
Abhishek Pathak,RCB,201
Atharva Ankolekar,RR,199
A Zampa,SRH,189
Tilak Varma,CSK,185
GJ Maxwell,DC,184
SP Narine,SRH,181
S Dube,RR,180
V Nigam,GT,175
Urvil Patel,MI,174
Abhishek Sharma,MI,174
NT Ellis,SRH,173
Aniket Verma,RR,170
SV Samson,GT,169
Chirag Jani,RCB,169
KK Nair,CSK,160
FH Allen,SRH,160
N Sindhu,DC,156
Sufiyan Muqeem,GT,151
Naman Dhir,GT,151
Sameer Rizvi,LSG,147
Parth Chandan,DC,146
C Green,KKR,145
HV Patel,PBKS,145
D Brevis,GT,143
R Parag,GT,139
Shahbaz Ahmed,KKR,139
AR Patel,PBKS,139
PD Salt,PBKS,137
JJ Bumrah,DC,137
V Kohli,LSG,136
WG Jacks,RR,136
Prashant Solanki,CSK,135
Ishan Kishan,KKR,132
Shivam Shukla,MI,129
S Arora,KKR,125
Ajay Rohera,LSG,124
Kartik Sharma,SRH,119
KA Pollard,RR,117
CH Gayle,RCB,115
M Markande,SRH,113
T Natarajan,RR,109
V Suryavanshi,PBKS,109
RD Gaikwad,CSK,106
HH Pandya,LSG,104
PWH de Silva,RCB,103
R Sai Kishore,GT,102
TM Head,KKR,101
Rasikh Salam,SRH,97
Tripuresh Singh,SRH,96
Gurnoor Brar,DC,96
Akhil Singh Rawat,KKR,95
Karan Shinde,SRH,93
JM Sharma,RCB,92
SA Yadav,DC,89
Akshat Raghuwanshi,MI,88
Vansh Bedi,PBKS,87
Suryansh Shedge,KKR,86
Washington Sundar,RCB,83
TL Seifert,PBKS,83
Shubman Gill,LSG,82
D Forrester,MI,80
KH Pandya,SRH,79
D Padikkal,RR,78
H Ssenyondo,LSG,77
DS Airee,DC,77
Tanay Thyagarajan,CSK,76
YBK Jaiswal,RR,72
S Lamichhane,MI,71
Mohammad Ghazanfar,RR,71
VR Iyer,SRH,70
JA Duffy,LSG,70
JP Inglis,GT,69
SH Johnson,KKR,69
Karan Lal,RR,67
JC Buttler,DC,65
Priyansh Arya,RCB,64
AR Ramjani,PBKS,64
Jay Gohil,MI,64
Naman Tiwari,CSK,64
JJ Smit,PBKS,63
MP Yadav,KKR,63
J Overton,RR,62
Arshdeep Singh,LSG,61
JC Archer,DC,59
Ashwin Das,LSG,59
Shubhang Hegde,LSG,58
LS Livingstone,PBKS,57
T Stubbs,CSK,57
GD Phillips,RR,55
TP Ura,PBKS,53
WL Madsen,MI,52
Sonu Yadav,CSK,51
KL Rahul,SRH,51
M Siddharth,GT,50
RE van der Merwe,CSK,49
MR Marsh,KKR,49
KA Maharaj,RCB,49
S Gill,RCB,47
Tarang Gohel,DC,45
Praveen Dubey,MI,45
Ritik Vats,DC,45
Anmolpreet Singh,KKR,45
MS Bhandage,PBKS,43
JR Hazlewood,MI,43
Abishek Porel,LSG,42
DS Rathi,LSG,40
Ashutosh Sharma,GT,40
Ravi Teja,PBKS,38
Junaid Siddique,RR,38
B Kumar,KKR,36
Harsh Dubey,DC,36
Sachin Baby,CSK,31
AM Hardie,CSK,29
Mohammed Shami,MI,29
BJ McMullen,RCB,29
MA Starc,MI,29
Pulkit Narang,KKR,29
Kranthi Kumar,CSK,28
P Simran Singh,SRH,28
Dhruv Jurel,CSK,27
Yash Singh,RCB,27
SS Iyer,KKR,27
RK Singh,PBKS,26
SS Ghosh,RCB,23
HJ Manenti,RCB,23
R Smaran,RR,22
N Pooran,MI,20
JM Vince,CSK,19
RM Patidar,RCB,18
J Fraser-McGurk,DC,18
RD Rickelton,RR,15
Sunil Kumar,MI,13
RA Jadeja,CSK,12
Akash Vasisht,DC,9
C Sakariya,RR,9
Siddhesh Veer,MI,7
Abhilash Shetty,MI,7
Utkarsh Singh,RR,6
D Wiese,KKR,6
V Puthur,RCB,5
RG Sharma,KKR,5
Geet Puri,CSK,5
Rashid Khan,RCB,1
Rishabh Chouhan,GT,1
Ramandeep Singh,RCB,0
Fazalhaq Farooqi,GT,0
HB Shipley,LSG,-1
AK Markram,DC,-2
Noor Ahmad,KKR,-4
M Pathirana,CSK,-6
Atharva Taide,RCB,-6
Rohan Kunnummal,MI,-6
