batting_team,phase,outs,avg,SR
CSK,Death,10,15.1,175.58
CSK,Middle,6,41.5,153.7
CSK,PP,3,55.0,152.78
DC,Death,7,19.86,157.95
DC,Middle,9,31.11,172.84
DC,PP,6,33.0,183.33
GT,Death,3,58.0,241.67
GT,Middle,4,56.5,139.51
GT,PP,5,35.4,163.89
KKR,Death,8,23.88,212.22
KKR,Middle,8,25.75,127.16
KKR,PP,3,62.0,172.22
LSG,Middle,7,37.14,160.49
LSG,PP,7,29.86,193.52
LSG,Death,7,20.0,205.88
MI,Death,4,44.25,215.85
MI,Middle,4,69.75,172.22
MI,PP,3,57.67,160.19
PBKS,Death,8,23.25,206.67
PBKS,Middle,9,21.44,119.14
PBKS,PP,4,53.25,197.22
RCB,Death,6,22.0,165.0
RCB,Middle,8,27.12,133.95
RCB,PP,10,17.5,162.04
RR,Death,5,39.8,251.9
RR,Middle,3,84.0,155.56
RR,PP,5,36.0,166.67
SRH,Middle,7,31.14,134.57
SRH,Death,4,34.25,214.06
SRH,PP,6,27.17,150.93
