bowler,bowling_team,num_innings,3+_wkts,balls,economy,5+_wkts
GF Linde,GT,3,2,72,9.92,0
M Markande,SRH,1,1,24,5.0,0
T Natarajan,RR,1,1,24,7.0,0
R Sai Kishore,GT,1,1,24,9.5,0
JJ Bumrah,DC,2,1,48,9.0,0
NT Ellis,SRH,2,1,48,9.25,0
HV Patel,PBKS,3,1,68,7.85,0
A Zampa,SRH,3,1,72,6.67,0
CV Varun,PBKS,3,1,72,8.58,0
Prashant Solanki,CSK,3,1,72,8.83,0
Shahbaz Ahmed,KKR,3,1,72,8.83,0
Mohammad Amir,LSG,3,1,72,10.0,0
Atharva Ankolekar,RR,3,1,72,10.33,0
