bowler,bowling_team,num_innings,wkts,balls,strike_rate,wkt_contribution_%
Mohammad Amir,LSG,3,7,72,10.29,36.84
GF Linde,GT,3,7,72,10.29,35.0
Shivam Shukla,MI,2,4,48,12.0,30.77
Tanush Kotian,CSK,3,5,66,13.2,29.41
CV Varun,PBKS,3,6,72,12.0,28.57
Atharva Ankolekar,RR,3,6,72,12.0,26.09
JJ Bumrah,DC,2,4,48,12.0,25.0
Shahbaz Ahmed,KKR,3,3,72,24.0,25.0
Prashant Solanki,CSK,3,4,72,18.0,23.53
SM Curran,RR,3,5,72,14.4,21.74
Chirag Jani,RCB,3,3,66,22.0,21.43
NT Ellis,SRH,2,5,48,9.6,20.83
A Zampa,SRH,3,5,72,14.4,20.83
Sufiyan Muqeem,GT,3,4,72,18.0,20.0
HV Patel,PBKS,3,4,68,17.0,19.05
Gurnoor Brar,DC,2,3,42,14.0,18.75
SH Johnson,KKR,2,2,42,21.0,16.67
MP Yadav,KKR,1,2,18,9.0,16.67
Suryansh Shedge,KKR,1,2,18,9.0,16.67
S Lamichhane,MI,1,2,24,12.0,15.38
MJ Owen,MI,1,2,24,12.0,15.38
V Nigam,GT,3,3,72,24.0,15.0
R Sai Kishore,GT,1,3,24,8.0,15.0
PWH de Silva,RCB,3,2,66,33.0,14.29
Washington Sundar,RCB,1,2,24,12.0,14.29
T Natarajan,RR,1,3,24,8.0,13.04
JC Archer,DC,2,2,42,21.0,12.5
DS Airee,DC,1,2,24,12.0,12.5
Parth Chandan,DC,2,2,48,24.0,12.5
AD Russell,DC,3,2,62,31.0,12.5
M Markande,SRH,1,3,24,8.0,12.5
Rasikh Salam,SRH,3,3,68,22.67,12.5
Naman Tiwari,CSK,1,2,24,12.0,11.76
Tanay Thyagarajan,CSK,1,2,24,12.0,11.76
JA Duffy,LSG,1,2,22,11.0,10.53
Ashwin Das,LSG,2,2,48,24.0,10.53
DR Mousley,LSG,2,2,42,21.0,10.53
H Ssenyondo,LSG,1,2,24,12.0,10.53
Arshdeep Singh,LSG,1,2,24,12.0,10.53
LS Livingstone,PBKS,1,2,12,6.0,9.52
AR Ramjani,PBKS,2,2,42,21.0,9.52
JJ Smit,PBKS,1,2,24,12.0,9.52
Shashank Singh,PBKS,3,2,72,36.0,9.52
Karan Lal,RR,1,2,24,12.0,8.7
Mohammad Ghazanfar,RR,1,2,24,12.0,8.7
J Overton,RR,1,2,24,12.0,8.7
B Kumar,KKR,2,1,47,47.0,8.33
C Green,KKR,2,1,48,48.0,8.33
Pulkit Narang,KKR,2,1,40,40.0,8.33
SP Narine,SRH,3,2,72,36.0,8.33
KH Pandya,SRH,1,2,18,9.0,8.33
Tripuresh Singh,SRH,2,2,48,24.0,8.33
MA Starc,MI,1,1,24,24.0,7.69
Praveen Dubey,MI,2,1,48,48.0,7.69
JR Hazlewood,MI,2,1,48,48.0,7.69
Mohammed Shami,MI,1,1,24,24.0,7.69
D Forrester,MI,1,1,21,21.0,7.69
S Gill,RCB,1,1,18,18.0,7.14
HJ Manenti,RCB,1,1,22,22.0,7.14
Yash Singh,RCB,1,1,18,18.0,7.14
KA Maharaj,RCB,2,1,37,37.0,7.14
SS Ghosh,RCB,1,1,18,18.0,7.14
Harsh Dubey,DC,1,1,24,24.0,6.25
Kranthi Kumar,CSK,1,1,12,12.0,5.88
RE van der Merwe,CSK,2,1,48,48.0,5.88
Sonu Yadav,CSK,1,1,24,24.0,5.88
Shubhang Hegde,LSG,2,1,30,30.0,5.26
DS Rathi,LSG,1,1,24,24.0,5.26
M Siddharth,GT,2,1,48,48.0,5.0
Ashutosh Sharma,GT,2,1,48,48.0,5.0
AR Patel,PBKS,2,1,42,42.0,4.76
Ravi Teja,PBKS,1,1,24,24.0,4.76
Junaid Siddique,RR,1,1,24,24.0,4.35
KA Pollard,RR,1,1,24,24.0,4.35
