out_prob,one_prob,two_prob,three_prob,four_prob,six_prob,dot_prob,striker,phase,innings,num_innings,runs,balls,outs,strike_rate
0.05734767025089606,0.3674746370208372,0.09905838041431263,0.006390863252536299,0.13740355992953043,0.05751776927282669,0.27480711985906087,A Badoni,death,1,26,463,279,16,165.94982078853047
0.034375,0.4375944108761329,0.05834592145015105,0.0029172960725075527,0.07293240181268881,0.04375944108761329,0.3500755287009063,A Badoni,middle,1,26,383,320,11,119.6875
0.025974025974025976,0.30062530062530063,0.06012506012506012,0.012025012025012025,0.10822510822510822,0.0,0.493025493025493,A Badoni,pp,1,12,74,77,2,96.1038961038961
0.16666666666666666,0.19230769230769232,0.1282051282051282,0.0,0.0641025641025641,0.0,0.4487179487179488,A Kamboj,death,1,5,11,12,2,91.66666666666667
0.5,0.0,0.0,0.0,0.0,0.0,0.5,A Kamboj,middle,1,1,0,2,1,0.0
0.10317460317460318,0.3559917605719133,0.06845995395613717,0.0,0.08899794014297832,0.10268993093420575,0.2806858112201624,A Manohar,death,1,14,214,126,13,169.84126984126985
0.029411764705882353,0.3896023198011599,0.020505385252692628,0.0,0.10936205468102733,0.03417564208782104,0.41694283347141675,A Manohar,middle,1,13,157,136,4,115.44117647058823
0.03333333333333333,0.10740740740740741,0.0,0.0,0.0,0.0,0.8592592592592593,A Manohar,pp,1,2,1,9,0,11.11111111111111
0.25,0.08333333333333333,0.0,0.0,0.16666666666666666,0.0,0.5,A Mhatre,middle,1,2,9,8,2,112.5
0.05,0.22891566265060237,0.02289156626506024,0.0,0.25180722891566265,0.08012048192771082,0.36626506024096384,A Mhatre,pp,1,6,154,80,4,192.5
0.10714285714285714,0.36945812807881767,0.030788177339901475,0.015394088669950737,0.04618226600985221,0.04618226600985221,0.38485221674876846,A Nortje,death,1,15,61,56,6,108.92857142857143
0.03333333333333333,0.4142857142857143,0.1380952380952381,0.0,0.1380952380952381,0.0,0.2761904761904762,A Nortje,middle,1,2,9,7,0,128.57142857142858
0.14814814814814814,0.44170096021947886,0.0,0.0,0.06310013717421126,0.03155006858710563,0.3155006858710563,A Raghuvanshi,death,1,4,28,27,4,103.70370370370371
0.04225352112676056,0.48878096163186013,0.052841185041282185,0.006605148130160273,0.12549781447304517,0.04623603691112191,0.23778533268576982,A Raghuvanshi,middle,1,10,211,142,6,148.59154929577466
0.037037037037037035,0.29358626919602526,0.03523035230352303,0.01174345076784101,0.15266485998193313,0.08220415537488708,0.38753387533875333,A Raghuvanshi,pp,1,9,128,81,3,158.02469135802468
0.20512820512820512,0.3261012491781723,0.061143984220907305,0.0,0.061143984220907305,0.0,0.34648257725180803,A Zampa,death,1,15,39,39,8,100.0
0.03333333333333333,0.4833333333333334,0.0,0.0,0.0,0.0,0.4833333333333334,A Zampa,middle,1,1,1,2,0,50.0
0.06925207756232687,0.23476189636007552,0.04742664572930819,0.0,0.11382394975033966,0.14465126947438997,0.3900841611235598,AD Russell,death,1,82,1394,722,50,193.07479224376732
0.052539404553415055,0.25640847797564337,0.04221359088623398,0.003126932658239554,0.07973678278510861,0.08911758075982727,0.47685723038153194,AD Russell,middle,1,72,770,571,30,134.85113835376532
0.21428571428571427,0.11224489795918369,0.0,0.056122448979591844,0.056122448979591844,0.056122448979591844,0.5051020408163266,AD Russell,pp,1,3,15,14,3,107.14285714285714
0.06637168141592921,0.4092073055921672,0.11124082093767652,0.003972886462059876,0.12315948032385615,0.07151195631707777,0.2145358689512333,AJ Turner,death,1,26,394,226,15,174.3362831858407
0.05168986083499006,0.42921580766849576,0.10088405735797977,0.009171277941634526,0.08804426823969144,0.03485085617821119,0.2861438717789972,AJ Turner,middle,1,46,665,503,26,132.20675944333996
0.019230769230769232,0.33309143686502174,0.1295355587808418,0.0,0.14804063860667635,0.03701015965166909,0.33309143686502174,AJ Turner,pp,1,11,76,52,1,146.15384615384616
0.07920792079207921,0.3654836252856055,0.10766184310738766,0.011332825590251333,0.09066260472201067,0.0934958111195735,0.2521553693830922,AK Markram,death,1,36,543,303,24,179.20792079207922
0.032665964172813484,0.5291827352146655,0.07202487133356507,0.004001381740753615,0.07302521676875348,0.04901692632423178,0.24008290444521693,AK Markram,middle,1,61,1271,949,31,133.9304531085353
0.03598971722365039,0.2882342302773508,0.038754182222164806,0.009688545555541201,0.13806177416646212,0.04117631861105011,0.44809523194378054,AK Markram,pp,1,47,493,389,14,126.73521850899743
0.0962962962962963,0.36532702915681636,0.11536643026004727,0.006409246125558182,0.07050170738114,0.08332019963225636,0.26277909114788545,AM Hardie,death,1,17,218,135,13,161.4814814814815
0.03076923076923077,0.4737657864523536,0.07956371986222734,0.0,0.06148105625717567,0.03978185993111367,0.314638346727899,AM Hardie,middle,1,20,309,260,8,118.84615384615384
0.012195121951219513,0.31791421362489486,0.03406223717409588,0.022708158116063918,0.11354079058031959,0.011354079058031959,0.48822539949537425,AM Hardie,pp,1,8,86,82,1,104.8780487804878
0.044642857142857144,0.45690993788819884,0.05815217391304349,0.0,0.18276397515527953,0.06645962732919256,0.19107142857142861,AM Rahane,death,1,10,205,112,5,183.03571428571428
0.05072463768115942,0.5175810904071775,0.0610248447204969,0.006780538302277434,0.08362663906142168,0.04520358868184956,0.23505866114561771,AM Rahane,middle,1,31,560,414,21,135.2657004830918
0.03140096618357488,0.2585955265926755,0.036294108995463224,0.009073527248865806,0.16105510866736808,0.056709545305411294,0.446871217006641,AM Rahane,pp,1,38,592,414,13,142.9951690821256
