striker,bowler,runs_scored,balls_bowled,outs,h2h_factor_bat,h2h_factor_bowl
A Badoni,Arshdeep Singh,30,21,1,1.006914867811777,0.993085132188223
A Badoni,CV Varun,27,21,0,0.9641745967724024,1.0358254032275975
A Badoni,GJ Maxwell,22,20,0,0.8944271909999159,1.1055728090000843
A Badoni,Mukesh Kumar,43,24,1,1.1303602459898727,0.8696397540101273
A Badoni,PWH de Silva,17,20,1,0.7760706889747314,1.2239293110252687
A Badoni,Rashid Khan,29,30,2,0.824274572838791,1.175725427161209
A Badoni,SP Narine,30,30,3,0.834950811211569,1.165049188788431
A Badoni,T Natarajan,59,28,1,1.2297668602675245,0.7702331397324755
A Badoni,Vijaykumar Vyshak,41,20,0,1.2047524938461724,0.7952475061538276
A Balbirnie,Azmatullah Omarzai,39,24,2,1.0661010405076192,0.9338989594923808
A Balbirnie,Fazalhaq Farooqi,46,29,1,1.0678277752687781,0.9321722247312219
A Balbirnie,Mohammad Nabi,28,26,0,0.8932469478761793,1.1067530521238207
A Balbirnie,Mujeeb Ur Rahman,26,25,2,0.8532291603080616,1.1467708396919383
A Balbirnie,Naveen-ul-Haq,26,24,2,0.8704678544979623,1.1295321455020377
A Balbirnie,Rashid Khan,36,32,1,0.9014274394378222,1.098572560562178
A Lyth,LS Livingstone,34,22,0,1.053577701940381,0.9464222980596191
A Lyth,Naveen-ul-Haq,43,24,2,1.1194386348267855,0.8805613651732145
AB de Villiers,AD Russell,65,23,1,1.3897584579446067,0.6102415420553933
AB de Villiers,AR Patel,23,21,1,0.881649659699917,1.118350340300083
AB de Villiers,JJ Bumrah,54,25,1,1.2421180068162376,0.7578819931837624
AB de Villiers,K Rabada,40,20,0,1.1904380946285518,0.8095619053714482
AB de Villiers,Rashid Khan,59,45,1,0.9830952092631673,1.0169047907368327
AD Hales,A Zampa,32,34,2,0.8146556729970145,1.1853443270029855
AD Hales,AD Russell,42,27,0,1.0622527723573858,0.9377472276426142
AD Hales,CJ Jordan,60,34,2,1.1155132217500425,0.8844867782499575
AD Hales,Fazalhaq Farooqi,35,37,1,0.8298485697093468,1.170151430290653
AD Hales,GJ Maxwell,42,29,1,1.0203447693186172,0.9796552306813828
AD Hales,Mohammad Nabi,32,25,1,0.9561828874675149,1.043817112532485
AD Hales,Mujeeb Ur Rahman,70,53,2,0.9724507069042063,1.0275492930957937
AD Hales,NT Ellis,48,45,0,0.9133924207511874,1.0866075792488126
AD Hales,Naveen-ul-Haq,31,29,3,0.8487525860820411,1.151247413917959
AD Hales,PWH de Silva,27,23,2,0.9057579784511701,1.0942420215488298
AD Hales,SP Narine,35,36,2,0.8286535263104036,1.1713464736895964
AD Hales,TA Boult,36,26,2,0.9848969377665756,1.0151030622334245
AD Mathews,M Theekshana,52,28,2,1.1415707045423809,0.8584292954576191
AD Mathews,PWH de Silva,28,28,2,0.8376838817324145,1.1623161182675856
AD Mathews,Sikandar Raza,16,24,0,0.7155417527999327,1.2844582472000674
AD Russell,A Nortje,42,34,2,0.9202484136672787,1.0797515863327214
AD Russell,A Zampa,74,36,2,1.188997176495506,0.8110028235044939
AD Russell,AS Joseph,69,34,3,1.1907486522945034,0.8092513477054966
AD Russell,AU Rashid,41,31,2,0.9645418673260818,1.0354581326739183
AD Russell,Arshdeep Singh,36,21,2,1.0689477773256046,0.9310522226743954
AD Russell,B Kumar,69,29,1,1.2868566353716329,0.7131433646283671
AD Russell,DJ Bravo,94,48,2,1.1817662326244682,0.8182337673755318
AD Russell,Fazalhaq Farooqi,54,29,1,1.156962219069698,0.843037780930302
AD Russell,Imran Tahir,59,32,2,1.1392980294900892,0.8607019705099108
AD Russell,JJ Bumrah,19,21,3,0.7742389085068558,1.225761091493144
AD Russell,JO Holder,103,36,3,1.3957501223780724,0.6042498776219276
AD Russell,K Rabada,44,28,1,1.0619965794172208,0.9380034205827792
AD Russell,KMA Paul,33,21,0,1.0609198934925121,0.9390801065074879
AD Russell,LH Ferguson,44,27,0,1.0684339101732794,0.9315660898267206
AD Russell,M Markande,46,30,2,1.038130187266648,0.961869812733352
AD Russell,MA Starc,61,25,0,1.3154032515870235,0.6845967484129765
AD Russell,MJ Santner,22,23,0,0.841707817291393,1.158292182708607
AD Russell,MP Stoinis,26,20,1,0.9597618752288805,1.0402381247711197
AD Russell,Mohammad Amir,33,26,2,0.9429670265639267,1.0570329734360733
AD Russell,Naveen-ul-Haq,47,36,3,0.9555850862915647,1.0444149137084353
AD Russell,Noor Ahmad,29,21,2,0.9815855561700328,1.0184144438299672
AD Russell,OC McCoy,49,25,0,1.1428730157627882,0.8571269842372118
AD Russell,OF Smith,41,20,2,1.167134988607853,0.832865011392147
AD Russell,PWH de Silva,47,38,1,0.9496497177729089,1.0503502822270911
AD Russell,RD Chahar,20,25,0,0.7782764841072135,1.2217235158927866
AD Russell,Rashid Khan,59,43,5,0.9769081336856242,1.0230918663143758
AD Russell,SM Curran,64,29,2,1.2449385210452226,0.7550614789547774
AD Russell,SP Narine,14,26,2,0.6141911504008905,1.3858088495991097
AD Russell,T Natarajan,43,25,1,1.0877540122696818,0.9122459877303182
AD Russell,TA Boult,44,24,2,1.1323805518842658,0.8676194481157342
AD Russell,YS Chahal,38,20,0,1.16128008188009,0.8387199181199101
ADS Fletcher,AD Russell,52,37,5,0.9877207489934987,1.0122792510065013
ADS Fletcher,CJ Green,47,48,2,0.8356349168660404,1.1643650831339596
ADS Fletcher,JO Holder,78,46,2,1.0987740203636447,0.9012259796363553
ADS Fletcher,M Theekshana,50,44,2,0.8987726118391725,1.1012273881608277
ADS Fletcher,Mujeeb Ur Rahman,42,59,2,0.7156364951707948,1.2843635048292052
ADS Fletcher,Noor Ahmad,15,24,0,0.6952902785373685,1.3047097214626315
ADS Fletcher,SP Narine,36,48,1,0.7452708040897426,1.2547291959102576
ADS Fletcher,Sikandar Raza,73,45,0,1.1023783811550802,0.8976216188449198
AGS Gous,R Shepherd,29,20,0,1.019803902718557,0.980196097281443
AGS Gous,Rashid Khan,31,22,1,1.000830823697161,0.999169176302839
AI Ross,A Zampa,75,47,3,1.059620853222315,0.940379146777685
AI Ross,AD Russell,48,24,0,1.1942720436674863,0.8057279563325137
AI Ross,CJ Jordan,27,28,3,0.8194572619006025,1.1805427380993976
AI Ross,Mujeeb Ur Rahman,20,21,0,0.8372939892832122,1.162706010716788
AI Ross,NT Ellis,40,29,1,0.9957545348106929,1.0042454651893071
AJ Finch,A Nortje,22,22,1,0.8431234446136241,1.156876555386376
AJ Finch,A Zampa,24,29,2,0.7623660344239831,1.237633965576017
AJ Finch,B Kumar,31,20,0,1.0528871870107588,0.9471128129892412
AJ Finch,CJ Green,21,21,0,0.856571237968148,1.143428762031852
AJ Finch,CJ Jordan,50,37,2,0.9773496586239518,1.0226503413760482
AJ Finch,JC Archer,53,35,1,1.0483028071650882,0.9516971928349118
AJ Finch,JO Holder,39,42,1,0.8254126982600762,1.1745873017399238
AJ Finch,K Rabada,30,29,0,0.880707284060399,1.1192927159396011
AJ Finch,M Prasidh Krishna,36,24,2,1.024276748317005,0.975723251682995
AJ Finch,M Theekshana,46,62,1,0.7492177179832923,1.2507822820167078
AJ Finch,Mohammed Shami,23,22,0,0.8758817449683668,1.1241182550316333
AJ Finch,PWH de Silva,38,25,3,1.0279892532326906,0.9720107467673094
AJ Finch,TA Boult,71,62,3,0.901277468523882,1.098722531476118
AJ Hosein,JO Holder,21,22,3,0.8139689518313672,1.186031048168633
AJ Hosein,Sikandar Raza,31,22,1,1.000830823697161,0.999169176302839
AJ Turner,BJ Dwarshuis,55,34,1,1.0826360608884846,0.9173639391115154
AJ Turner,BWM Mike,41,22,1,1.1509905389616462,0.8490094610383538
AJ Turner,CJ Green,35,21,2,1.0783585409580354,0.9216414590419646
AJ Turner,DJM Short,21,21,2,0.8352929340741999,1.1647070659258
AJ Turner,DR Briggs,23,22,1,0.8620724048296821,1.1379275951703178
AJ Turner,DT Christian,32,26,0,0.950465473010259,1.0495345269897411
AJ Turner,H Kerr,76,40,2,1.1602955288570729,0.8397044711429271
AJ Turner,Rehan Ahmed,66,39,0,1.1178472246163236,0.8821527753836764
AJ Turner,SA Abbott,61,29,1,1.229666140760975,0.770333859239025
AJ Turner,SNJ O'Keefe,32,26,1,0.9383642536496541,1.0616357463503459
AK Kitchen,R Ravindra,31,20,0,1.0528871870107588,0.9471128129892412
AK Markram,A Nortje,38,25,0,1.03035254822142,0.96964745177858
AK Markram,A Zampa,37,25,0,1.0353743284435828,0.9646256715564172
AK Markram,AD Russell,40,24,2,1.0796824930109248,0.9203175069890752
AK Markram,AR Patel,32,27,2,0.9115833077586091,1.088416692241391
AK Markram,AU Rashid,41,28,1,1.0251530497980308,0.9748469502019692
AK Markram,Arshdeep Singh,107,78,5,0.9763244354490841,1.023675564550916
AK Markram,BC Fortuin,33,32,1,0.8630510661931557,1.1369489338068441
