striker,num_innings,runs,balls,outs,bat_order,bat_avg,bat_sr,form
A Badoni,5,62,56,5,6,12.4,110.71428571428571,0.9754888671120325
A Manohar,2,27,21,2,7,13.5,128.57142857142858,0.9775978246160244
A Mhatre,1,10,9,1,4,10.0,111.11111111111111,0.9708572075051788
A Zampa,3,21,13,2,10,10.5,161.53846153846155,0.9466799559116063
AD Russell,5,119,70,2,6,59.5,170.0,1.1782368515273274
AK Markram,5,118,88,4,3,29.5,134.0909090909091,1.1356132595160595
AM Rahane,5,206,156,5,3,41.2,132.05128205128204,1.177896199731547
AR Patel,5,45,45,5,2,9.0,100.0,1.0131868932204888
AS Roy,4,28,16,2,5,14.0,175.0,1.02972039440536
Abdul Samad,5,68,39,4,7,17.0,174.35897435897436,1.0298906244193344
Abhishek Sharma,5,204,121,3,1,68.0,168.59504132231405,1.3617256266244395
Abishek Porel,5,103,69,5,5,20.6,149.2753623188406,1.064620969485167
Arshdeep Singh,3,19,11,1,10,19.0,172.72727272727272,1.0040605316930962
Arslan Khan,2,16,12,2,3,8.0,133.33333333333334,0.9887039297072331
Ashutosh Sharma,2,15,14,1,6,15.0,107.14285714285714,0.9805208868354831
Atharva Taide,2,102,59,2,3,51.0,172.88135593220338,1.218806907680477
Avesh Khan,5,24,21,4,8,6.0,114.28571428571429,0.8897743245029338
Azmatullah Omarzai,5,102,57,4,7,25.5,178.94736842105263,1.0751257278275177
B Kumar,5,22,25,5,11,4.4,88.0,0.8272611077763978
B Sai Sudharsan,5,102,78,5,3,20.4,130.76923076923077,1.092274187348124
BA Stokes,5,163,110,4,1,40.75,148.1818181818182,1.2799499904130627
BJ McMullen,2,90,65,2,1,45.0,138.46153846153845,1.2812540246288058
BM Duckett,4,136,80,3,3,45.333333333333336,170.0,1.2058095271448523
C Green,5,108,76,3,4,36.0,142.10526315789474,1.138547669073693
C Sakariya,3,10,9,1,11,10.0,111.11111111111111,0.9033434599034589
CV Varun,3,5,11,2,10,2.5,45.45454545454545,0.7417744966632683
D Brevis,2,40,35,2,1,20.0,114.28571428571429,1.1594335522277317
D Padikkal,2,59,45,2,2,29.5,131.11111111111111,1.161034026387046
DA Miller,5,86,53,4,5,21.5,162.26415094339623,1.0742121830847735
DJ Hooda,5,71,45,4,6,17.75,157.77777777777777,1.0376648159313588
DL Chahar,1,29,18,1,9,29.0,161.11111111111111,1.0509411794963168
DP Conway,5,261,163,5,1,52.2,160.12269938650306,1.3236613971988358
Dhruv Jurel,5,38,20,3,5,12.666666666666666,190.0,1.0297781726952104
F du Plessis,5,73,77,5,2,14.6,94.8051948051948,1.0608287332582493
FH Allen,5,36,29,5,1,7.2,124.13793103448276,1.059311867193904
GD Phillips,5,83,53,4,6,20.75,156.60377358490567,1.0536816049563769
GF Linde,3,8,8,1,8,8.0,100.0,0.8961821103901666
GJ Maxwell,5,318,165,3,1,106.0,192.72727272727272,1.4422514849840307
Gurjapneet Singh,1,13,6,0,9,13.0,216.66666666666666,0.992852493379308
H Klaasen,5,99,60,3,6,33.0,165.0,1.1074386131928027
HH Pandya,5,46,31,3,6,15.333333333333334,148.38709677419354,1.015413089061116
HV Patel,5,33,37,5,8,6.6,89.1891891891892,0.8817968986782161
Harpreet Brar,5,89,73,3,7,29.666666666666668,121.91780821917808,1.0604856089027794
Ishan Kishan,5,112,81,5,1,22.4,138.2716049382716,1.1976055869585327
J Fraser-McGurk,2,26,18,2,5,13.0,144.44444444444446,1.006598080024813
JC Archer,3,26,22,2,9,13.0,118.18181818181819,0.9504469682833294
JC Buttler,5,112,82,5,2,22.4,136.58536585365854,1.1388836884766236
