out_prob,one_prob,two_prob,three_prob,four_prob,six_prob,dot_prob,striker,innings,phase,nrr_phase,wkt_phase,num_innings,runs,balls,outs,strike_rate
0.03333333333333333,0.8055555555555556,0.0,0.0,0.0,0.0,0.16111111111111112,A Badoni,2,death,crucial,easy,1,5,5,0,100.0
0.06122448979591837,0.2834039276087793,0.23026569118213322,0.0,0.03542549095109741,0.10627647285329225,0.2834039276087793,A Badoni,2,death,crucial,medium,6,86,49,3,175.51020408163265
1.0,0.0,0.0,0.0,0.0,0.0,0.0,A Badoni,2,death,crucial,tough,2,0,2,2,0.0
0.03333333333333333,0.5272727272727273,0.11717171717171719,0.029292929292929298,0.058585858585858595,0.029292929292929298,0.2050505050505051,A Badoni,2,death,easy,easy,4,43,33,0,130.3030303030303
0.03333333333333333,0.2873873873873874,0.02612612612612613,0.0,0.13063063063063063,0.13063063063063063,0.39189189189189194,A Badoni,2,death,easy,medium,6,63,30,1,210.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,A Badoni,2,death,easy,tough,1,0,True,1,0.0
0.03333333333333333,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,A Badoni,2,death,moderate,easy,1,3,3,0,100.0
0.03333333333333333,0.41428571428571437,0.0,0.0,0.1380952380952381,0.0,0.41428571428571437,A Badoni,2,death,moderate,medium,2,7,6,0,116.66666666666667
0.03333333333333333,0.41010101010101024,0.0585858585858586,0.0,0.0878787878787879,0.0585858585858586,0.3515151515151516,A Badoni,2,middle,crucial,easy,4,42,31,0,135.48387096774192
0.07317073170731708,0.40022172949002216,0.052660753880266066,0.0,0.0737250554323725,0.03159645232815964,0.3686252771618625,A Badoni,2,middle,crucial,medium,12,94,82,6,114.63414634146342
0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,A Badoni,2,middle,crucial,tough,1,0,3,1,0.0
0.03333333333333333,0.37908496732026153,0.037908496732026155,0.0,0.09477124183006538,0.0,0.4549019607843138,A Badoni,2,middle,easy,easy,4,44,50,0,88.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,A Badoni,2,middle,easy,medium,1,0,True,1,0.0
0.03333333333333333,0.3866666666666667,0.09666666666666668,0.0,0.0,0.0,0.4833333333333334,A Badoni,2,middle,moderate,easy,2,6,10,0,60.0
0.07407407407407407,0.29761904761904756,0.0,0.06613756613756612,0.03306878306878306,0.06613756613756612,0.46296296296296285,A Badoni,2,middle,moderate,medium,3,31,27,2,114.81481481481481
0.13333333333333333,0.1019607843137255,0.05098039215686275,0.0,0.05098039215686275,0.05098039215686275,0.611764705882353,A Badoni,2,pp,crucial,easy,3,14,15,2,93.33333333333333
0.03333333333333333,0.14871794871794872,0.07435897435897436,0.0,0.07435897435897436,0.0,0.6692307692307693,A Badoni,2,pp,crucial,medium,2,8,11,0,72.72727272727273
0.05263157894736842,0.2368421052631579,0.0,0.0,0.04736842105263158,0.04736842105263158,0.6157894736842107,A Badoni,2,pp,easy,easy,2,15,19,1,78.94736842105263
0.5,0.0,0.0,0.0,0.0,0.08333333333333333,0.4166666666666667,A Badoni,2,pp,moderate,easy,3,6,6,3,100.0
0.03333333333333333,0.35151515151515156,0.0,0.0,0.08787878787878789,0.0,0.5272727272727273,A Kamboj,2,death,crucial,tough,1,8,11,0,72.72727272727273
0.03333333333333333,0.0,0.0,0.0,0.9666666666666667,0.0,0.0,A Kamboj,2,death,easy,tough,1,4,True,0,400.0
0.08888888888888889,0.3416666666666666,0.0,0.037962962962962955,0.13287037037037036,0.09490740740740738,0.30370370370370364,A Manohar,2,death,crucial,medium,6,82,45,4,182.22222222222223
0.03333333333333333,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,A Manohar,2,death,easy,easy,1,1,True,0,100.0
0.0625,0.4411764705882353,0.05514705882352941,0.0,0.05514705882352941,0.05514705882352941,0.33088235294117646,A Manohar,2,death,easy,medium,3,20,16,1,125.0
0.03333333333333333,0.6444444444444445,0.0,0.0,0.0,0.32222222222222224,0.0,A Manohar,2,death,easy,tough,1,8,3,0,266.6666666666667
0.03333333333333333,0.2416666666666667,0.0,0.0,0.4833333333333334,0.0,0.2416666666666667,A Manohar,2,death,moderate,medium,1,9,4,0,225.0
0.5,0.25,0.0,0.0,0.0,0.0,0.25,A Manohar,2,middle,crucial,easy,1,1,2,1,50.0
0.03125,0.49905303030303033,0.058712121212121215,0.0,0.029356060606060608,0.029356060606060608,0.3522727272727273,A Manohar,2,middle,crucial,medium,5,31,32,1,96.875
0.03333333333333333,0.32222222222222224,0.10740740740740741,0.0,0.10740740740740741,0.0,0.42962962962962964,A Manohar,2,middle,easy,easy,1,9,9,0,100.0
0.03333333333333333,0.35151515151515156,0.0,0.0,0.043939393939393945,0.17575757575757578,0.3954545454545455,A Manohar,2,middle,easy,medium,2,36,20,0,180.0
0.03333333333333333,0.5026666666666667,0.0,0.0,0.0,0.038666666666666676,0.42533333333333345,A Manohar,2,middle,moderate,medium,2,19,23,0,82.6086956521739
0.03333333333333333,0.32222222222222224,0.0,0.0,0.0,0.0,0.6444444444444445,A Manohar,2,pp,easy,easy,1,1,3,0,33.333333333333336
0.08333333333333333,0.3055555555555556,0.0,0.0,0.1527777777777778,0.0,0.45833333333333337,A Manohar,2,pp,moderate,easy,1,12,12,1,100.0
0.25,0.1875,0.1875,0.0,0.0,0.1875,0.1875,A Mhatre,2,death,crucial,easy,1,9,4,1,225.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,A Mhatre,2,death,crucial,medium,1,0,1,1,0.0
