wkt_prob,one_prob,two_prob,three_prob,four_prob,six_prob,dot_prob,wide_prob,no_prob,bowler,innings,phase,nrr_phase,wkt_phase,num_innings,runs,balls,wkts,economy,strike_rate
0.047619047619047616,0.46511627906976744,0.04429678848283499,0.0,0.11074197120708748,0.11074197120708748,0.19933554817275745,0.0,0.022148394241417495,A Nortje,2,death,crucial,crucial,10,76.0,42,2,10.857142857142858,21.0
0.1111111111111111,0.3555555555555555,0.0,0.0,0.2666666666666666,0.0,0.17777777777777776,0.08888888888888888,0.0,A Nortje,2,death,crucial,easy,2,17.0,9,0,11.333333333333334,9.0
0.05813953488372093,0.3767441860465117,0.031395348837209305,0.010465116279069769,0.11511627906976746,0.031395348837209305,0.3348837209302326,0.041860465116279076,0.0,A Nortje,2,death,crucial,medium,18,111.0,86,5,7.744186046511628,17.2
0.030303030303030304,0.45632798573975053,0.0,0.0,0.11408199643493763,0.028520499108734408,0.34224598930481287,0.028520499108734408,0.0,A Nortje,2,death,easy,crucial,8,39.0,33,1,7.090909090909091,33.0
0.08547008547008547,0.32714891251476613,0.04461121534292266,0.0,0.04461121534292266,0.02974081022861511,0.4238065457577652,0.04461121534292266,0.0,A Nortje,2,death,easy,easy,18,110.0,117,10,5.641025641025641,11.7
0.06077348066298343,0.3746914305865758,0.039967085929234744,0.004995885741154343,0.11990125778770425,0.06994240037616081,0.29475725872810626,0.034971200188080406,0.0,A Nortje,2,death,easy,medium,34,281.0,181,11,9.314917127071823,16.454545454545453
0.05263157894736842,0.49861495844875336,0.09972299168975067,0.049861495844875335,0.049861495844875335,0.09972299168975067,0.149584487534626,0.0,0.0,A Nortje,2,death,moderate,crucial,7,33.0,19,1,10.421052631578947,19.0
0.25,0.375,0.0,0.0,0.0,0.0,0.375,0.0,0.0,A Nortje,2,death,moderate,easy,2,2.0,4,1,3.0,4.0
0.06122448979591837,0.36814725890356154,0.0736294517807123,0.0,0.05522208883553423,0.0736294517807123,0.33133253301320537,0.03681472589035615,0.0,A Nortje,2,death,moderate,medium,11,66.0,49,3,8.081632653061224,16.333333333333332
0.048,0.2803835616438356,0.01304109589041096,0.00652054794520548,0.0652054794520548,0.04564383561643836,0.4173150684931507,0.11084931506849316,0.01304109589041096,A Nortje,2,middle,crucial,crucial,14,151.0,125,6,7.248,20.833333333333332
0.06521739130434782,0.27264492753623193,0.03894927536231884,0.0,0.07789855072463768,0.03894927536231884,0.4673913043478261,0.01947463768115942,0.01947463768115942,A Nortje,2,middle,crucial,medium,8,48.0,46,3,6.260869565217392,15.333333333333334
0.024390243902439025,0.3093396787626413,0.10707911957168352,0.0,0.059488399762046396,0.059488399762046396,0.4402141582391434,0.0,0.0,A Nortje,2,middle,easy,crucial,11,94.0,82,2,6.878048780487805,41.0
