wkt_prob,one_prob,two_prob,three_prob,four_prob,six_prob,dot_prob,wide_prob,no_prob,bye_prob,legbye_prob,venue,phase,innings,run_rate,strike_rate,bowl_strike_rate,bpb,dot_%
0.080338266384778,0.39646834579081414,0.07060395199014498,0.005431073230011152,0.1031903913702119,0.05250037455677447,0.2570707995538612,0.02715536615005576,0.0018103577433370508,0.0036207154866741017,0.0018103577433370508,CSK,death,1,9.221987315010571,153.6997885835095,12.447368421052632,5.5,30.021141649048626
0.09315068493150686,0.2692208904109589,0.07084760273972603,0.03070062785388128,0.0944634703196347,0.0732091894977169,0.3353453196347032,0.011807933789954338,0.0,0.0023615867579908677,0.01889269406392694,CSK,death,2,9.419178082191781,156.986301369863,10.735294117647058,5.140845070422535,38.9041095890411
0.041065482796892344,0.49673620647491484,0.06094922778833311,0.011174025094527737,0.10361368724016629,0.03758535713613875,0.2234805018905547,0.015237306947083277,0.003047461389416655,0.00406328185255554,0.003047461389416655,CSK,middle,1,8.637069922308546,143.9511653718091,24.35135135135135,6.482014388489208,24.417314095449502
0.04171364148816235,0.3871761427285367,0.0762157761276647,0.03455115184454133,0.07011851403745153,0.0630050415988695,0.28758752858838815,0.015243155225532939,0.0020324206967377253,0.012194524180426351,0.010162103483688626,CSK,middle,2,8.928974069898535,148.81623449830892,23.972972972972972,6.770992366412214,31.905298759864714
0.05065359477124183,0.3094166061486323,0.04078673444686517,0.014064391188574197,0.1659598160251755,0.02531590413943355,0.34317114500121043,0.03234809973372065,0.005625756475429678,0.0014064391188574196,0.011251512950859357,CSK,pp,1,9.058823529411764,150.98039215686273,19.741935483870968,4.5,39.869281045751634
0.047385620915032685,0.28454715219421106,0.03986409378566242,0.006873119618217659,0.11959228135698725,0.05498495694574127,0.3876439464674759,0.042613341632949484,0.009622367465504721,0.0027492478472870637,0.004123871770930595,CSK,pp,2,8.931372549019608,148.8562091503268,21.103448275862068,4.818897637795276,46.07843137254902
0.027649769585253458,0.41733616084172753,0.06023408506994006,0.010756086619632154,0.14198034337914442,0.0838974756331308,0.23448268830798097,0.015058521267485015,0.0,0.0,0.008604869295705723,DC,death,1,10.700460829493087,178.34101382488478,36.166666666666664,4.133333333333334,25.11520737327189
0.06575342465753424,0.3613370978423786,0.06418487922200146,0.03090383073651922,0.09033427446059465,0.08795705671163163,0.2638711701348949,0.0285266129875562,0.002377217748963017,0.0,0.004754435497926034,DC,death,2,10.421917808219177,173.6986301369863,15.208333333333334,4.866666666666666,30.410958904109588
0.03638814016172507,0.41997314856992163,0.05632292954582039,0.013468526630522268,0.1052993900204468,0.06611822164074568,0.27181935563417664,0.024488230237313214,0.0,0.0,0.0061220575593283035,DC,middle,1,9.388140161725067,156.4690026954178,27.48148148148148,5.3,29.919137466307276
0.0444743935309973,0.4195581977643084,0.06548018115396721,0.026677110840505155,0.08003133252151547,0.05820460547019307,0.2716214921942343,0.015763747314843955,0.006062979736478445,0.0,0.01212595947295689,DC,middle,2,8.89487870619946,148.2479784366577,22.484848484848484,6.508771929824562,30.18867924528302
0.04365079365079365,0.3626909254267746,0.04330637915543577,0.016239892183288415,0.15518119197364486,0.04511081162024559,0.3049490865528602,0.018044324648098235,0.0,0.0,0.010826594788858942,DC,pp,1,9.357142857142858,155.95238095238096,22.90909090909091,4.54054054054054,33.53174603174603
0.03571428571428571,0.33196721311475413,0.05620608899297424,0.015807962529274005,0.14754098360655737,0.05971896955503513,0.30386416861826704,0.029859484777517566,0.0,0.001756440281030445,0.017564402810304452,DC,pp,2,10.095238095238095,168.25396825396825,28.0,4.271186440677966,34.32539682539682
0.0728643216080402,0.3626936639186151,0.06573822658524898,0.01586784779643941,0.09067341597965377,0.09294025137914512,0.2810875895369267,0.006800506198474033,0.0,0.002266835399491344,0.009067341597965376,GT,death,1,9.844221105527637,164.07035175879398,13.724137931034482,4.91358024691358,31.155778894472363
0.036036036036036036,0.4146967480300814,0.08788275454942122,0.03295603295603296,0.1043607710274377,0.0631657298323965,0.2306922306922307,0.019224352557685894,0.0,0.0027463360796694133,0.00823900823900824,GT,death,2,9.945945945945946,165.76576576576576,27.75,5.459016393442623,25.225225225225227
0.04177897574123989,0.42669816524263965,0.07522713317861565,0.013565548605979872,0.10605792546493353,0.05056249934956134,0.25774542351361757,0.014798780297432588,0.0,0.0,0.013565548605979872,GT,middle,1,9.008086253369273,150.13477088948787,23.93548387096774,5.84251968503937,28.16711590296496
0.032432432432432434,0.41657477251970365,0.07386936373169163,0.02421946351858742,0.1210973175929371,0.038751141629739874,0.2494604742414504,0.027852383046375533,0.0,0.001210973175929371,0.014531678111152453,GT,middle,2,9.356756756756758,155.94594594594594,30.833333333333332,5.606060606060606,27.83783783783784
0.041666666666666664,0.3001373626373627,0.05616605616605617,0.012286324786324786,0.15972222222222224,0.03334859584859585,0.35103785103785107,0.026327838827838828,0.0017551892551892552,0.0,0.017551892551892552,GT,pp,1,9.047619047619047,150.79365079365078,24.0,4.581818181818182,39.682539682539684
0.03373015873015873,0.3450963718820862,0.061940374440374445,0.028315599744171173,0.13803854875283447,0.044243124600267456,0.30262297226582946,0.021236699808128378,0.007078899936042793,0.0,0.017697249840106982,GT,pp,2,9.535714285714286,158.92857142857142,29.647058823529413,4.893203883495145,33.92857142857143
0.0681265206812652,0.39876508153913814,0.05331083977795965,0.01066216795559193,0.08742977723585382,0.0746351756891435,0.27934880043650856,0.02772163668453902,0.0,0.0,0.0,KKR,death,1,9.328467153284672,155.47445255474452,14.678571428571429,5.407894736842105,31.873479318734795
