wkt_prob,one_prob,two_prob,three_prob,four_prob,six_prob,dot_prob,wide_prob,no_prob,bowler,phase,innings,num_innings,runs,balls,wkts,economy,strike_rate
0.027777777777777776,0.7345679012345679,0.05246913580246913,0.0,0.0,0.05246913580246913,0.13271604938271603,0.0,0.0,A Badoni,death,1,3,22.0,18,0,7.333333333333333,18.0
0.027777777777777776,0.367283950617284,0.15740740740740744,0.0,0.0,0.1049382716049383,0.34259259259259267,0.0,0.0,A Badoni,middle,1,3,25.0,18,1,8.333333333333334,18.0
0.16666666666666666,0.4166666666666668,0.05208333333333335,0.0,0.05208333333333335,0.0,0.26041666666666674,0.05208333333333335,0.0,A Kamboj,death,1,3,30.0,30,5,6.0,6.0
0.030303030303030304,0.39057239057239057,0.08080808080808081,0.01346801346801347,0.10774410774410775,0.09427609427609429,0.20202020202020202,0.08080808080808081,0.0,A Kamboj,middle,1,5,124.0,66,2,11.272727272727273,33.0
0.016666666666666666,0.2611979166666666,0.03841145833333332,0.0,0.23815104166666665,0.053776041666666656,0.3380208333333332,0.03841145833333332,0.015364583333333329,A Kamboj,pp,1,10,217.0,120,2,10.85,60.0
0.13793103448275862,0.31609195402298845,0.057471264367816084,0.0,0.08620689655172413,0.08620689655172413,0.28735632183908044,0.028735632183908042,0.0,A Mishra,death,1,4,46.0,29,4,9.517241379310345,7.25
0.07352941176470588,0.4801416917131816,0.07438814942035207,0.0,0.0541004723057106,0.0541004723057106,0.25697724345212536,0.006762559038213825,0.0,A Mishra,middle,1,10,174.0,136,10,7.676470588235294,13.6
0.16666666666666666,0.2777777777777778,0.0,0.0,0.2777777777777778,0.0,0.2777777777777778,0.0,0.0,A Mishra,pp,1,1,10.0,6,0,10.0,6.0
0.06211180124223602,0.3391967201040924,0.06858075761667443,0.0,0.11121203937839094,0.06487368963739472,0.31324724424913447,0.03707067979279698,0.0037070679792796987,A Nortje,death,1,57,729.0,483,30,9.055900621118013,16.1
0.06458333333333333,0.3394806048652203,0.046125082182774495,0.0036900065746219594,0.07011012491781723,0.03505506245890862,0.39852071005917167,0.03505506245890862,0.007380013149243919,A Nortje,middle,1,51,529.0,480,31,6.6125,15.483870967741936
0.030516431924882632,0.21281346616283067,0.04729188136951793,0.008598523885366896,0.17626973965002138,0.04299261942683448,0.4299261942683448,0.04944151234085965,0.002149630971341724,A Nortje,pp,1,49,627.0,426,13,8.830985915492958,32.76923076923077
0.08600000000000001,0.39919762845849804,0.08309090909090909,0.0,0.0632213438735178,0.07405928853754941,0.2835928853754941,0.01083794466403162,0.0,A Zampa,death,1,78,705.0,500,43,8.46,11.627906976744185
0.04607631389488841,0.47059341366534657,0.049606713121418296,0.006703609881272743,0.056310323002691044,0.04625490818078193,0.3023328056454007,0.021451551620072777,0.0006703609881272743,A Zampa,middle,1,93,1663.0,1389,64,7.183585313174946,21.703125
0.02976190476190476,0.3909075224292615,0.039371980676328494,0.008436853002070392,0.09842995169082125,0.04499654934437543,0.3627846790890269,0.022498274672187714,0.0028122843340234642,A Zampa,pp,1,48,421.0,336,10,7.517857142857143,33.6
0.07658321060382915,0.30611203059763026,0.09018238245822302,0.0038105232024601273,0.1435297072926648,0.07875081285084262,0.24387348495744815,0.04953680163198165,0.007621046404920255,AD Russell,death,1,86,1261.0,679,52,11.142857142857142,13.057692307692308
0.0510204081632653,0.4065151341435451,0.06397615225865629,0.0,0.09463139188259574,0.05198062371015822,0.2972225407016739,0.03465374914010549,0.0,AD Russell,middle,1,80,945.0,686,35,8.26530612244898,19.6
0.04427083333333333,0.2301264332514332,0.06340218058968058,0.007044686732186731,0.15733133701883698,0.04461634930384929,0.4015471437346437,0.04931280712530712,0.00234822891072891,AD Russell,pp,1,53,565.0,384,17,8.828125,22.58823529411765
0.025,0.28500000000000003,0.09500000000000003,0.0,0.047500000000000014,0.047500000000000014,0.5000000000000001,0.0,0.0,AJ Turner,death,1,5,20.0,20,0,6.0,20.0
0.01834862385321101,0.5120257872551449,0.12149764443342424,0.0,0.06942722539052813,0.008678403173816017,0.25266550954624345,0.017356806347632033,0.0,AJ Turner,middle,1,13,127.0,109,4,6.990825688073395,27.25
0.012345679012345678,0.3429656762990096,0.03215303215303215,0.0,0.0857414190747524,0.01071767738434405,0.4088997422330755,0.10717677384344049,0.0,AJ Turner,pp,1,11,86.0,81,2,6.37037037037037,40.5
0.06862745098039216,0.2464985994397759,0.04108309990662931,0.008216619981325862,0.09859943977591035,0.07394957983193277,0.438375350140056,0.024649859943977587,0.0,AK Markram,death,1,17,148.0,102,14,8.705882352941176,7.285714285714286
0.019756838905775075,0.47462628201709955,0.05055191169412894,0.002808439538562719,0.06178566984837981,0.07863630707975613,0.2753248369149825,0.03650971400131535,0.0,AK Markram,middle,1,32,477.0,329,13,8.699088145896656,25.307692307692307
0.013043478260869565,0.31918158567774935,0.02455242966751918,0.008184143222506393,0.1309462915601023,0.04910485933503836,0.42225063938618923,0.03273657289002557,0.0,AK Markram,pp,1,16,152.0,115,3,7.930434782608696,38.333333333333336
0.07058823529411765,0.2698292220113852,0.08994307400379507,0.019987349778621127,0.11992409867172678,0.08994307400379507,0.2598355471220747,0.06995572422517395,0.009993674889310564,AM Hardie,death,1,15,161.0,85,6,11.364705882352942,14.166666666666666
0.058823529411764705,0.3400601116358953,0.08930871618720482,0.0034349506225848005,0.09961356805495922,0.027479604980678404,0.3160154572778016,0.06526406182911121,0.0,AM Hardie,middle,1,21,337.0,255,15,7.929411764705883,17.0
