player,team,points_bat,points_ball,total_points,num_POTM_awards
RM Patidar,RCB,216.9504746543779,0.0,216.9504746543779,1
VR Iyer,SRH,211.9808445229682,0.0,211.9808445229682,0
CH Gayle,RCB,207.9111525423729,0.0,207.9111525423729,1
Karan Lal,RR,0.0,194.0483465252278,194.0483465252278,0
B Sai Sudharsan,CSK,192.8175714285714,0.0,192.8175714285714,1
JP Inglis,GT,192.2479024390244,0.0,192.2479024390244,0
WG Jacks,LSG,60.05933333333333,125.7149122807018,185.7742456140351,0
GJ Maxwell,DC,183.6971525423729,0.0,183.6971525423729,0
N Sindhu,DC,177.1277142857143,0.0,177.1277142857143,0
AR Ramjani,PBKS,0.0,176.6690092466272,176.6690092466272,1
Pulkit Narang,KKR,0.0,165.0400262467192,165.0400262467192,0
R Parag,GT,163.7166153846154,0.0,163.7166153846154,0
Abhishek Sharma,MI,156.2325174825175,0.0,156.2325174825175,0
Shashank Singh,PBKS,0.0,155.3075555555556,155.3075555555556,0
Chirag Jani,RCB,0.0,154.7219551000488,154.7219551000488,0
S Dube,RR,154.5459019607843,0.0,154.5459019607843,1
Aniket Verma,RR,153.2815135135135,0.0,153.2815135135135,0
B Kumar,KKR,0.0,152.0579666562467,152.0579666562467,0
KL Rahul,SRH,151.5369280742459,0.0,151.5369280742459,0
MP Yadav,PBKS,0.0,151.3616267832969,151.3616267832969,0
PWH de Silva,RCB,0.0,150.5666666666667,150.5666666666667,0
SH Johnson,RCB,0.0,149.3978408910103,149.3978408910103,0
Tilak Varma,CSK,148.9131111111111,0.0,148.9131111111111,0
SS Ghosh,RCB,0.0,147.4155947409126,147.4155947409126,0
V Suryavanshi,PBKS,147.1465196850394,0.0,147.1465196850394,0
Tarang Gohel,DC,146.0682612612613,0.0,146.0682612612613,0
Arshdeep Singh,LSG,0.0,142.7076022680546,142.7076022680546,0
Naman Dhir,GT,140.9739298245614,0.0,140.9739298245614,0
NT Ellis,SRH,0.0,140.7980895915678,140.7980895915678,0
KK Nair,CSK,139.4397958412098,0.0,139.4397958412098,0
FH Allen,LSG,137.5330305676856,0.0,137.5330305676856,0
Atharva Taide,RCB,137.0005190311419,0.0,137.0005190311419,0
MR Marsh,MI,0.0,135.9500895915678,135.9500895915678,0
N Rana,PBKS,131.7167105624143,0.0,131.7167105624143,1
C Green,KKR,130.3979512195122,0.0,130.3979512195122,0
Mohammad Ghazanfar,RR,0.0,129.875928300586,129.875928300586,0
SS Iyer,MI,128.8527112526539,0.0,128.8527112526539,0
P Simran Singh,SRH,127.5899751552795,0.0,127.5899751552795,0
GD Phillips,RR,117.7407112526539,0.0,117.7407112526539,0
DR Mousley,LSG,111.6467971530249,0.0,111.6467971530249,0
Atharva Ankolekar,RR,0.0,111.0328758169935,111.0328758169935,0
Ravi Teja,MI,0.0,106.5373462214411,106.5373462214411,0
N Pooran,MI,103.9359090909091,0.0,103.9359090909091,0
A Zampa,SRH,0.0,101.1599047619048,101.1599047619048,0
HJ Manenti,RCB,0.0,99.43259197012138,99.43259197012138,0
Smaran Ravichandran,MI,90.53814285714286,0.0,90.53814285714286,0
Ishan Kishan,KKR,85.93179584120983,0.0,85.93179584120983,0
Urvil Patel,MI,83.11133333333333,0.0,83.11133333333333,0
MW Short,SRH,81.52989415481832,0.0,81.52989415481832,0
Shadab Khan,SRH,0.0,80.35539208173691,80.35539208173691,0
HH Pandya,SRH,0.0,66.71501421986859,66.71501421986859,0
Sonu Yadav,CSK,0.0,62.78086252354048,62.78086252354048,0
Tejaswi Dahiya,LSG,59.80601268742792,0.0,59.80601268742792,0
OEG Baartman,GT,0.0,29.06113833992095,29.06113833992095,0
V Nigam,GT,0.0,28.9343500761035,28.9343500761035,0
Tanush Kotian,CSK,0.0,15.50995781147001,15.50995781147001,0
Jay Gohil,LSG,0.0,0.0,0.0,0
BM Duckett,KKR,0.0,0.0,0.0,0
Karan Shinde,DC,0.0,0.0,0.0,0
MA Starc,KKR,0.0,0.0,0.0,1
AK Markram,DC,0.0,0.0,0.0,1
JJ Bumrah,DC,0.0,0.0,0.0,1
Zeeshan Ansari,RR,0.0,0.0,0.0,0
Yash Punja,GT,0.0,0.0,0.0,0
Suryansh Shedge,KKR,0.0,0.0,0.0,0
R Sai Kishore,SRH,0.0,0.0,0.0,0
Ramandeep Singh,KKR,0.0,0.0,0.0,0
Noor Ahmad,MI,0.0,0.0,0.0,0
Naman Tiwari,CSK,0.0,0.0,0.0,0
Kartik Sharma,SRH,0.0,0.0,0.0,0
Kuldeep Yadav,LSG,0.0,0.0,0.0,0
Jagjit Singh,MI,0.0,0.0,0.0,0
JN Loftie-Eaton,RR,0.0,0.0,0.0,0
J Fraser-McGurk,KKR,0.0,0.0,0.0,0
H Ssenyondo,LSG,0.0,0.0,0.0,0
Geet Puri,CSK,0.0,0.0,0.0,0
RG Sharma,KKR,0.0,0.0,0.0,0
Salil Arora,RCB,0.0,0.0,0.0,0
Arshad Khan,MI,0.0,0.0,0.0,0
Utkarsh Singh,PBKS,0.0,0.0,0.0,0
Auqib Nabi,GT,0.0,0.0,0.0,0
Fazalhaq Farooqi,CSK,0.0,0.0,0.0,0
JJ Smit,PBKS,0.0,0.0,0.0,0
Gurnoor Brar,DC,0.0,0.0,0.0,0
M Pathirana,RCB,0.0,0.0,0.0,0
MJ Owen,DC,0.0,0.0,0.0,0
YS Chahal,CSK,0.0,0.0,0.0,0
Akash Vasisht,DC,0.0,0.0,0.0,0
A Nagwaswalla,RR,0.0,0.0,0.0,0
