striker,batting_team,num_innings,runs,strike_rate,bat_avg,run_contribution_%
AR Ramjani,PBKS,4,16,76.19,8.0,0.8
JJ Smit,PBKS,1,16,400.0,16.0,0.8
RE van der Merwe,CSK,3,17,212.5,8.5,0.76
Abhishek Tanwar,MI,1,17,242.86,17.0,0.76
Harnoor Singh,RCB,1,17,94.44,17.0,0.75
AHT Donald,PBKS,3,15,100.0,5.0,0.75
JM Coles,MI,3,16,84.21,5.33,0.72
RA Jadeja,LSG,1,16,200.0,inf,0.69
KD Karthik,RR,1,14,233.33,inf,0.68
TK Curran,GT,1,16,177.78,inf,0.67
TM Head,CSK,1,15,78.95,15.0,0.67
Tanay Thyagarajan,CSK,4,14,107.69,3.5,0.63
Sakibul Gani,MI,3,13,81.25,4.33,0.58
M Shahrukh Khan,MI,2,13,185.71,13.0,0.58
DS Rathi,KKR,4,12,52.17,6.0,0.57
MP Yadav,PBKS,4,11,84.62,3.67,0.55
Utkarsh Singh,PBKS,4,11,68.75,2.75,0.55
Akash Vasisht,DC,3,11,44.0,11.0,0.49
SS Ghosh,RCB,1,10,66.67,10.0,0.44
Pulkit Narang,KKR,5,9,42.86,3.0,0.43
JJ Bumrah,DC,3,9,100.0,4.5,0.4
Prashant Veer,PBKS,1,8,100.0,8.0,0.4
Sonu Yadav,CSK,4,8,57.14,2.0,0.36
Sanskar Rawat,PBKS,2,7,140.0,3.5,0.35
Imran Tahir,RCB,1,8,266.67,inf,0.35
JC Archer,LSG,2,8,88.89,4.0,0.34
Taskin Ahmed,MI,2,7,175.0,7.0,0.31
Shaheen Shah Afridi,DC,2,7,87.5,3.5,0.31
Fazalhaq Farooqi,CSK,3,7,43.75,3.5,0.31
Arshdeep Singh,LSG,3,7,140.0,inf,0.3
Ajay Rohera,LSG,1,7,100.0,7.0,0.3
F du Plessis,CSK,1,6,60.0,6.0,0.27
JR Hazlewood,MI,1,6,54.55,6.0,0.27
Darshan Misal,RCB,2,6,50.0,3.0,0.27
Harsh Dubey,DC,2,6,40.0,inf,0.27
Mayank Rawat,RCB,1,6,37.5,6.0,0.27
MP Stoinis,DC,1,6,75.0,6.0,0.27
Ashwin Das,LSG,3,6,120.0,6.0,0.26
Ankit Kumar,SRH,1,6,200.0,6.0,0.25
Vidyadhar Patil,SRH,1,6,200.0,6.0,0.25
R Sai Kishore,SRH,2,6,75.0,3.0,0.25
MS Dhoni,KKR,2,5,50.0,2.5,0.24
B Kumar,KKR,5,5,26.32,1.67,0.24
DJ Willey,MI,2,4,100.0,4.0,0.18
Usman Tariq,CSK,2,4,80.0,4.0,0.18
Abdul Samad,SRH,2,4,133.33,2.0,0.17
CV Varun,PBKS,2,3,42.86,1.5,0.15
Gurnoor Brar,DC,3,3,42.86,1.5,0.13
Ashwin Shelke,DC,1,3,60.0,3.0,0.13
Parvej Musaraf,RCB,1,2,33.33,2.0,0.09
Akhil Scaria,RCB,2,2,28.57,1.0,0.09
Ravi Teja,MI,2,2,33.33,2.0,0.09
DW Lawrence,DC,2,2,16.67,1.0,0.09
Esakkimuthu A,RCB,2,2,40.0,2.0,0.09
M Siddharth,CSK,1,2,66.67,2.0,0.09
Harshit Rana,GT,1,2,33.33,2.0,0.08
Jay Bista,KKR,1,1,20.0,1.0,0.05
Zeeshan Ansari,RR,3,1,20.0,0.5,0.05
Abhilash Shetty,CSK,1,1,100.0,inf,0.04
OEG Baartman,GT,1,1,100.0,inf,0.04
R Shepherd,MI,1,1,50.0,1.0,0.04
Sufiyan Muqeem,GT,1,1,50.0,inf,0.04
TA Boult,SRH,1,1,50.0,1.0,0.04
NT Ellis,SRH,3,1,33.33,1.0,0.04
Aman Bhadoriya,RCB,1,1,25.0,1.0,0.04
Mohammed Shami,MI,1,1,8.33,1.0,0.04
