match_id,innings,runs,balls,wkts,Eco,win,PP_perf,Middle_perf,Death_perf,bowler,team,team_total
S07M005,2,41,24,1,10.25,0.0,1-6(6),0-10(6),0-25(12),NT Ellis,SRH,4-196 (115)
S07M010,1,40,24,3,10.0,1.0,1-7(6),0-4(6),2-29(12),NT Ellis,SRH,6-180 (120)
S07M012,2,56,24,3,14.0,1.0,0-12(6),,3-44(18),NT Ellis,SRH,6-217 (120)
S07M019,1,46,24,1,11.5,0.0,0-10(6),1-7(6),0-29(12),NT Ellis,SRH,4-219 (120)
S07M022,2,27,24,4,6.75,0.0,,4-22(18),0-5(6),NT Ellis,SRH,6-193 (112)
S07M030,1,28,24,1,7.0,1.0,,1-27(18),0-1(6),NT Ellis,SRH,10-144 (116)
S07M031,2,37,24,2,9.25,0.0,2-22(18),0-15(6),,NT Ellis,SRH,6-192 (110)
S07M037,1,41,24,3,10.25,1.0,1-8(6),1-8(6),1-25(12),NT Ellis,SRH,7-173 (120)
S07M044,1,50,24,3,12.5,1.0,1-40(18),,2-10(6),NT Ellis,SRH,7-219 (120)
S07M047,1,37,24,1,9.25,1.0,0-12(6),0-13(12),1-12(6),NT Ellis,SRH,6-185 (120)
S07M007,2,29,23,6,7.57,1.0,,0-26(12),6-3(11),JJ Bumrah,DC,10-185 (113)
S07M012,1,46,24,3,11.5,0.0,,0-6(6),3-40(18),JJ Bumrah,DC,7-234 (120)
S07M018,2,30,13,0,13.85,0.0,,0-9(6),0-21(7),JJ Bumrah,DC,1-164 (103)
S07M021,2,24,24,1,6.0,1.0,,0-10(12),1-14(12),JJ Bumrah,DC,3-238 (120)
S07M026,1,40,20,3,12.0,0.0,,1-18(12),2-22(8),JJ Bumrah,DC,10-198 (110)
S07M034,2,27,18,2,9.0,0.0,,1-14(12),1-13(6),JJ Bumrah,DC,5-203 (108)
S07M038,1,40,24,4,10.0,1.0,,0-16(6),4-24(18),JJ Bumrah,DC,7-200 (120)
S07M049,1,12,13,1,5.54,1.0,,0-12(12),1-0(1),JJ Bumrah,DC,10-110 (91)
S07M002,2,51,24,1,12.75,0.0,0-30(12),,1-21(12),Arshdeep Singh,LSG,3-184 (118)
S07M008,2,26,17,3,9.18,1.0,1-22(12),,2-4(5),Arshdeep Singh,LSG,10-124 (101)
