match_id,innings,runs,balls,SR,post_1st_strike_score,exit_pt_score,win,PP_perf,Middle_perf,Death_perf,batter,team,team_total,pitch
S07M002,1,4,3,133.33,4-0(0.1),4-1(0.3),0.0,4 off 3,,,Shubman Gill,LSG,8-183 (120),pace
S07M008,1,24,8,300.0,1-0(0.1),30-1(2.2),1.0,24 off 8,,,Shubman Gill,LSG,8-153 (120),spin
S07M014,2,79,41,192.68,4-0(0.1),168-5(15.4),1.0,32 off 14,47 off 26,0 off 1,Shubman Gill,LSG,5-174 (98),spin
S07M019,1,73,43,169.77,1-0(0.0),169-3(16.5),1.0,28 off 15,32 off 22,13 off 6,Shubman Gill,LSG,4-219 (120),neutralish
S07M024,2,31,13,238.46,4-0(0.1),58-2(4.4),1.0,31 off 13,,,Shubman Gill,LSG,5-175 (103),spin
S07M029,2,1,3,33.33,0-0(0.1),6-1(1.0),1.0,1 off 3,,,Shubman Gill,LSG,2-194 (118),pace
S07M035,2,119,58,205.17,1-0(0.1),,0.0,34 off 16,52 off 27,33 off 15,Shubman Gill,LSG,5-218 (120),spin
S07M038,1,61,38,160.53,1-0(0.1),124-2(12.2),0.0,26 off 19,35 off 19,,Shubman Gill,LSG,7-200 (120),pace
S07M042,1,72,41,175.61,0-0(0.1),126-3(12.5),0.0,32 off 20,40 off 21,,Shubman Gill,LSG,8-187 (120),spin
S07M048,2,69,40,172.5,4-0(0.1),148-1(14.0),1.0,39 off 15,30 off 25,,Shubman Gill,LSG,4-198 (118),pace
S07M052,2,83,44,188.64,2-0(0.1),135-3(14.0),0.0,55 off 23,28 off 21,,Shubman Gill,LSG,7-212 (120),pace
S07M056,2,102,51,200.0,2-0(0.1),205-6(18.3),0.0,31 off 15,50 off 26,21 off 10,Shubman Gill,LSG,8-218 (120),neutralish
S07M062,2,38,19,200.0,6-0(0.1),81-3(7.5),1.0,33 off 15,5 off 4,,Shubman Gill,LSG,9-170 (115),spin
S07M005,1,10,9,111.11,0-0(0.1),28-1(2.4),0.0,10 off 9,,,P Simran Singh,SRH,8-195 (120),neutralish
S07M010,2,67,49,136.73,4-0(0.1),,1.0,20 off 19,39 off 24,8 off 6,P Simran Singh,SRH,3-183 (110),neutralish
S07M012,1,18,12,150.0,2-0(0.2),55-1(5.0),1.0,18 off 12,,,P Simran Singh,SRH,7-234 (120),neutralish
S07M019,2,74,44,168.18,2-0(0.2),165-3(16.2),0.0,39 off 17,33 off 24,2 off 3,P Simran Singh,SRH,8-193 (120),neutralish
S07M022,1,28,13,215.38,11-1(1.5),67-3(6.2),0.0,28 off 12,0 off 1,,P Simran Singh,SRH,7-192 (120),spin
S07M030,2,54,36,150.0,4-0(0.1),120-2(13.4),1.0,29 off 17,25 off 19,,P Simran Singh,SRH,3-146 (97),spin
S07M031,1,91,47,193.62,16-0(1.1),170-5(16.1),0.0,44 off 16,46 off 29,1 off 2,P Simran Singh,SRH,10-191 (112),pace
S07M037,2,74,39,189.74,1-0(0.3),131-2(12.3),1.0,50 off 19,24 off 20,,P Simran Singh,SRH,2-179 (96),neutralish
S07M044,2,39,19,205.26,13-0(0.5),100-1(7.4),1.0,33 off 13,6 off 6,,P Simran Singh,SRH,5-220 (112),spin
S07M047,2,62,47,131.91,2-0(0.2),140-2(16.2),1.0,19 off 12,41 off 30,2 off 5,P Simran Singh,SRH,4-187 (120),neutralish
S07M052,1,79,45,175.56,2-0(0.3),195-4(17.5),1.0,20 off 14,45 off 23,14 off 8,P Simran Singh,SRH,4-220 (120),pace
S07M060,1,98,53,184.91,5-0(0.3),,1.0,29 off 15,41 off 27,28 off 11,P Simran Singh,SRH,3-233 (120),neutralish
S07M063,1,30,18,166.67,1-0(0.2),43-2(5.0),1.0,30 off 18,,,P Simran Singh,SRH,7-205 (120),pace
S07M002,2,72,48,150.0,0-0(0.1),149-2(17.4),1.0,29 off 15,31 off 26,12 off 7,V Suryavanshi,PBKS,3-184 (118),pace
S07M009,2,31,18,172.22,0-0(0.1),60-2(6.0),1.0,31 off 18,,,V Suryavanshi,PBKS,5-92 (70),spin
