team,matches_played,points,#Won,#Lost,NRR,Recent Form (Latest first)
RCB,14,21,10,3,0.4294,
SRH,14,18,9,5,0.7496,
GT,14,16,8,6,0.1635,
DC,14,16,8,6,0.1195,
KKR,14,16,8,6,0.0826,
LSG,14,14,7,7,0.2769,
PBKS,14,12,6,8,0.002,
RR,14,12,6,8,-0.4153,
CSK,14,9,4,9,-0.4555,
MI,14,6,3,11,-0.9201,
