bowler,bowling_team,num_innings,3+_wkts,balls,economy,5+_wkts
GF Linde,GT,10,6,223,8.91,0
AK Markram,DC,9,5,164,9.15,1
JJ Smit,PBKS,9,5,216,8.03,0
JJ Bumrah,DC,13,5,273,9.16,1
NT Ellis,SRH,13,5,300,9.96,0
Arshdeep Singh,LSG,14,5,313,10.77,0
Geet Puri,CSK,5,4,112,10.82,1
HJ Manenti,RCB,7,4,148,11.51,0
J Overton,GT,7,3,162,8.96,0
Harsh Dubey,DC,9,3,174,8.34,0
H Ssenyondo,LSG,8,3,181,8.25,0
B Kumar,KKR,12,3,214,9.45,1
AR Ramjani,PBKS,11,3,255,8.05,0
Suryansh Shedge,KKR,5,2,78,6.62,1
S Lamichhane,KKR,4,2,96,9.25,0
Shivam Shukla,MI,4,2,96,9.44,0
KA Maharaj,RCB,5,2,120,8.9,1
MA Starc,KKR,8,2,137,8.06,1
CV Varun,PBKS,7,2,138,7.83,0
Mohammad Ghazanfar,RR,7,2,138,9.09,0
Rasikh Salam,SRH,6,2,138,10.26,0
Abrar Ahmed,RCB,6,2,142,10.1,0
SH Johnson,RCB,8,2,174,11.14,0
SS Ghosh,RCB,8,2,181,9.48,0
Harshit Rana,GT,8,2,186,9.52,1
Karan Lal,RR,10,2,194,8.07,0
Ehsan Khan,MI,10,2,228,9.95,0
Sufiyan Muqeem,GT,11,2,245,9.4,0
C Sakariya,RR,2,1,48,8.62,0
L Ngidi,RR,3,1,66,11.45,0
Abhishek Tanwar,MI,4,1,76,12.24,0
A Nagwaswalla,RR,4,1,96,11.25,0
Ravi Teja,MI,4,1,96,11.88,0
Shaheen Shah Afridi,DC,6,1,102,12.59,0
Shadab Khan,SRH,5,1,104,10.38,0
T Natarajan,RR,5,1,113,8.65,0
Ashwin Shelke,DC,5,1,114,10.42,0
YS Chahal,CSK,7,1,117,13.9,0
RE van der Merwe,CSK,5,1,120,10.7,0
Ashwin Das,LSG,6,1,138,9.17,0
R Sai Kishore,SRH,6,1,139,9.37,0
Mohammad Amir,LSG,6,1,141,9.96,0
Kuldeep Yadav,LSG,7,1,162,8.41,0
Sonu Yadav,CSK,7,1,163,9.64,0
AJ Hosein,MI,8,1,186,8.42,0
MR Marsh,MI,9,1,198,9.91,0
WG Jacks,LSG,13,1,228,10.89,0
Tanush Kotian,CSK,13,1,238,11.85,1
MP Yadav,PBKS,12,1,246,10.34,0
PWH de Silva,RCB,13,1,288,10.1,0
Fazalhaq Farooqi,CSK,13,1,306,7.82,0
A Zampa,SRH,14,1,318,8.25,0
