bowling_team,phase,wkts,eco,SR
CSK,Death,29,11.81,10.62
CSK,Middle,42,9.36,18.0
CSK,PP,18,10.57,28.0
DC,Death,60,10.77,5.68
DC,Middle,31,8.98,26.13
DC,PP,18,11.44,30.0
GT,Death,52,11.1,7.73
GT,Middle,43,9.22,20.09
GT,PP,19,10.84,30.32
KKR,Death,28,9.95,8.89
KKR,Middle,45,8.36,16.36
KKR,PP,23,9.86,21.91
LSG,Middle,19,8.92,39.79
LSG,PP,22,10.44,22.91
LSG,Death,41,10.83,8.85
MI,Death,30,12.03,12.83
MI,Middle,34,9.2,22.24
MI,PP,14,10.14,36.0
PBKS,Death,32,10.54,10.81
PBKS,Middle,35,8.05,20.54
PBKS,PP,29,9.49,17.38
RCB,Death,59,10.99,7.78
RCB,Middle,45,9.16,20.4
RCB,PP,23,10.0,26.61
RR,Death,20,12.58,16.15
RR,Middle,37,8.28,19.24
RR,PP,27,10.32,18.67
SRH,Middle,38,8.4,22.26
SRH,Death,31,12.27,13.65
SRH,PP,29,10.45,19.86
