batter,team,score,rank
CH Gayle,RCB,24.9166,1
KK Nair,CSK,24.9076,2
GJ Maxwell,DC,24.05,3
Naman Dhir,GT,23.7109,4
N Sindhu,DC,23.2381,5
Shubman Gill,LSG,23.1526,6
Sameer Rizvi,LSG,22.2984,7
V Suryavanshi,PBKS,21.9067,8
Abhishek Sharma,MI,21.2759,9
Salil Arora,RCB,21.2336,10
VR Iyer,SRH,21.1465,11
JP Inglis,GT,20.4885,12
Aniket Verma,RR,19.812,13
YBK Jaiswal,RR,19.7226,14
KL Rahul,SRH,19.3119,15
PWH de Silva,RCB,19.3077,16
TP Ura,PBKS,19.2669,17
P Simran Singh,SRH,18.6327,18
Vansh Bedi,PBKS,18.4926,19
Tanush Kotian,CSK,18.3909,20
Tilak Varma,CSK,17.9035,21
RG Sharma,KKR,17.1891,22
C Green,KKR,16.8984,23
FH Allen,LSG,16.8973,24
PHKD Mendis,PBKS,16.7293,25
N Pooran,MI,16.6176,26
GD Phillips,RR,16.5721,27
S Dube,RR,16.4281,28
Atharva Taide,RCB,16.4259,29
RD Gaikwad,CSK,16.3462,30
Abishek Porel,LSG,15.8854,31
Priyansh Arya,RCB,15.522,32
Kartik Sharma,SRH,15.3131,33
J Fraser-McGurk,KKR,15.2667,34
JM Sharma,RCB,14.9526,35
Urvil Patel,MI,14.8599,36
MP Stoinis,DC,14.6627,37
Tushar Raheja,MI,14.4387,38
Jay Gohil,LSG,14.2264,39
Shashank Singh,PBKS,14.186,40
WL Madsen,KKR,14.1383,41
SA Yadav,DC,13.9823,42
SV Samson,GT,13.8096,43
BM Duckett,KKR,13.6473,44
KA Pollard,CSK,13.6283,45
Ishan Kishan,KKR,13.5495,46
Tarang Gohel,DC,13.5184,47
D Wiese,KKR,13.3438,48
Rohan Kunnummal,KKR,13.2977,49
Abhishek Pathak,RCB,13.2143,50
PD Salt,RR,13.1996,51
V Nigam,GT,13.0146,52
RM Patidar,RCB,13.0019,53
MJ Owen,DC,12.8416,54
H Klaasen,CSK,12.5083,55
TL Seifert,PBKS,11.9663,56
R Parag,GT,11.4291,57
Shadab Khan,SRH,11.2533,58
N Rana,PBKS,11.1267,59
TH David,GT,11.011,60
JC Buttler,SRH,10.942,61
MR Marsh,MI,10.9385,62
Karan Shinde,DC,10.7714,63
SP Narine,PBKS,10.771,64
Chirag Jani,RCB,10.5752,65
Sahil Parakh,SRH,10.5525,66
Smaran Ravichandran,MI,10.0901,67
AB de Villiers,CSK,9.9373,68
RD Rickelton,RR,9.8431,69
V Kohli,RR,9.6672,70
WG Jacks,LSG,9.6235,71
SS Iyer,MI,9.4789,72
HH Pandya,SRH,9.4621,73
RK Singh,GT,9.1736,74
AHT Donald,PBKS,9.1543,75
B Sai Sudharsan,CSK,9.0946,76
TM Head,CSK,8.7342,77
MW Short,SRH,8.7175,78
F du Plessis,CSK,8.6368,79
AM Rahane,CSK,7.7466,80
RR Rossouw,PBKS,7.6368,81
AD Russell,DC,7.4807,82
BJ McMullen,DC,7.2998,83
Nithish Kumar Reddy,GT,7.2858,84
KD Karthik,RR,7.2227,85
Arshad Khan,MI,6.9299,86
T Stubbs,PBKS,6.9051,87
RA Jadeja,LSG,6.6439,88
DR Mousley,LSG,6.3742,89
Sakibul Gani,MI,6.0964,90
JJ Smit,PBKS,6.0858,91
Ramandeep Singh,KKR,6.0764,92
Abdul Samad,SRH,5.8493,93
RA Bawa,SRH,5.8465,94
T Banton,SRH,5.4888,95
BA Stokes,RR,5.4668,96
D Brevis,GT,4.9245,97
MS Dhoni,KKR,4.8606,98
Anmolpreet Singh,RR,4.7418,99
AK Markram,DC,4.5378,100
Suryansh Shedge,KKR,3.8737,101
Salman Nizar,KKR,3.5699,102
GF Linde,GT,2.4355,103
JG Bethell,GT,2.3099,104
Ashutosh Sharma,GT,2.2607,105
MS Pepper,KKR,2.1883,106
AA Kulkarni,GT,1.6818,107
Utkarsh Singh,PBKS,1.3988,108
AR Patel,GT,0.9824,109
LS Livingstone,KKR,0.4838,110
Mohammad Nabi,RR,0.1696,111
Akash Vasisht,DC,-1.211,112
Shahbaz Ahmed,KKR,-2.5468,113
TA Boult,SRH,-3.1825,114
