player,team,points
SE Rutherford,DC,23
J Miyaji,RCB,21
Ankit Kumar,SRH,20
LR Chethan,LSG,18
Harnoor Singh,RCB,17
KD Karthik,RR,16
Jay Bista,KKR,15
TM Head,CSK,13
Anmolpreet Singh,RR,13
DW Lawrence,DC,12
Sanskar Rawat,PBKS,10
Prashant Solanki,CSK,8
Auqib Nabi,GT,6
Ajay Rohera,LSG,6
Abhilash Shetty,CSK,6
AHT Donald,PBKS,5
M Pathirana,RCB,4
Mayank Rawat,RCB,2
RA Bawa,SRH,2
M Poiyamozhi,CSK,1
Sakibul Gani,MI,0
MP Stoinis,DC,0
OEG Baartman,GT,0
V Puthur,SRH,-2
MS Dhoni,KKR,-2
R Shepherd,MI,-2
Khrievitso Kense,MI,-3
Arshad Khan,MI,-3
Darshan Misal,RCB,-3
Jagjit Singh,MI,-4
Vishnu Vinod,RR,-6
AM Rahane,CSK,-7
Aman Bhadoriya,RCB,-7
G Sai Venkata Sumith,RR,-8
Mohammad Nabi,RR,-10
