team,highest_batting_total,best_bowling_performance
CSK,225-5 (120) vs RR in S07M066,161-10 (118) vs DC in S07M018
DC,251-2 (120) vs GT in S07M004,110-10 (91) vs RR in S07M049
GT,241-10 (118) vs DC in S07M004,129-10 (105) vs KKR in S07M028
KKR,226-9 (120) vs GT in S07M032,92-10 (82) vs DC in S07M059
LSG,221-5 (120) vs RCB in S07M069,124-10 (101) vs KKR in S07M008
MI,216-7 (120) vs RCB in S07M041,170-9 (115) vs LSG in S07M062
PBKS,202-3 (120) vs CSK in S07M058,91-10 (69) vs RR in S07M009
RCB,262-6 (120) vs MI in S07M001,147-10 (96) vs KKR in S07M064
RR,230-7 (120) vs CSK in S07M066,75-10 (74) vs PBKS in S07M040
SRH,234-7 (120) vs DC in S07M012,66-10 (72) vs RCB in S07M060
