bowler,bowling_team,num_innings,dots,balls,dot_%
AR Ramjani,PBKS,11,109,255,42.75
Fazalhaq Farooqi,CSK,13,97,306,31.7
A Zampa,SRH,13,96,294,32.65
Arshdeep Singh,LSG,13,91,294,30.95
JJ Smit,PBKS,9,87,216,40.28
NT Ellis,SRH,12,81,276,29.35
B Kumar,KKR,12,78,214,36.45
Chirag Jani,RCB,11,76,240,31.67
GF Linde,GT,9,74,210,35.24
Shashank Singh,PBKS,14,70,228,30.7
Sufiyan Muqeem,GT,10,67,227,29.52
MP Yadav,PBKS,12,67,246,27.24
Ehsan Khan,MI,10,66,228,28.95
Pulkit Narang,KKR,11,64,228,28.07
Karan Lal,RR,10,63,194,32.47
JJ Bumrah,DC,12,63,249,25.3
MA Starc,KKR,8,61,137,44.53
H Ssenyondo,LSG,8,61,181,33.7
AJ Hosein,MI,8,60,186,32.26
PWH de Silva,RCB,12,59,276,21.38
Harsh Dubey,DC,8,58,156,37.18
Harshit Rana,GT,8,58,186,31.18
WG Jacks,LSG,12,55,222,24.77
R Sai Kishore,SRH,6,51,139,36.69
MR Marsh,MI,9,51,198,25.76
S Dube,RR,12,51,222,22.97
SH Johnson,RCB,7,50,150,33.33
SS Ghosh,RCB,6,49,138,35.51
Abrar Ahmed,RCB,6,49,142,34.51
C Green,KKR,10,49,202,24.26
Kuldeep Yadav,LSG,7,48,162,29.63
Tanush Kotian,CSK,13,48,238,20.17
Geet Puri,CSK,5,46,112,41.07
Atharva Ankolekar,RR,6,46,112,41.07
Naman Tiwari,CSK,5,46,114,40.35
Taskin Ahmed,MI,5,45,120,37.5
HJ Manenti,RCB,6,45,130,34.62
Zeeshan Ansari,RR,7,45,136,33.09
CV Varun,PBKS,7,44,138,31.88
AK Markram,DC,8,44,145,30.34
Noor Ahmad,MI,8,44,186,23.66
Utkarsh Singh,PBKS,7,43,120,35.83
Mohammad Ghazanfar,RR,7,43,138,31.16
Tanay Thyagarajan,CSK,6,43,144,29.86
Sonu Yadav,CSK,7,43,163,26.38
RE van der Merwe,CSK,5,42,120,35.0
AD Russell,DC,9,42,162,25.93
Rasikh Salam,SRH,5,41,114,35.96
LS Livingstone,KKR,7,41,156,26.28
Gurnoor Brar,DC,6,38,144,26.39
D Wiese,KKR,8,37,114,32.46
DS Rathi,KKR,5,37,120,30.83
Suryansh Shedge,KKR,5,36,78,46.15
Cheepurapalli Stephen,RR,5,36,108,33.33
HH Pandya,SRH,13,35,186,18.82
KA Maharaj,RCB,4,34,96,35.42
Mangesh Yadav,GT,6,34,132,25.76
J Overton,GT,6,34,138,24.64
S Lamichhane,KKR,4,33,96,34.38
JR Hazlewood,MI,5,32,114,28.07
Ashwin Das,LSG,6,32,138,23.19
Ashwin Shelke,DC,4,31,90,34.44
Shivam Shukla,MI,4,31,96,32.29
DR Mousley,LSG,12,31,156,19.87
GD Phillips,RR,9,30,114,26.32
Akash Vasisht,DC,6,30,144,20.83
Vidyadhar Patil,SRH,4,29,90,32.22
MW Short,SRH,7,28,90,31.11
B Muzarabani,GT,3,27,63,42.86
YS Chahal,CSK,7,27,117,23.08
Mohammad Amir,LSG,5,27,117,23.08
Shubhang Hegde,LSG,3,26,66,39.39
Ravi Teja,MI,4,26,96,27.08
Shaheen Shah Afridi,DC,6,26,102,25.49
Shadab Khan,SRH,5,26,104,25.0
T Natarajan,RR,5,26,113,23.01
DJ Willey,MI,3,25,66,37.88
JN Loftie-Eaton,RR,4,25,84,29.76
Imran Tahir,RCB,3,24,72,33.33
Washington Sundar,GT,3,24,72,33.33
A Nagwaswalla,RR,4,23,96,23.96
Ashutosh Sharma,GT,5,23,108,21.3
V Nigam,GT,9,23,152,15.13
GJ Maxwell,DC,8,23,156,14.74
Sanvir Singh,PBKS,7,22,132,16.67
Abhishek Tanwar,MI,4,21,76,27.63
Saim Ayub,SRH,3,20,66,30.3
Esakkimuthu A,RCB,3,18,72,25.0
J Miyaji,RCB,1,17,24,70.83
JM Coles,MI,4,17,96,17.71
Mohammed Shami,MI,2,16,43,37.21
Parth Chandan,DC,2,16,48,33.33
L Ngidi,RR,3,16,66,24.24
Manvanth Kumar L,PBKS,3,15,60,25.0
M Prasidh Krishna,KKR,2,14,24,58.33
SR Watson,LSG,4,14,78,17.95
M Shahrukh Khan,MI,3,13,50,26.0
Sunny Sandhu,DC,4,13,60,21.67
Tripuresh Singh,SRH,3,13,66,19.7
Akhil Scaria,RCB,3,12,42,28.57
AA Kulkarni,GT,3,12,42,28.57
C Sakariya,RR,2,12,48,25.0
V Puthur,SRH,3,12,64,18.75
Ramandeep Singh,KKR,6,12,72,16.67
Naveen-ul-Haq,CSK,1,11,24,45.83
Abdul Samad,SRH,3,11,36,30.56
JC Archer,LSG,3,11,64,17.19
R Parag,GT,8,11,66,16.67
BA Stokes,RR,4,11,78,14.1
KA Pollard,CSK,3,10,36,27.78
AR Patel,GT,2,10,48,20.83
PHKD Mendis,PBKS,6,10,72,13.89
Mayank Rawat,RCB,2,9,36,25.0
LI Meriwala,PBKS,2,9,42,21.43
Usman Tariq,CSK,3,8,44,18.18
VR Iyer,SRH,7,8,48,16.67
Shahbaz Ahmed,KKR,2,8,48,16.67
Prashant Veer,PBKS,1,7,12,58.33
M Siddharth,CSK,1,7,24,29.17
Abhishek Prabhakar,CSK,1,7,24,29.17
Akshya Deka,RCB,1,7,24,29.17
Auqib Nabi,GT,1,7,24,29.17
Jagjit Singh,MI,1,7,24,29.17
Khrievitso Kense,MI,2,7,42,16.67
Yash Punja,GT,2,7,48,14.58
Abhilash Shetty,CSK,1,6,12,50.0
TA Boult,SRH,1,6,20,30.0
SP Narine,PBKS,2,6,24,25.0
M Markande,LSG,2,6,30,20.0
B Sai Sudharsan,CSK,3,6,42,14.29
Sayed Irfan Aftab,PBKS,1,5,24,20.83
Parvej Musaraf,RCB,1,5,24,20.83
Prashant Solanki,CSK,1,5,24,20.83
TK Curran,GT,1,5,24,20.83
BJ McMullen,DC,4,5,36,13.89
OEG Baartman,GT,2,5,37,13.51
MJ Owen,DC,3,4,36,11.11
DW Lawrence,DC,3,4,36,11.11
CH Gayle,RCB,2,3,18,16.67
R Shepherd,MI,1,3,18,16.67
Rishabh Chouhan,GT,1,2,6,33.33
M Pathirana,RCB,1,2,12,16.67
Arshad Khan,MI,1,1,6,16.67
MP Stoinis,DC,1,1,6,16.67
Darshan Misal,RCB,1,1,12,8.33
N Sindhu,DC,2,1,12,8.33
RA Bawa,SRH,1,1,12,8.33
M Poiyamozhi,CSK,1,1,24,4.17
Mohammad Nabi,RR,1,1,24,4.17
