player,team,#catches,#runout/stumping
Ishan Kishan,KKR,13,1
JM Sharma,RCB,12,0
SV Samson,GT,12,1
RD Rickelton,RR,9,0
HJ Manenti,RCB,8,0
Shashank Singh,PBKS,8,2
RG Sharma,KKR,8,1
KL Rahul,SRH,7,0
YBK Jaiswal,RR,7,1
N Sindhu,DC,7,0
P Simran Singh,SRH,7,1
VR Iyer,SRH,7,1
TL Seifert,PBKS,7,3
Tanush Kotian,CSK,7,0
Tarang Gohel,DC,7,1
DR Mousley,LSG,6,0
S Dube,RR,6,0
CH Gayle,RCB,6,0
Utkarsh Singh,PBKS,6,0
Smaran Ravichandran,MI,6,0
Abishek Porel,LSG,6,0
Pulkit Narang,KKR,5,0
GJ Maxwell,DC,5,0
GD Phillips,RR,5,0
PWH de Silva,RCB,5,1
PHKD Mendis,PBKS,5,0
Kartik Sharma,SRH,5,0
Shivam Shukla,MI,5,0
Shubman Gill,LSG,5,0
KK Nair,CSK,5,0
V Kohli,RR,5,0
AB de Villiers,CSK,5,0
WL Madsen,KKR,5,0
AK Markram,DC,5,0
WG Jacks,LSG,5,0
T Banton,SRH,5,0
Abrar Ahmed,RCB,5,0
Tushar Raheja,MI,5,0
Tilak Varma,CSK,4,0
AD Russell,DC,4,0
Kuldeep Yadav,LSG,4,1
Naman Dhir,GT,4,0
PD Salt,RR,4,0
Abhishek Pathak,RCB,4,0
R Sai Kishore,SRH,4,1
B Kumar,KKR,4,1
MS Pepper,KKR,4,0
SA Yadav,DC,4,1
SS Iyer,MI,4,0
C Green,KKR,4,0
Sufiyan Muqeem,GT,4,0
Sameer Rizvi,LSG,4,0
Salil Arora,RCB,4,1
Arshdeep Singh,LSG,4,0
Sahil Parakh,SRH,4,0
T Stubbs,PBKS,4,0
GF Linde,GT,4,0
Vansh Bedi,PBKS,3,0
V Suryavanshi,PBKS,3,1
SS Ghosh,RCB,3,0
V Nigam,GT,3,0
Suryansh Shedge,KKR,3,0
N Rana,PBKS,3,1
Mohammad Ghazanfar,RR,3,0
R Parag,GT,3,0
KA Pollard,CSK,3,0
Sonu Yadav,CSK,3,0
A Zampa,SRH,3,0
Gurnoor Brar,DC,3,0
Ashwin Das,LSG,3,0
Geet Puri,CSK,3,0
JC Buttler,SRH,3,0
H Klaasen,CSK,3,1
Chirag Jani,RCB,3,0
B Sai Sudharsan,CSK,3,1
Atharva Ankolekar,RR,3,0
HH Pandya,SRH,3,0
JJ Smit,PBKS,3,0
J Fraser-McGurk,KKR,3,1
SR Watson,LSG,2,0
RE van der Merwe,CSK,2,0
RA Jadeja,LSG,2,0
Harsh Dubey,DC,2,0
KD Karthik,RR,2,0
Harshit Rana,GT,2,0
SP Narine,PBKS,2,0
F du Plessis,CSK,2,0
Fazalhaq Farooqi,CSK,2,0
FH Allen,LSG,2,0
Ehsan Khan,MI,2,1
DW Lawrence,DC,2,0
BM Duckett,KKR,2,0
TH David,GT,2,0
Urvil Patel,MI,2,0
Abhishek Sharma,MI,2,0
AR Ramjani,PBKS,2,1
AHT Donald,PBKS,2,0
YS Chahal,CSK,2,0
J Overton,GT,2,0
Jay Gohil,LSG,2,0
Zeeshan Ansari,RR,2,0
JJ Bumrah,DC,2,1
JN Loftie-Eaton,RR,2,0
M Shahrukh Khan,MI,2,1
