bowler,team,score,rank
H Ssenyondo,LSG,28.9819,1
M Pathirana,RCB,28.9704,2
Noor Ahmad,MI,28.9149,3
Kuldeep Yadav,LSG,28.8207,4
Suryansh Shedge,KKR,28.8022,5
AK Markram,DC,28.7721,6
A Zampa,SRH,28.6604,7
JJ Bumrah,DC,28.5745,8
NT Ellis,SRH,28.5727,9
B Kumar,KKR,28.55,10
Fazalhaq Farooqi,CSK,28.3557,11
GF Linde,GT,28.2938,12
Arshdeep Singh,LSG,28.237,13
MA Starc,KKR,28.1545,14
Karan Lal,RR,28.011,15
HJ Manenti,RCB,27.8745,16
JR Hazlewood,MI,27.8631,17
TA Boult,SRH,26.9325,18
MP Yadav,PBKS,26.2725,19
AR Ramjani,PBKS,26.1822,20
JC Archer,LSG,26.0991,21
LI Meriwala,PBKS,25.8476,22
CV Varun,PBKS,25.8245,23
Sufiyan Muqeem,GT,25.1371,24
AR Patel,GT,24.2368,25
Mohammad Ghazanfar,RR,24.1171,26
JJ Smit,PBKS,23.9933,27
Shashank Singh,PBKS,23.7118,28
Tanush Kotian,CSK,23.6259,29
KA Maharaj,RCB,23.4621,30
HH Pandya,SRH,23.335,31
A Nagwaswalla,RR,23.0433,32
Harsh Dubey,DC,23.0405,33
Washington Sundar,GT,22.9669,34
T Natarajan,RR,22.8638,35
Mohammad Nabi,RR,22.5193,36
PWH de Silva,RCB,22.1813,37
SP Narine,PBKS,21.6148,38
Imran Tahir,RCB,21.1281,39
M Prasidh Krishna,KKR,21.0676,40
DS Rathi,KKR,20.6376,41
Rasikh Salam,SRH,20.2996,42
WG Jacks,LSG,20.2729,43
C Green,KKR,19.6172,44
C Sakariya,RR,19.1884,45
M Siddharth,CSK,18.8062,46
J Overton,GT,18.431,47
YS Chahal,CSK,18.3627,48
Ravi Teja,MI,17.999,49
Pulkit Narang,KKR,17.5201,50
R Sai Kishore,SRH,17.0711,51
Ashutosh Sharma,GT,17.0697,52
Akash Vasisht,DC,16.8878,53
Khrievitso Kense,MI,16.5996,54
SH Johnson,RCB,16.5377,55
Ashwin Das,LSG,16.4142,56
Utkarsh Singh,PBKS,15.8945,57
Naveen-ul-Haq,CSK,15.8525,58
S Lamichhane,KKR,15.6702,59
S Dube,RR,15.5096,60
LS Livingstone,KKR,15.3633,61
Avesh Khan,LSG,15.1898,62
JN Loftie-Eaton,RR,15.1534,63
JM Coles,MI,15.0704,64
Gurnoor Brar,DC,15.0266,65
Harshit Rana,GT,14.8765,66
GJ Maxwell,DC,13.972,67
Mohammad Amir,LSG,13.9166,68
Naman Tiwari,CSK,13.5052,69
R Shepherd,MI,13.5006,70
SS Ghosh,RCB,13.4889,71
Shahbaz Ahmed,KKR,13.4008,72
Geet Puri,CSK,13.3578,73
V Puthur,SRH,12.3328,74
AJ Hosein,MI,12.1557,75
Shaheen Shah Afridi,DC,12.0792,76
BA Stokes,RR,11.2903,77
M Markande,LSG,11.2544,78
Shivam Shukla,MI,10.943,79
Mohammed Shami,MI,10.9234,80
Shadab Khan,SRH,10.7132,81
Tripuresh Singh,SRH,10.5087,82
Abrar Ahmed,RCB,10.1157,83
Chirag Jani,RCB,9.8263,84
Atharva Ankolekar,RR,9.2545,85
Sonu Yadav,CSK,9.024,86
Jagjit Singh,MI,8.9058,87
PHKD Mendis,PBKS,8.6747,88
CH Gayle,RCB,8.5658,89
AA Kulkarni,GT,7.924,90
D Wiese,KKR,7.7837,91
Tanay Thyagarajan,CSK,7.6311,92
Abdul Samad,SRH,7.6264,93
Ehsan Khan,MI,7.4593,94
V Nigam,GT,6.9654,95
Arshad Khan,MI,6.801,96
MR Marsh,MI,6.7915,97
MJ Owen,DC,6.0184,98
DW Lawrence,DC,5.8,99
MW Short,SRH,5.6429,100
KA Pollard,CSK,5.187,101
R Parag,GT,4.1836,102
Ramandeep Singh,KKR,4.029,103
Nithish Kumar Reddy,GT,3.9341,104
RA Bawa,SRH,3.8644,105
BJ McMullen,DC,3.607,106
DR Mousley,LSG,3.2518,107
Taskin Ahmed,MI,3.2084,108
GD Phillips,RR,3.1256,109
RE van der Merwe,CSK,2.8894,110
Cheepurapalli Stephen,RR,2.7708,111
Zeeshan Ansari,RR,2.6093,112
AD Russell,DC,2.5255,113
Sanvir Singh,PBKS,1.7021,114
Mangesh Yadav,GT,-0.3534,115
D Brevis,GT,-0.8753,116
Ashwin Shelke,DC,-1.3982,117
JG Bethell,GT,-1.8806,118
VR Iyer,SRH,-2.9446,119
MP Stoinis,DC,-3.077,120
Naman Dhir,GT,-6.5386,121
OEG Baartman,GT,-7.5945,122
