bowling_team,Bowl_Type,wkts,eco,SR
CSK,Pace,51,8.87,15.98
CSK,Spin,38,11.7,19.82
DC,Pace,50,10.58,16.38
DC,Spin,59,9.7,14.78
GT,Pace,49,9.8,18.2
GT,Spin,65,10.45,14.62
KKR,Pace,64,8.91,13.14
KKR,Spin,32,9.42,20.25
LSG,Spin,40,9.17,21.02
LSG,Pace,42,10.51,18.62
MI,Pace,35,10.74,21.74
MI,Spin,43,9.64,20.56
PBKS,Pace,46,9.48,15.65
PBKS,Spin,50,8.71,16.98
RCB,Pace,79,10.06,14.19
RCB,Spin,48,9.55,18.08
RR,Pace,30,10.32,24.57
RR,Spin,54,9.42,14.85
SRH,Pace,57,10.12,16.77
SRH,Spin,41,9.71,21.68
