striker,num_innings,runs,balls,outs,bat_order,bat_avg,bat_sr,form,team
Kartik Sharma,1,47,25,1,5,47,188,1.17,LSG
MG Bracewell,3,47,40,3,6,15.67,117.5,1,DC
MK Lomror,5,46,41,4,6,11.5,112.2,0.97,SRH
Rashid Khan,4,43,39,3,8,14.33,110.26,0.97,GT
Urvil Patel,5,42,26,4,8,10.5,161.54,0.97,DC
D Brevis,2,40,35,2,1,20,114.29,1.16,PBKS
RA Jadeja,5,40,21,2,9,20,190.48,1.03,DC
Dhruv Jurel,5,38,20,3,5,12.67,190,1.03,LSG
M Markande,3,38,50,1,8,38,76,1.04,PBKS
R Ashwin,5,37,31,4,8,9.25,119.35,0.94,KKR
SH Johnson,4,36,23,3,8,12,156.52,0.98,SRH
M Theekshana,5,34,39,2,10,17,87.18,0.95,MI
HV Patel,5,33,37,5,8,6.6,89.19,0.89,PBKS
PJ Cummins,5,33,29,2,7,16.5,113.79,0.99,PBKS
PN Mankad,2,33,31,2,4,16.5,106.45,1.03,SRH
M Shahrukh Khan,4,30,29,4,4,7.5,103.45,0.95,RCB
DL Chahar,1,29,18,1,9,29,161.11,1.05,PBKS
SM Curran,5,29,30,2,6,14.5,96.67,0.98,KKR
Shakib Al Hasan,3,29,20,1,7,29,145,1.07,PBKS
AS Roy,4,28,16,2,5,14,175,1.03,SRH
A Manohar,2,27,21,2,7,13.5,128.57,0.98,GT
Sanvir Singh,3,27,19,2,7,13.5,142.11,0.99,SRH
J Fraser-McGurk,2,26,18,2,5,13,144.44,1.01,RCB
JC Archer,3,26,22,2,9,13,118.18,0.95,LSG
R Sai Kishore,1,26,17,1,8,26,152.94,1.05,GT
T Natarajan,4,25,14,2,10,12.5,178.57,0.97,CSK
VG Arora,3,25,15,1,8,25,166.67,1.05,KKR
Avesh Khan,5,24,21,4,8,6,114.29,0.89,DC
JM Bairstow,2,24,27,2,1,12,88.89,1.08,KKR
SE Rutherford,1,24,16,1,5,24,150,1.07,LSG
PWH de Silva,3,23,15,1,8,23,153.33,1.03,DC
TA Boult,3,23,13,1,10,23,176.92,1.03,MI
B Kumar,5,22,25,5,11,4.4,88,0.83,KKR
Ravi Bishnoi,4,22,26,2,9,11,84.62,0.91,PBKS
A Zampa,3,21,13,2,10,10.5,161.54,0.95,SRH
JJ Bumrah,4,21,14,2,10,10.5,150,0.94,MI
K Gowtham,1,21,15,1,5,21,140,1.05,DC
M Prasidh Krishna,3,21,21,2,10,10.5,100,0.91,DC
Mustafizur Rahman,2,21,27,2,9,10.5,77.78,0.9,DC
AJ Turner,1,19,18,1,6,19,105.56,1.01,MI
Arshdeep Singh,3,19,11,1,10,19,172.73,1.01,LSG
Jagjit Singh,2,19,7,0,9,19,271.43,1.05,CSK
YS Chahal,3,19,10,2,8,9.5,190,0.97,RCB
Mohammad Ghazanfar,4,18,21,2,9,9,85.71,0.9,CSK
V Suryavanshi,1,18,10,1,5,18,180,1.06,PBKS
NT Ellis,2,17,18,2,9,8.5,94.44,0.9,LSG
Arslan Khan,2,16,12,2,3,8,133.33,0.99,RCB
Ashutosh Sharma,2,15,14,1,6,15,107.14,0.98,RCB
MA Agarwal,2,15,18,2,4,7.5,83.33,0.93,CSK
M Jansen,1,14,16,0,8,14,87.5,0.94,RR
R Tewatia,4,14,16,3,7,4.67,87.5,0.86,RR
Sumit Kumar,1,14,14,1,8,14,100,0.95,DC
Gurjapneet Singh,1,13,6,0,9,13,216.67,1,LSG
Mukesh Kumar,2,13,8,2,8,6.5,162.5,0.92,GT
WL Madsen,1,13,14,1,5,13,92.86,0.97,MI
Noor Ahmad,1,12,7,1,8,12,171.43,0.98,RCB
SK Rasheed,1,12,7,1,2,12,171.43,1.08,PBKS
SZ Mulani,2,12,13,2,9,6,92.31,0.87,MI
Suyash Sharma,1,12,5,0,11,12,240,0.98,MI
LH Ferguson,2,11,21,1,9,11,52.38,0.88,MI
M Siddharth,3,11,7,2,9,5.5,157.14,0.9,CSK
Mohammad Nabi,2,11,9,1,7,11,122.22,0.95,GT
RK Bhui,1,11,10,1,6,11,110,0.96,CSK
Sandeep Sharma,4,11,12,0,11,11,91.67,0.9,RR
Swapnil Singh,4,11,14,3,8,3.67,78.57,0.82,RR
V Shankar,2,11,15,2,5,5.5,73.33,0.88,DC
C Sakariya,3,10,9,1,11,10,111.11,0.91,SRH
Kuldeep Yadav,3,10,13,2,10,5,76.92,0.83,SRH
Mohammed Shami,3,10,8,2,10,5,125,0.87,PBKS
Rasikh Salam,2,10,13,1,8,10,76.92,0.9,GT
MP Yadav,2,9,8,2,10,4.5,112.5,0.85,CSK
TU Deshpande,2,9,6,2,8,4.5,150,0.89,RR
GF Linde,3,8,8,1,8,8,100,0.9,RR
M Pathirana,5,8,11,4,11,2,72.73,0.76,RCB
MA Starc,5,8,18,3,10,2.67,44.44,0.75,KKR
R Ravindra,1,7,7,1,2,7,100,0.98,RR
CV Varun,3,5,11,2,10,2.5,45.45,0.74,PBKS
KD Karthik,3,5,15,3,6,1.67,33.33,0.73,MI
SN Thakur,2,4,5,1,5,4,80,0.85,DC
Yash Thakur,2,4,9,0,11,4,44.44,0.77,PBKS
KK Ahmed,2,2,5,1,11,2,40,0.71,GT
KV Sharma,1,2,5,1,9,2,40,0.72,RR
Mujeeb Ur Rahman,2,1,7,2,10,0.5,14.29,0.58,CSK
Mayank Dagar,2,0,5,0,10,0,0,0,RR
