bowler,phase,pitch,runs_conceded,balls,wkts,dots,eco,SR,Curr_Tm
MA Wood,Middle,pace,124,84,3,19,8.86,28.0,
B Kumar,Middle,spin,188,102,3,22,11.06,34.0,KKR
MM Ali,Middle,pace,105,72,3,16,8.75,24.0,
PHKD Mendis,Middle,pace,114,78,3,12,8.77,26.0,SRH
RA Jadeja,Middle,neutralish,84,66,3,18,7.64,22.0,RCB
MG Erasmus,PP,spin,84,60,3,28,8.4,20.0,RCB
V Puthur,Death,spin,98,48,3,11,12.25,16.0,DC
KK Ahmed,Middle,pace,116,84,3,23,8.29,28.0,RR
K Rabada,PP,pace,117,78,3,31,9.0,26.0,
JDS Neesham,Middle,pace,107,60,3,13,10.7,20.0,DC
YS Chahal,Middle,pace,181,108,3,16,10.06,36.0,RCB
C Green,Middle,spin,178,96,3,17,11.12,32.0,KKR
VG Arora,PP,pace,242,168,3,65,8.64,56.0,KKR
R Shepherd,Death,neutralish,138,60,3,10,13.8,20.0,GT
R Sai Kishore,Death,pace,46,24,3,7,11.5,8.0,MI
R Sai Kishore,Death,neutralish,94,54,3,8,10.44,18.0,MI
JG Bethell,Death,spin,67,46,3,11,8.74,15.33,LSG
AA Kulkarni,Middle,neutralish,22,30,3,9,4.4,10.0,GT
R Parag,Middle,spin,236,150,3,27,9.44,50.0,GT
R Ashwin,PP,spin,248,144,3,40,10.33,48.0,KKR
G Coetzee,PP,pace,82,66,3,29,7.45,22.0,
WG Jacks,PP,spin,50,36,3,15,8.33,12.0,LSG
Noor Ahmad,Middle,neutralish,99,66,3,14,9.0,22.0,MI
V Nigam,Death,spin,90,46,3,9,11.74,15.33,MI
CJ Jordan,Death,pace,76,51,3,15,8.94,17.0,
RA Jadeja,PP,pace,172,102,3,24,10.12,34.0,RCB
Rasikh Salam,Death,neutralish,136,69,3,10,11.83,23.0,GT
Mohammad Nabi,PP,neutralish,52,42,3,19,7.43,14.0,LSG
DR Sams,Death,pace,97,60,3,19,9.7,20.0,GT
Mohammad Ghazanfar,Middle,neutralish,108,54,3,8,12.0,18.0,SRH
HH Pandya,Middle,neutralish,122,78,3,21,9.38,26.0,MI
RD Chahar,Death,spin,136,72,3,20,11.33,24.0,CSK
BJ McMullen,PP,pace,94,54,3,18,10.44,18.0,RR
HH Pandya,Death,spin,106,60,3,17,10.6,20.0,MI
Umran Malik,Death,pace,58,30,3,13,11.6,10.0,
K Rabada,Death,pace,123,72,3,13,10.25,24.0,
Suyash Sharma,Middle,spin,203,150,2,37,8.12,75.0,KKR
V Kaverappa,PP,pace,74,36,2,11,12.33,18.0,PBKS
Washington Sundar,PP,pace,69,42,2,16,9.86,21.0,PBKS
YK Pathan,Middle,spin,79,60,2,21,7.9,30.0,KKR
Zeeshan Ansari,Middle,spin,70,42,2,10,10.0,21.0,SRH
Washington Sundar,Middle,neutralish,85,60,2,13,8.5,30.0,PBKS
Yash Thakur,Death,spin,23,12,2,3,11.5,6.0,PBKS
TA Boult,PP,spin,173,108,2,39,9.61,54.0,MI
Jagjit Singh,PP,neutralish,105,42,2,6,15.0,21.0,SRH
KA Pollard,Middle,pace,33,30,2,9,6.6,15.0,CSK
Karan Lal,Middle,neutralish,75,54,2,8,8.33,27.0,RR
Suryansh Shedge,Middle,spin,205,126,2,26,9.76,63.0,CSK
M Jansen,Death,pace,74,48,2,14,9.25,24.0,
Suyash Sharma,Middle,pace,177,108,2,25,9.83,54.0,KKR
Khushdil Shah,PP,spin,42,30,2,14,8.4,15.0,DC
WG Jacks,Death,neutralish,56,30,2,7,11.2,15.0,LSG
KH Pandya,Middle,pace,43,30,2,7,8.6,15.0,SRH
Kuldeep Yadav,PP,neutralish,90,54,2,17,10.0,27.0,SRH
Khrievitso Kense,Middle,neutralish,24,18,2,5,8.0,9.0,RCB
KR Sen,PP,pace,144,90,2,27,9.6,45.0,LSG
Kuldeep Yadav,Middle,pace,47,30,2,6,9.4,15.0,SRH
T Natarajan,PP,neutralish,117,72,2,22,9.75,36.0,CSK
TU Deshpande,Middle,pace,124,78,2,23,9.54,39.0,MI
Mustafizur Rahman,Death,spin,94,60,2,13,9.4,30.0,
Sikandar Raza,PP,spin,98,72,2,26,8.17,36.0,MI
PP Chawla,PP,spin,44,30,2,9,8.8,15.0,
MP Stoinis,PP,pace,212,132,2,47,9.64,66.0,KKR
R Shepherd,PP,neutralish,114,60,2,21,11.4,30.0,GT
R Shepherd,Middle,neutralish,104,72,2,14,8.67,36.0,GT
R Sai Kishore,PP,neutralish,118,66,2,18,10.73,33.0,MI
MP Yadav,PP,neutralish,63,42,2,17,9.0,21.0,PBKS
R Parag,PP,neutralish,43,24,2,7,10.75,12.0,GT
MR Marsh,Death,pace,95,35,2,3,16.29,17.5,SRH
MR Marsh,Middle,neutralish,113,54,2,9,12.56,27.0,SRH
MR Marsh,PP,spin,11,18,2,12,3.67,9.0,SRH
MW Short,PP,spin,27,12,2,2,13.5,6.0,MI
Pulkit Narang,Middle,spin,44,24,2,6,11.0,12.0,RR
JR Hazlewood,Middle,spin,49,36,2,12,8.17,18.0,RR
Mayank Dagar,PP,spin,130,72,2,21,10.83,36.0,LSG
PWH de Silva,Death,neutralish,38,24,2,6,9.5,12.0,RCB
PJ Cummins,PP,spin,32,24,2,9,8.0,12.0,
MM Ali,PP,spin,141,90,2,36,9.4,45.0,
PJ Cummins,Middle,spin,57,42,2,15,8.14,21.0,
Mohammad Nabi,Death,neutralish,51,30,2,9,10.2,15.0,LSG
PHKD Mendis,PP,pace,13,6,2,2,13.0,3.0,SRH
Mohammad Nabi,Middle,pace,22,24,2,7,5.5,12.0,LSG
Nithish Kumar Reddy,Death,pace,51,24,2,3,12.75,12.0,SRH
Naveen-ul-Haq,PP,spin,38,30,2,8,7.6,15.0,SRH
Naveen-ul-Haq,Death,spin,24,18,2,6,8.0,9.0,SRH
Naseem Shah,PP,pace,77,60,2,29,7.7,30.0,LSG
Naseem Shah,PP,neutralish,19,12,2,3,9.5,6.0,LSG
NT Ellis,PP,spin,119,66,2,14,10.82,33.0,SRH
NT Ellis,Middle,pace,116,72,2,20,9.67,36.0,SRH
NT Ellis,Death,spin,34,24,2,4,8.5,12.0,SRH
Mukesh Kumar,PP,pace,152,78,2,27,11.69,39.0,
Mustafizur Rahman,Death,neutralish,67,48,2,11,8.38,24.0,
MP Stoinis,Death,pace,76,46,2,13,9.91,23.0,KKR
R Tewatia,Middle,neutralish,53,36,2,6,8.83,18.0,KKR
Sikandar Raza,Middle,pace,70,48,2,9,8.75,24.0,MI
SA Abbott,Death,pace,41,30,2,6,8.2,15.0,
Sikandar Raza,Middle,neutralish,167,120,2,28,8.35,60.0,MI
Shahbaz Ahmed,Death,pace,35,24,2,8,8.75,12.0,GT
Shadab Khan,Death,spin,61,42,2,15,8.71,21.0,SRH
Sanvir Singh,Middle,pace,28,18,2,8,9.33,9.0,LSG
Sami Sohail,Middle,pace,34,36,2,11,5.67,18.0,
SZ Mulani,Middle,neutralish,67,42,2,11,9.57,21.0,LSG
M Siddharth,Middle,neutralish,59,42,2,12,8.43,21.0,CSK
SN Thakur,Death,pace,34,18,2,4,11.33,9.0,GT
SM Curran,PP,pace,159,96,2,30,9.94,48.0,
SL Malinga,Middle,pace,140,96,2,20,8.75,48.0,PBKS
M Theekshana,Middle,pace,123,72,2,16,10.25,36.0,
M Theekshana,PP,pace,28,18,2,6,9.33,9.0,
SH Johnson,Middle,pace,56,30,2,8,11.2,15.0,GT
SA Abbott,Middle,pace,44,24,2,5,11.0,12.0,
MA Starc,Death,spin,103,48,2,9,12.88,24.0,KKR
RA Bawa,PP,spin,30,30,2,9,6.0,15.0,SRH
S Dube,PP,spin,145,66,2,13,13.18,33.0,RR
S Dube,PP,pace,127,72,2,27,10.58,36.0,RR
Ravi Teja,Death,pace,18,17,2,9,6.35,8.5,RCB
MA Starc,PP,neutralish,85,48,2,15,10.62,24.0,KKR
MG Bracewell,Death,neutralish,74,36,2,4,12.33,18.0,
MG Bracewell,PP,pace,70,42,2,16,10.0,21.0,
MJ Owen,Death,neutralish,49,24,2,3,12.25,12.0,DC
Rashid Khan,PP,neutralish,130,66,2,13,11.82,33.0,RR
RD Chahar,PP,spin,56,36,2,14,9.33,18.0,CSK
MJ Santner,Death,spin,76,50,2,14,9.12,25.0,KKR
MJ Santner,Middle,pace,95,60,2,13,9.5,30.0,KKR
MJ Santner,Middle,spin,91,66,2,18,8.27,33.0,KKR
MM Ali,Middle,spin,125,90,2,26,8.33,45.0,
RA Jadeja,Death,pace,120,66,2,12,10.91,33.0,RCB
SH Johnson,Middle,spin,64,36,2,9,10.67,18.0,GT
Zeeshan Ansari,PP,spin,65,42,2,15,9.29,21.0,SRH
AS Roy,PP,spin,78,54,2,21,8.67,27.0,
JC Archer,Middle,spin,69,48,2,11,8.62,24.0,LSG
AK Markram,Death,pace,16,12,2,5,8.0,6.0,DC
Ashutosh Sharma,Death,pace,22,12,2,5,11.0,6.0,RCB
Harpreet Brar,Death,spin,71,42,2,12,10.14,21.0,RR
JA Richardson,PP,pace,28,24,2,12,7.0,12.0,
DJ Bravo,Death,pace,78,48,2,10,9.75,24.0,RCB
JC Archer,Death,spin,57,42,2,13,8.14,21.0,LSG
Akash Deep,Middle,spin,12,12,2,7,6.0,6.0,
HV Patel,PP,pace,107,66,2,18,9.73,33.0,RR
JC Archer,PP,neutralish,77,36,2,8,12.83,18.0,LSG
Abrar Ahmed,Death,pace,39,18,2,5,13.0,9.0,GT
HV Patel,Death,spin,47,30,2,9,9.4,15.0,RR
Ashutosh Sharma,PP,neutralish,85,36,2,5,14.17,18.0,RCB
CH Gayle,Middle,spin,39,30,2,7,7.8,15.0,CSK
CH Gayle,Death,neutralish,37,18,2,7,12.33,9.0,CSK
C Sakariya,PP,spin,60,36,2,8,10.0,18.0,SRH
C Sakariya,PP,pace,103,72,2,25,8.58,36.0,SRH
C Sakariya,Death,spin,70,50,2,15,8.4,25.0,SRH
Ashwani Kumar,Death,neutralish,59,18,2,3,19.67,9.0,RR
AK Markram,Death,neutralish,98,42,2,9,14.0,21.0,DC
A Sheth,PP,pace,94,54,2,18,10.44,27.0,DC
CV Varun,Death,pace,71,42,2,11,10.14,21.0,PBKS
A Zampa,Middle,pace,94,54,2,10,10.44,27.0,RR
I Sharma,PP,spin,52,30,2,8,10.4,15.0,RCB
Arshad Khan,Death,pace,29,12,2,2,14.5,6.0,RR
D Brevis,Middle,spin,43,30,2,4,8.6,15.0,RR
Imran Tahir,Middle,neutralish,17,12,2,3,8.5,6.0,CSK
J Anderson,Middle,neutralish,27,12,2,6,13.5,6.0,
Akash Vasisht,Middle,pace,21,18,2,4,7.0,9.0,DC
I Sharma,Death,pace,25,12,2,3,12.5,6.0,RCB
Hemang Patel,PP,pace,22,18,2,8,7.33,9.0,GT
D Wiese,Death,pace,112,50,2,5,13.44,25.0,GT
Arshad Khan,PP,pace,190,96,2,30,11.88,48.0,RR
AD Russell,Death,spin,67,43,2,10,9.35,21.5,DC
Cheepurapalli Stephen,Middle,spin,16,12,2,3,8.0,6.0,CSK
Arshad Khan,PP,spin,58,42,2,18,8.29,21.0,RR
Harsh Dubey,Death,neutralish,29,18,2,6,9.67,9.0,RCB
Harpreet Brar,PP,spin,125,90,2,29,8.33,45.0,RR
CV Varun,Middle,pace,183,114,2,19,9.63,57.0,PBKS
CV Varun,Middle,neutralish,93,60,2,15,9.3,30.0,PBKS
Abrar Ahmed,Middle,neutralish,63,54,2,10,7.0,27.0,GT
JD Unadkat,Middle,pace,93,60,2,11,9.3,30.0,
HH Pandya,PP,spin,70,36,2,10,11.67,18.0,MI
GJ Maxwell,Death,neutralish,100,45,2,12,13.33,22.5,RR
AR Patel,PP,pace,134,72,2,23,11.17,36.0,CSK
BJ McMullen,Middle,pace,194,126,2,24,9.24,63.0,RR
Abhishek Sharma,Death,neutralish,25,16,2,4,9.38,8.0,MI
Fazalhaq Farooqi,Middle,spin,54,36,2,6,9.0,18.0,CSK
JJ Smit,PP,neutralish,11,12,2,7,5.5,6.0,PBKS
Abdul Samad,Middle,neutralish,36,18,2,5,12.0,9.0,LSG
GD Phillips,Death,pace,15,12,2,5,7.5,6.0,GT
Abid Mushtaq,Middle,spin,86,54,2,17,9.56,27.0,
B Kumar,Death,neutralish,41,18,2,4,13.67,9.0,KKR
GD Phillips,Death,spin,42,24,2,7,10.5,12.0,GT
JO Holder,Death,pace,99,48,2,9,12.38,24.0,
GD Phillips,Middle,neutralish,16,12,2,3,8.0,6.0,GT
GD Phillips,PP,neutralish,57,30,2,10,11.4,15.0,GT
Azmatullah Omarzai,Death,pace,96,54,2,15,10.67,27.0,LSG
JG Bethell,Middle,spin,10,12,2,7,5.0,6.0,LSG
AJ Turner,Death,spin,43,18,2,2,14.33,9.0,
Bilal Zalmai,Death,spin,45,29,2,8,9.31,14.5,
Abid Mushtaq,PP,spin,165,90,2,34,11.0,45.0,
Ashwin Das,Middle,pace,17,12,2,4,8.5,6.0,LSG
Mujeeb Ur Rahman,Death,pace,17,12,1,3,8.5,12.0,
NT Ellis,PP,neutralish,41,24,1,7,10.25,24.0,SRH
Naman Dhir,PP,spin,23,12,1,3,11.5,12.0,GT
Sumit Kumar,Middle,pace,24,12,1,2,12.0,12.0,DC
D Wiese,Death,spin,15,10,1,6,9.0,10.0,GT
DL Chahar,Death,spin,18,6,1,1,18.0,6.0,
DL Chahar,Death,pace,43,30,1,11,8.6,30.0,
Swapnil Singh,Middle,neutralish,101,54,1,5,11.22,54.0,
DL Chahar,Middle,neutralish,32,18,1,4,10.67,18.0,
NT Ellis,Middle,spin,53,30,1,4,10.6,30.0,SRH
NT Ellis,Middle,neutralish,26,18,1,5,8.67,18.0,SRH
Akash Madhwal,Middle,pace,5,6,1,2,5.0,6.0,CSK
NA Rathva,Middle,spin,10,6,1,2,10.0,6.0,RCB
N Sindhu,PP,spin,44,18,1,3,14.67,18.0,DC
Shaheen Shah Afridi,Death,neutralish,16,12,1,4,8.0,12.0,MI
D Visser,Middle,spin,41,30,1,6,8.2,30.0,
Akash Deep,PP,pace,59,42,1,16,8.43,42.0,
DL Chahar,Middle,pace,104,72,1,19,8.67,72.0,
MP Yadav,PP,spin,51,36,1,9,8.5,36.0,PBKS
Shahbaz Ahmed,PP,pace,42,24,1,7,10.5,24.0,GT
GD Phillips,Middle,pace,23,18,1,6,7.67,18.0,GT
Shahbaz Ahmed,Middle,pace,140,78,1,10,10.77,78.0,GT
Naveen-ul-Haq,Middle,neutralish,77,42,1,7,11.0,42.0,SRH
Shahbaz Ahmed,Middle,neutralish,68,30,1,4,13.6,30.0,GT
Naveen-ul-Haq,PP,neutralish,61,36,1,11,10.17,36.0,SRH
D Brevis,PP,spin,35,24,1,11,8.75,24.0,RR
Mohammed Shami,PP,neutralish,40,36,1,13,6.67,36.0,GT
Nithish Kumar Reddy,Death,spin,18,12,1,2,9.0,12.0,SRH
GF Linde,Death,neutralish,41,24,1,5,10.25,24.0,GT
GF Linde,Middle,neutralish,90,66,1,14,8.18,66.0,GT
Mohammed Shami,Middle,spin,106,66,1,12,9.64,66.0,GT
N Burger,PP,pace,20,12,1,7,10.0,12.0,
G Coetzee,Death,pace,10,6,1,2,10.0,6.0,
Swapnil Singh,Death,pace,11,10,1,3,6.6,10.0,
Abhishek Sharma,Middle,neutralish,69,42,1,6,9.86,42.0,MI
Mohsin Khan,PP,pace,110,60,1,23,11.0,60.0,LSG
Suryansh Shedge,PP,neutralish,45,30,1,10,9.0,30.0,CSK
Shadab Khan,PP,spin,34,24,1,10,8.5,24.0,SRH
Abhishek Sharma,Middle,pace,62,36,1,8,10.33,36.0,MI
Mohammad Nabi,Middle,neutralish,52,48,1,13,6.5,48.0,LSG
Akash Deep,Middle,neutralish,77,42,1,9,11.0,42.0,
DJ Hooda,Middle,spin,11,6,1,2,11.0,6.0,DC
Mukesh Kumar,Death,spin,17,12,1,4,8.5,12.0,
Mukesh Kumar,Middle,pace,110,84,1,17,7.86,84.0,
Mohsin Khan,PP,neutralish,17,12,1,4,8.5,12.0,LSG
DR Sams,PP,neutralish,48,24,1,8,12.0,24.0,GT
Mukesh Kumar,Middle,spin,36,18,1,5,12.0,18.0,
Mohammad Nabi,Death,pace,17,12,1,5,8.5,12.0,LSG
Akash Deep,Middle,pace,94,60,1,13,9.4,60.0,
DS Rathi,Death,pace,24,12,1,2,12.0,12.0,KKR
Shivank Vashisth,PP,spin,40,24,1,9,10.0,24.0,RCB
Mohsin Khan,Middle,neutralish,19,12,1,3,9.5,12.0,LSG
DS Rathi,Middle,neutralish,79,42,1,3,11.29,42.0,KKR
Mohsin Khan,Death,neutralish,33,18,1,5,11.0,18.0,LSG
Mohammad Ghazanfar,Death,pace,19,12,1,2,9.5,12.0,SRH
Shashank Singh,Middle,pace,47,24,1,4,11.75,24.0,PBKS
Mohammad Ghazanfar,Death,neutralish,29,22,1,9,7.91,22.0,SRH
Mohammed Shami,Middle,neutralish,40,24,1,7,10.0,24.0,GT
Shashank Singh,Middle,neutralish,10,6,1,1,10.0,6.0,PBKS
Ravi Teja,PP,neutralish,35,18,1,5,11.67,18.0,RCB
Suyash Sharma,PP,pace,43,36,1,15,7.17,36.0,KKR
Mohammed Siraj,PP,spin,39,24,1,8,9.75,24.0,
DAJ Bracewell,Middle,neutralish,18,18,1,5,6.0,18.0,RCB
Mayank Dagar,Death,pace,30,12,1,2,15.0,12.0,LSG
Sikandar Raza,PP,neutralish,17,12,1,3,8.5,12.0,MI
DS Rathi,PP,pace,58,54,1,21,6.44,54.0,KKR
Fazalhaq Farooqi,Death,neutralish,14,6,1,1,14.0,6.0,CSK
Shadab Khan,Middle,spin,65,42,1,12,9.29,42.0,SRH
Nithish Kumar Reddy,Middle,spin,89,54,1,7,9.89,54.0,SRH
SH Johnson,Death,spin,25,20,1,8,7.5,20.0,GT
Atharva Ankolekar,Death,neutralish,9,6,1,2,9.0,6.0,MI
RD Chahar,Death,pace,54,30,1,7,10.8,30.0,CSK
BJ McMullen,PP,spin,18,12,1,1,9.0,12.0,RR
Bal Krishna,Middle,pace,98,66,1,13,8.91,66.0,
Ashwin Das,PP,pace,18,12,1,6,9.0,12.0,LSG
Bilal Zalmai,Death,neutralish,9,6,1,1,9.0,6.0,
RA Jadeja,Middle,pace,198,126,1,17,9.43,126.0,RCB
SL Malinga,Death,neutralish,12,6,1,1,12.0,6.0,PBKS
Bilal Zalmai,Middle,spin,138,108,1,23,7.67,108.0,
Ashwani Kumar,PP,pace,37,18,1,3,12.33,18.0,RR
RA Bawa,PP,pace,10,12,1,6,5.0,12.0,SRH
SL Malinga,Middle,neutralish,17,12,1,2,8.5,12.0,PBKS
RA Bawa,Middle,pace,39,30,1,10,7.8,30.0,SRH
RA Bawa,Middle,neutralish,59,36,1,5,9.83,36.0,SRH
RA Bawa,Death,spin,61,24,1,1,15.25,24.0,SRH
Ashwani Kumar,PP,neutralish,16,12,1,3,8.0,12.0,RR
R Tewatia,PP,spin,34,18,1,4,11.33,18.0,KKR
Bilal Zalmai,PP,spin,48,30,1,11,9.6,30.0,
SM Curran,Death,neutralish,32,18,1,4,10.67,18.0,
SM Curran,Middle,neutralish,20,18,1,4,6.67,18.0,
Atharva Ankolekar,Middle,spin,18,12,1,2,9.0,12.0,MI
SH Johnson,Death,neutralish,26,18,1,3,8.67,18.0,GT
RS Hangargekar,PP,pace,43,36,1,22,7.17,36.0,MI
BA Stokes,Death,pace,45,30,1,9,9.0,30.0,SRH
S Dube,Death,neutralish,24,12,1,6,12.0,12.0,RR
S Dube,Middle,neutralish,60,36,1,7,10.0,36.0,RR
Azmatullah Omarzai,PP,neutralish,36,18,1,6,12.0,18.0,LSG
Ravi Bishnoi,Middle,pace,54,24,1,5,13.5,24.0,LSG
Azmatullah Omarzai,PP,spin,19,12,1,3,9.5,12.0,LSG
Ravi Bishnoi,Death,neutralish,18,18,1,6,6.0,18.0,LSG
S Dube,Middle,spin,13,12,1,6,6.5,12.0,RR
Rasikh Salam,Middle,spin,33,18,1,2,11.0,18.0,GT
Avesh Khan,PP,neutralish,69,42,1,14,9.86,42.0,GT
Avesh Khan,Middle,neutralish,65,54,1,10,7.22,54.0,GT
Atharva Ankolekar,PP,neutralish,25,12,1,1,12.5,12.0,MI
Rashid Khan,PP,pace,35,24,1,8,8.75,24.0,RR
BA Stokes,Middle,spin,13,12,1,4,6.5,12.0,SRH
Rashid Khan,Middle,neutralish,155,84,1,19,11.07,84.0,RR
S Lamichhane,Death,neutralish,10,6,1,1,10.0,6.0,DC
Rashid Khan,Death,pace,54,48,1,15,6.75,48.0,RR
Avesh Khan,Death,neutralish,99,42,1,5,14.14,42.0,GT
S Lamichhane,Middle,spin,84,60,1,16,8.4,60.0,DC
S Lamichhane,PP,neutralish,28,12,1,3,14.0,12.0,DC
Ramandeep Singh,Middle,neutralish,35,24,1,3,8.75,24.0,LSG
Ashutosh Sharma,PP,spin,37,24,1,5,9.25,24.0,RCB
C Green,PP,spin,49,30,1,8,9.8,30.0,KKR
C Sakariya,Death,pace,16,6,1,2,16.0,6.0,SRH
Cheepurapalli Stephen,PP,pace,55,30,1,8,11.0,30.0,CSK
Sami Sohail,Death,pace,158,69,1,10,13.74,69.0,
Arshdeep Singh,Middle,neutralish,54,30,1,8,10.8,30.0,LSG
Arshdeep Singh,Death,neutralish,50,37,1,12,8.11,37.0,LSG
Cheepurapalli Stephen,Middle,pace,85,60,1,10,8.5,60.0,CSK
Arshad Khan,Middle,spin,50,24,1,2,12.5,24.0,RR
PHKD Mendis,PP,spin,95,72,1,35,7.92,72.0,SRH
Cheepurapalli Stephen,PP,neutralish,46,30,1,7,9.2,30.0,CSK
Arshad Khan,Middle,neutralish,59,30,1,3,11.8,30.0,RR
GF Linde,PP,pace,13,12,1,5,6.5,12.0,GT
PHKD Mendis,Middle,neutralish,23,12,1,1,11.5,12.0,SRH
PP Chawla,Middle,neutralish,17,12,1,4,8.5,12.0,
Sandeep Sharma,PP,pace,225,138,1,43,9.78,138.0,LSG
PHKD Mendis,Death,neutralish,39,18,1,5,13.0,18.0,SRH
OEG Baartman,PP,pace,58,30,1,7,11.6,30.0,
Sandeep Sharma,PP,spin,161,90,1,29,10.73,90.0,LSG
OEG Baartman,Death,pace,51,33,1,10,9.27,33.0,
D Brevis,Death,spin,16,6,1,1,16.0,6.0,RR
Noor Ahmad,Middle,pace,57,42,1,8,8.14,42.0,MI
D Brevis,Middle,neutralish,66,36,1,8,11.0,36.0,RR
Nithish Kumar Reddy,PP,neutralish,31,18,1,7,10.33,18.0,SRH
SZ Mulani,PP,spin,119,66,1,17,10.82,66.0,LSG
Arshdeep Singh,Middle,spin,112,60,1,9,11.2,60.0,LSG
C Sakariya,Middle,neutralish,63,48,1,12,7.88,48.0,SRH
SP Narine,Death,spin,52,25,1,8,12.48,25.0,KKR
C Sakariya,PP,neutralish,27,18,1,8,9.0,18.0,SRH
R Sai Kishore,Middle,pace,46,36,1,8,7.67,36.0,MI
SN Netravalkar,Death,neutralish,41,18,1,3,13.67,18.0,CSK
SN Thakur,Middle,neutralish,26,12,1,3,13.0,12.0,GT
SN Thakur,Middle,pace,38,18,1,5,12.67,18.0,GT
R Parag,Middle,neutralish,94,60,1,9,9.4,60.0,GT
SN Thakur,PP,neutralish,28,12,1,3,14.0,12.0,GT
SP Narine,Death,pace,29,12,1,5,14.5,12.0,KKR
R Ashwin,PP,pace,100,66,1,25,9.09,66.0,KKR
Ashutosh Sharma,Middle,neutralish,35,24,1,4,8.75,24.0,RCB
Ashutosh Aman,Middle,spin,57,30,1,10,11.4,30.0,
CH Morris,PP,pace,183,90,1,30,12.2,90.0,DC
R Ashwin,Middle,neutralish,55,36,1,8,9.17,36.0,KKR
R Ashwin,Death,pace,48,36,1,12,8.0,36.0,KKR
Pulkit Narang,PP,spin,35,24,1,10,8.75,24.0,RR
SP Narine,PP,pace,107,54,1,13,11.89,54.0,KKR
SP Narine,PP,spin,194,108,1,44,10.78,108.0,KKR
PWH de Silva,Middle,pace,55,36,1,7,9.17,36.0,RCB
PWH de Silva,Death,pace,25,12,1,1,12.5,12.0,RCB
JR Hazlewood,Death,pace,67,36,1,3,11.17,36.0,RR
PHKD Mendis,Middle,spin,40,42,1,10,5.71,42.0,SRH
Azmatullah Omarzai,Death,spin,15,6,1,1,15.0,6.0,LSG
VG Arora,Death,pace,82,48,1,9,10.25,48.0,KKR
V Kaverappa,Middle,pace,12,12,1,5,6.0,12.0,PBKS
KK Ahmed,Death,spin,48,18,1,4,16.0,18.0,RR
Hemang Patel,Middle,pace,12,6,1,1,12.0,6.0,GT
Umran Malik,Middle,pace,67,54,1,17,7.44,54.0,
Umran Malik,PP,pace,35,18,1,6,11.67,18.0,
I Sharma,Middle,neutralish,34,18,1,2,11.33,18.0,RCB
Yash Dayal,Death,pace,55,23,1,6,14.35,23.0,
M Prasidh Krishna,Death,neutralish,18,17,1,6,6.35,17.0,MI
I Sharma,Middle,spin,66,42,1,8,9.43,42.0,RCB
A Nagwaswalla,Death,spin,16,6,1,1,16.0,6.0,RR
KK Ahmed,Middle,spin,32,24,1,9,8.0,24.0,RR
M Pathirana,PP,neutralish,62,42,1,16,8.86,42.0,RCB
KK Ahmed,PP,neutralish,69,42,1,14,9.86,42.0,RR
V Kaverappa,PP,neutralish,31,18,1,8,10.33,18.0,PBKS
KK Ahmed,PP,spin,80,54,1,21,8.89,54.0,RR
A Badoni,Death,spin,19,12,1,2,9.5,12.0,
YS Chahal,PP,neutralish,73,30,1,6,14.6,30.0,RCB
KK Ahmed,Death,pace,51,29,1,8,10.55,29.0,RR
Yash Thakur,Death,neutralish,51,24,1,5,12.75,24.0,PBKS
KA Maharaj,PP,neutralish,16,12,1,5,8.0,12.0,SRH
JG Bethell,Middle,neutralish,114,54,1,5,12.67,54.0,LSG
HV Patel,PP,spin,78,48,1,13,9.75,48.0,RR
Harpreet Brar,Death,pace,93,49,1,8,11.39,49.0,RR
Tanush Kotian,Middle,neutralish,77,60,1,10,7.7,60.0,CSK
M Theekshana,Middle,spin,60,48,1,12,7.5,48.0,
KA Pollard,Death,pace,48,18,1,5,16.0,18.0,CSK
Harsh Dubey,Middle,pace,32,24,1,8,8.0,24.0,RCB
Tanush Kotian,PP,pace,73,36,1,7,12.17,36.0,CSK
KC Cariappa,PP,spin,26,18,1,6,8.67,18.0,MI
KH Pandya,PP,neutralish,46,24,1,5,11.5,24.0,SRH
AJ Tye,Middle,pace,13,12,1,5,6.5,12.0,
KH Pandya,Death,pace,21,12,1,3,10.5,12.0,SRH
M Siddharth,PP,neutralish,104,54,1,15,11.56,54.0,CSK
A Mishra,Middle,spin,113,60,1,12,11.3,60.0,
KH Pandya,Middle,neutralish,98,60,1,12,9.8,60.0,SRH
JDS Neesham,PP,pace,130,84,1,32,9.29,84.0,DC
JDS Neesham,PP,neutralish,8,12,1,8,4.0,12.0,DC
V Nigam,PP,spin,52,24,1,6,13.0,24.0,MI
KV Sharma,Death,spin,30,12,1,1,15.0,12.0,
M Markande,Middle,pace,16,12,1,4,8.0,12.0,SRH
Washington Sundar,Death,neutralish,5,6,1,4,5.0,6.0,PBKS
LI Meriwala,Death,pace,40,18,1,3,13.33,18.0,DC
J Suchith,Middle,pace,23,12,1,2,11.5,12.0,
A Nortje,PP,pace,160,90,1,20,10.67,90.0,
A Zampa,PP,neutralish,34,24,1,7,8.5,24.0,RR
JC Archer,PP,spin,84,48,1,15,10.5,48.0,LSG
LH Ferguson,Middle,pace,60,36,1,7,10.0,36.0,
YK Pathan,Middle,pace,75,48,1,10,9.38,48.0,KKR
LA Dawson,Middle,spin,27,12,1,1,13.5,12.0,
AJ Hosein,Death,spin,10,12,1,9,5.0,12.0,
