bowler,phase,pitch,runs_conceded,balls,wkts,dots,eco,SR,Curr_Tm
HV Patel,Middle,spin,226,150,13,42,9.04,11.54,RR
KA Maharaj,Death,spin,130,76,13,33,10.26,5.85,SRH
Mayank Dagar,Death,spin,218,112,13,29,11.68,8.62,LSG
Naveen-ul-Haq,Death,pace,207,130,13,48,9.55,10.0,SRH
Yudhvir Singh,PP,pace,334,234,13,94,8.56,18.0,RCB
Mohammad Nabi,Middle,spin,244,204,13,60,7.18,15.69,LSG
Jagjit Singh,PP,pace,403,282,12,120,8.57,23.5,SRH
Noor Ahmad,Middle,spin,277,192,12,60,8.66,16.0,MI
Mayank Dagar,Middle,spin,391,288,12,89,8.15,24.0,LSG
Shahbaz Ahmed,Death,spin,115,78,12,33,8.85,6.5,GT
Shaheen Shah Afridi,Death,pace,97,65,12,26,8.95,5.42,MI
DAJ Bracewell,PP,pace,302,198,12,82,9.15,16.5,RCB
Swapnil Singh,Middle,spin,302,180,12,40,10.07,15.0,
Avesh Khan,Death,spin,161,78,12,23,12.38,6.5,GT
Arshdeep Singh,PP,spin,699,408,12,129,10.28,34.0,LSG
M Siddharth,PP,spin,368,264,12,106,8.36,22.0,CSK
A Nortje,Middle,pace,220,174,12,66,7.59,14.5,
T Natarajan,PP,pace,370,228,12,91,9.74,19.0,CSK
M Pathirana,Death,spin,215,116,11,27,11.12,10.55,RCB
SZ Mulani,Middle,spin,313,228,11,57,8.24,20.73,LSG
JJ Smit,Middle,pace,374,240,11,47,9.35,21.82,PBKS
Fazalhaq Farooqi,Death,pace,91,78,11,40,7.0,7.09,CSK
DS Rathi,Middle,spin,176,144,11,44,7.33,13.09,KKR
V Nigam,Middle,spin,307,222,11,57,8.3,20.18,MI
B Kumar,Death,spin,273,153,11,37,10.71,13.91,KKR
WG Jacks,Middle,spin,283,202,11,52,8.41,18.36,LSG
Ravi Teja,Middle,pace,208,162,11,54,7.7,14.73,RCB
S Dube,Death,pace,91,80,11,34,6.82,7.27,RR
HV Patel,Middle,pace,332,240,11,77,8.3,21.82,RR
JC Archer,Middle,pace,334,234,11,63,8.56,21.27,LSG
SH Johnson,Death,pace,121,72,11,28,10.08,6.55,GT
