striker,match_id,batting_team,balls,bowling_team
JC Buttler,S08M061,DC,37,GT
RM Patidar,S07M001,RCB,38,MI
SA Yadav,S04M069,DC,41,GT
Aniket Verma,S08M044,RR,42,MI
N Sindhu,S04M054,DC,42,RR
FH Allen,S03M011,LSG,43,SRH
YBK Jaiswal,S06M049,RR,43,DC
Kartik Sharma,S08M016,SRH,44,RR
FH Allen,S06M002,PBKS,44,DC
N Sindhu,S07M065,DC,44,RR
PD Salt,S06M005,RCB,44,MI
Shubman Gill,S05M072,LSG,45,MI
Tarang Gohel,S08M046,DC,45,GT
N Rana,S05M027,PBKS,45,MI
MP Stoinis,S05M020,KKR,46,DC
RG Sharma,S06M063,KKR,46,GT
Priyansh Arya,S03M011,SRH,46,LSG
Priyansh Arya,S06M034,RCB,48,MI
Tarang Gohel,S08M072,DC,48,LSG
B Sai Sudharsan,S04M023,CSK,48,GT
B Sai Sudharsan,S04M078,CSK,48,LSG
VR Iyer,S05M010,SRH,48,LSG
Tilak Varma,S08M034,CSK,49,DC
BM Duckett,S02M030,SRH,49,KKR
C Green,S05M060,KKR,49,GT
JP Inglis,S08M061,GT,49,DC
Aniket Verma,S04M093,RR,49,GT
Tarang Gohel,S04M069,DC,49,GT
RD Gaikwad,S04M058,GT,50,RR
Tilak Varma,S07M066,CSK,50,RR
Abhishek Pathak,S09M008,RCB,50,RR
Shubman Gill,S07M056,LSG,50,GT
GJ Maxwell,S07M021,DC,51,RCB
Shubman Gill,S07M035,LSG,51,RR
CH Gayle,S07M006,RCB,51,GT
CH Gayle,S04M060,CSK,51,RCB
SA Yadav,S08M034,DC,51,CSK
JC Buttler,M014,KKR,51,RCB
DP Conway,S02M009,GT,52,LSG
JP Inglis,S06M037,GT,52,KKR
CH Gayle,S07M021,RCB,53,DC
WG Jacks,M049,LSG,53,MI
V Suryavanshi,S07M058,PBKS,53,CSK
JP Inglis,S04M023,GT,53,CSK
GJ Maxwell,S04M015,RR,53,CSK
KL Rahul,S08M001,SRH,53,RCB
GJ Maxwell,S04M092,RR,53,DC
Tilak Varma,S03M018,CSK,53,DC
S Arora,S06M061,RCB,53,RR
MP Stoinis,S05M016,KKR,54,LSG
Abhishek Sharma,S06M008,MI,54,DC
GJ Maxwell,S02M054,RR,54,DC
Ishan Kishan,S08M049,KKR,54,RR
FH Allen,S06M059,PBKS,54,RCB
SA Yadav,S05M052,DC,54,LSG
Ishan Kishan,S07M059,KKR,54,DC
KL Rahul,S08M043,SRH,55,LSG
Shubman Gill,S08M031,LSG,55,KKR
P Simran Singh,M069,SRH,55,DC
Aniket Verma,S04M030,RR,55,KKR
Shubman Gill,M024,LSG,55,GT
Abhishek Sharma,S03M038,MI,55,DC
KL Rahul,S05M054,SRH,55,MI
SV Samson,S03M010,GT,55,DC
SA Yadav,S08M054,DC,56,PBKS
Abhishek Sharma,M049,MI,56,LSG
Ishan Kishan,S08M031,KKR,56,LSG
Shubman Gill,S04M033,LSG,56,GT
V Kohli,S06M049,RR,57,DC
P Simran Singh,S08M053,SRH,57,KKR
CH Gayle,S07M071,RCB,57,SRH
CH Gayle,S06M045,CSK,58,RCB
CH Gayle,S05M074,CSK,58,PBKS
Urvil Patel,S05M006,MI,58,DC
KL Rahul,S06M023,SRH,58,DC
V Kohli,S02M006,DC,58,CSK
V Kohli,S03M030,DC,58,LSG
AB de Villiers,S04M010,RR,59,CSK
H Klaasen,M066,PBKS,61,GT
Shubman Gill,S02M020,LSG,62,RR
MJ Owen,S09M006,MI,63,DC
RD Gaikwad,M061,RCB,63,LSG
F du Plessis,S02M040,CSK,64,KKR
KL Rahul,M036,SRH,65,DC
AM Rahane,S02M050,KKR,66,DC
