team,home_wins,home_matches,home_win%,away_wins,away_matches,away_win%
CSK,23.5,39,60.26,16,39,41.03
DC,23.5,39,60.26,16.5,40,41.25
GT,20,39,51.28,22.5,41,54.88
KKR,17,38,44.74,12,37,32.43
LSG,21.5,36,59.72,15,39,38.46
MI,20,37,54.05,18.5,43,43.02
PBKS,22,38,57.89,20,41,48.78
RCB,13,37,35.14,21,39,53.85
RR,20,37,54.05,25,44,56.82
SRH,25,40,62.5,19,39,48.72
