striker,match_id,batting_team,balls,bowling_team
KL Rahul,S03M016,SRH,29,RR
VR Iyer,S03M001,SRH,29,RR
PP Shaw,S02M003,MI,29,RCB
N Rana,S02M025,KKR,29,RR
Naman Dhir,S03M033,GT,29,MI
YBK Jaiswal,S02M036,RR,29,CSK
Naman Dhir,M062,GT,29,RR
GJ Maxwell,S02M031,RR,29,RCB
V Suryavanshi,S03M031,PBKS,29,SRH
S Dube,S02M065,RR,29,SRH
P Simran Singh,S02M068,SRH,29,DC
T Stubbs,S02M027,CSK,29,PBKS
DP Conway,S02M037,GT,29,RCB
Shubman Gill,S02M042,LSG,29,RCB
Naman Dhir,S02M043,GT,29,DC
Dhruv Jurel,S02M035,LSG,29,KKR
PD Salt,S03M029,RCB,29,RR
SV Samson,S02M059,GT,29,RR
GJ Maxwell,M028,RR,29,RCB
N Pooran,S03M017,MI,30,LSG
N Pooran,S03M002,MI,30,CSK
VR Iyer,M044,SRH,30,RR
N Pooran,S02M023,MI,30,GT
LS Livingstone,M012,SRH,30,CSK
KL Rahul,M051,SRH,30,RCB
RD Gaikwad,M061,RCB,30,LSG
Abhishek Sharma,S02M019,MI,30,KKR
Q de Kock,M047,PBKS,30,RCB
RG Sharma,S02M056,PBKS,30,GT
B Sai Sudharsan,S03M019,RCB,30,GT
V Kohli,S02M054,DC,30,RR
R Parag,S03M014,GT,30,CSK
Smaran Ravichandran,S02M027,PBKS,30,CSK
PD Salt,S02M003,RCB,30,MI
PD Salt,S03M009,RCB,30,PBKS
SV Samson,S02M028,GT,30,DC
SV Samson,S02M043,GT,30,DC
Naman Dhir,S02M023,GT,30,MI
Q de Kock,S02M013,PBKS,30,LSG
PP Shaw,S02M062,MI,30,RR
GJ Maxwell,M044,RR,30,SRH
RR Rossouw,S02M029,MI,30,LSG
JP Inglis,S03M033,GT,30,MI
YBK Jaiswal,S03M029,RR,30,RCB
RK Singh,S02M055,RCB,30,KKR
JM Sharma,S02M042,RCB,30,LSG
N Sindhu,S02M068,DC,30,SRH
AM Rahane,M006,KKR,30,DC
KL Rahul,S02M034,SRH,31,MI
Ishan Kishan,S02M014,KKR,31,GT
F du Plessis,S03M022,CSK,31,MI
SV Samson,M054,GT,31,SRH
AM Rahane,M014,KKR,31,RCB
Naman Dhir,S02M032,GT,31,CSK
V Kohli,M001,DC,31,LSG
Sikandar Raza,M036,DC,31,SRH
JC Buttler,S03M023,KKR,31,RR
MP Stoinis,S03M009,PBKS,31,RCB
GJ Maxwell,M018,RR,31,RCB
Shubman Gill,M008,LSG,31,RR
S Dube,S02M074,RR,31,SRH
DP Conway,M005,GT,31,RCB
RR Pant,M066,PBKS,31,GT
T Stubbs,S02M040,CSK,31,KKR
RA Tripathi,M003,RR,31,CSK
SA Yadav,M025,DC,31,MI
LS Livingstone,M032,SRH,31,LSG
AK Markram,M072,SRH,31,LSG
Naman Dhir,S02M028,GT,31,DC
Shubman Gill,S02M020,LSG,31,RR
RD Rickelton,S03M023,RR,31,KKR
Shashank Singh,M013,PBKS,32,LSG
V Kohli,M015,DC,32,CSK
AM Rahane,S03M023,KKR,32,RR
N Sindhu,S03M013,DC,32,RCB
Urvil Patel,M069,DC,32,SRH
PD Salt,M047,RCB,32,PBKS
MK Pandey,M010,KKR,32,GT
PD Salt,S02M063,RCB,32,PBKS
TM Head,M060,CSK,32,PBKS
Tilak Varma,M003,CSK,32,RR
DP Conway,M016,GT,32,SRH
LG Pretorius,S03M019,GT,32,RCB
DJ Hooda,M054,GT,32,SRH
GJ Maxwell,S02M054,RR,32,DC
TM Head,S03M014,CSK,32,GT
H Klaasen,M066,PBKS,32,GT
PP Shaw,S02M058,MI,32,DC
SA Yadav,M015,DC,32,CSK
RG Sharma,M047,PBKS,32,RCB
N Pooran,M011,MI,32,RR
PP Shaw,S02M034,MI,32,SRH
Abhishek Sharma,M011,MI,32,RR
Tilak Varma,M026,CSK,32,KKR
Abhishek Sharma,S02M029,MI,32,LSG
T Stubbs,S02M048,CSK,32,GT
P Simran Singh,M027,SRH,32,PBKS
Shubman Gill,S02M013,LSG,33,PBKS
Priyansh Arya,S03M031,SRH,33,PBKS
Urvil Patel,M056,DC,33,LSG
DP Conway,S02M005,GT,33,RR
RM Patidar,S03M007,RR,33,LSG
N Pooran,S02M019,MI,33,KKR
Dhruv Jurel,M024,LSG,33,GT
AM Rahane,M064,KKR,33,SRH
Tilak Varma,S02M016,CSK,33,RCB
T Stubbs,S02M036,CSK,33,RR
S Dube,M048,RR,33,DC
