bowler,opposition,runs_conceded,wkts,dots,Eco,SR,overs,Curr_Tm
WG Jacks,MI,195,10,32,9.75,12.0,20.0,LSG
Tanush Kotian,PBKS,258,10,48,10.32,15.0,25.0,CSK
NT Ellis,RCB,121,10,35,8.64,8.4,14.0,SRH
AK Markram,LSG,182,10,36,9.58,11.4,19.0,DC
T Natarajan,RCB,140,10,35,9.33,9.0,15.0,CSK
M Prasidh Krishna,KKR,216,10,46,9.0,14.4,24.0,RR
M Prasidh Krishna,RCB,247,10,54,8.82,16.8,28.0,RR
DS Rathi,RCB,232,9,53,8.29,18.67,28.0,KKR
Noor Ahmad,SRH,256,9,45,9.14,18.67,28.0,MI
YS Chahal,RR,292,9,40,10.62,18.33,27.3,RCB
Shashank Singh,MI,172,9,39,8.6,13.33,20.0,PBKS
CV Varun,CSK,207,9,50,8.51,16.22,24.2,PBKS
DS Rathi,DC,224,9,46,9.33,16.0,24.0,KKR
Ravi Bishnoi,CSK,249,9,62,9.22,18.0,27.0,GT
MP Yadav,GT,301,9,59,10.38,19.33,29.0,PBKS
MP Yadav,SRH,117,9,32,7.8,10.0,15.0,PBKS
Rasikh Salam,KKR,194,9,52,8.37,15.44,23.1,MI
Mayank Dagar,MI,97,9,25,8.08,8.0,12.0,LSG
Mohammad Nabi,SRH,129,9,33,8.06,10.67,16.0,LSG
PWH de Silva,SRH,254,9,36,9.77,17.33,26.0,RCB
NT Ellis,RR,119,9,27,8.3,9.56,14.2,SRH
Avesh Khan,KKR,222,9,51,9.65,15.33,23.0,GT
Suryansh Shedge,GT,214,9,45,9.17,15.56,23.2,CSK
Ravi Teja,MI,156,9,36,8.67,12.0,18.0,RCB
M Pathirana,LSG,286,9,37,10.28,18.56,27.5,RCB
Tanush Kotian,GT,186,9,35,8.09,15.33,23.0,CSK
SP Narine,SRH,319,9,57,8.7,24.44,36.4,KKR
AK Markram,RCB,144,9,34,8.0,12.0,18.0,DC
AK Markram,PBKS,162,9,37,8.53,12.67,19.0,DC
Karan Lal,GT,135,9,23,8.53,10.56,15.5,RR
AK Markram,MI,201,9,40,8.74,15.33,23.0,DC
TA Boult,KKR,241,9,69,8.61,18.67,28.0,MI
A Zampa,CSK,169,9,42,8.45,13.33,20.0,SRH
A Zampa,DC,236,9,54,8.14,19.33,29.0,SRH
M Pathirana,CSK,195,9,47,8.8,14.78,22.1,RCB
TA Boult,RCB,363,9,70,9.31,26.0,39.0,MI
TA Boult,RR,257,9,59,9.18,18.67,28.0,MI
Kuldeep Yadav,RR,320,9,66,9.14,23.33,35.0,SRH
Kuldeep Yadav,GT,245,9,42,8.75,18.67,28.0,SRH
A Zampa,RCB,142,9,34,8.35,11.33,17.0,SRH
Karan Lal,SRH,128,9,32,8.17,10.44,15.4,RR
JJ Smit,DC,137,9,19,9.67,9.44,14.1,PBKS
Karan Lal,RCB,216,9,35,10.8,13.33,20.0,RR
Tanush Kotian,MI,254,9,35,10.66,15.89,23.5,CSK
HH Pandya,DC,246,9,42,9.84,16.67,25.0,MI
JR Hazlewood,LSG,283,9,58,8.84,21.33,32.0,RR
JR Hazlewood,CSK,262,9,57,9.03,19.33,29.0,RR
AR Patel,KKR,275,8,55,9.48,21.75,29.0,CSK
C Green,GT,197,8,32,8.95,16.5,22.0,KKR
GJ Maxwell,SRH,323,8,53,10.09,24.0,32.0,DC
S Dube,RCB,168,8,24,11.45,11.0,14.4,RR
DS Rathi,LSG,110,8,26,7.33,11.25,15.0,KKR
Shashank Singh,GT,182,8,43,10.11,13.5,18.0,PBKS
AR Ramjani,SRH,87,8,28,7.25,9.0,12.0,PBKS
M Pathirana,SRH,264,8,38,10.15,19.5,26.0,RCB
HV Patel,LSG,197,8,40,8.63,17.12,22.5,GT
