striker,runs,balls,outs,fours,sixes,dots,SR,Bat_avg,bpb,dot_%,bowling_type
KH Pandya,57,42,1,6,2,19,135.71,57.0,5.25,45.24,pace
PJ Cummins,56,43,1,5,1,14,130.23,56.0,7.17,32.56,spin
HV Patel,53,41,6,3,3,17,129.27,8.83,6.83,41.46,spin
JR Hazlewood,52,38,4,3,3,20,136.84,13.0,6.33,52.63,pace
Atharva Taide,50,40,3,4,2,17,125.0,16.67,6.67,42.5,spin
MG Bracewell,50,40,5,1,4,17,125.0,10.0,8.0,42.5,spin
Anmolpreet Singh,47,32,1,7,0,8,146.88,47.0,4.57,25.0,pace
Shakib Al Hasan,46,40,3,2,4,22,115.0,15.33,6.67,55.0,spin
B Kumar,46,39,5,2,4,21,117.95,9.2,6.5,53.85,pace
MA Starc,46,30,5,5,2,14,153.33,9.2,4.29,46.67,pace
SM Curran,44,39,1,3,1,16,112.82,44.0,9.75,41.03,spin
M Shahrukh Khan,44,34,1,4,1,13,129.41,44.0,6.8,38.24,pace
R Tewatia,43,32,4,8,0,14,134.38,10.75,4.0,43.75,pace
TA Boult,42,30,1,3,0,7,140.0,42.0,10.0,23.33,pace
KK Nair,40,30,4,3,1,13,133.33,10.0,7.5,43.33,spin
Ashutosh Sharma,40,34,2,3,1,13,117.65,20.0,8.5,38.24,pace
MA Agarwal,38,30,2,3,1,11,126.67,19.0,7.5,36.67,spin
GD Phillips,38,22,2,4,2,13,172.73,19.0,3.67,59.09,pace
MR Marsh,38,38,1,5,0,16,100.0,38.0,7.6,42.11,pace
M Jansen,37,33,1,2,1,11,112.12,37.0,11.0,33.33,pace
SH Johnson,37,23,2,2,1,9,160.87,18.5,7.67,39.13,pace
Shahbaz Ahmed,37,30,1,0,2,8,123.33,37.0,15.0,26.67,pace
JR Hazlewood,36,28,1,2,1,12,128.57,36.0,9.33,42.86,spin
M Markande,36,47,2,3,1,30,76.6,18.0,11.75,63.83,spin
Ashutosh Sharma,35,28,2,5,0,11,125.0,17.5,5.6,39.29,spin
RA Jadeja,35,21,0,5,1,8,166.67,inf,3.5,38.1,pace
SB Dubey,35,25,1,4,0,6,140.0,35.0,6.25,24.0,pace
RA Jadeja,34,31,2,2,1,12,109.68,17.0,10.33,38.71,spin
M Theekshana,32,27,3,3,2,15,118.52,10.67,5.4,55.56,pace
R Sai Kishore,32,22,3,2,2,9,145.45,10.67,5.5,40.91,pace
TH David,32,19,3,2,2,5,168.42,10.67,4.75,26.32,pace
VG Arora,32,26,3,1,1,11,123.08,10.67,13.0,42.31,pace
Swapnil Singh,31,24,4,2,2,12,129.17,7.75,6.0,50.0,spin
PWH de Silva,31,23,0,2,2,9,134.78,inf,5.75,39.13,pace
DA Warner,30,21,0,2,1,3,142.86,inf,7.0,14.29,spin
RD Chahar,30,29,1,1,0,10,103.45,30.0,29.0,34.48,spin
Jay Gohil,29,19,1,2,1,6,152.63,29.0,6.33,31.58,spin
MG Bracewell,29,12,0,2,2,2,241.67,inf,3.0,16.67,pace
G Coetzee,28,25,1,1,1,9,112.0,28.0,12.5,36.0,pace
JJ Bumrah,28,16,3,3,1,6,175.0,9.33,4.0,37.5,pace
GF Linde,27,18,3,4,1,9,150.0,9.0,3.6,50.0,spin
Jagjit Singh,27,17,0,1,2,7,158.82,inf,5.67,41.18,spin
PN Mankad,27,21,2,2,1,8,128.57,13.5,7.0,38.1,pace
Arslan Khan,26,19,3,4,0,8,136.84,8.67,4.75,42.11,spin
JC Archer,26,23,0,2,1,11,113.04,inf,7.67,47.83,spin
T Natarajan,26,14,2,2,1,4,185.71,13.0,4.67,28.57,spin
J Suchith,25,26,2,1,1,10,96.15,12.5,13.0,38.46,spin
KD Karthik,25,36,3,3,0,22,69.44,8.33,12.0,61.11,spin
M Jansen,25,22,3,1,1,10,113.64,8.33,11.0,45.45,spin
Ravi Bishnoi,25,28,4,3,0,16,89.29,6.25,9.33,57.14,spin
TH David,25,25,3,0,1,9,100.0,8.33,25.0,36.0,spin
Jagjit Singh,25,15,1,4,0,6,166.67,25.0,3.75,40.0,pace
G Coetzee,24,17,0,2,0,4,141.18,inf,8.5,23.53,spin
SH Johnson,24,16,2,1,2,7,150.0,12.0,5.33,43.75,spin
TA Boult,24,22,1,3,0,7,109.09,24.0,7.33,31.82,spin
D Padikkal,24,16,2,3,1,6,150.0,12.0,4.0,37.5,pace
