Match,Player,TI,Team,Runs,I.Runs,B.Impact,Bowl,I.Wkts,Bo.Impact,Rank
S05M001,S Dube,236.35,RR,91(47),96.0,115.89,'3-49',5.89,120.46,1
S02M057,SP Narine,201.36,LSG,91(41),115.33,130.85,'1-39',3.45,70.51,2
M065,BA Stokes,200.91,LSG,90(49),103.82,120.21,'3-36',3.84,80.7,3
S03M051,PHKD Mendis,200.21,KKR,88(46),120.29,144.22,'1-14',2.32,55.98,4
S05M057,WG Jacks,198.97,LSG,91(64),100.99,113.66,'3-27',3.99,85.31,5
S05M020,MP Stoinis,190.51,KKR,101(46),122.64,153.6,'1-26',1.96,36.91,6
S04M023,B Sai Sudharsan,187.33,CSK,131(66),152.05,187.33,,,0.0,7
S05M007,AR Ramjani,187.26,PBKS,1(1),1.72,3.45,'4-28',8.49,183.81,8
S03M062,YS Chahal,181.06,RCB,,,0.0,'7-23',7.45,181.06,9
S05M016,MP Stoinis,180.58,KKR,103(55),132.0,184.32,'0-27',0.0,-3.74,10
S05M008,Abdul Samad,176.39,LSG,87(53),97.34,106.13,'2-27',3.1,70.26,11
S05M005,SP Narine,175.08,KKR,82(52),105.97,144.94,'1-36',1.78,30.14,12
M013,BA Stokes,172.36,LSG,56(29),67.91,76.99,'3-37',4.54,95.37,13
S05M074,CH Gayle,172.27,CSK,122(65),147.23,172.27,,,0.0,14
S05M060,C Green,172.01,KKR,114(57),122.43,127.61,'2-35',2.01,44.4,15
S02M045,GJ Maxwell,171.91,RR,82(40),95.5,114.34,'2-45',2.82,57.58,16
M049,WG Jacks,171.39,LSG,103(55),110.98,126.92,'1-27',2.03,44.47,17
S02M026,AK Markram,171.23,SRH,34(19),37.1,39.05,'4-28',6.26,132.19,18
S03M011,FH Allen,170.91,LSG,120(52),153.18,170.91,,,0.0,19
S04M094,S Dube,170.89,RR,96(49),113.8,139.12,'2-46',1.75,31.77,20
S05M080,PWH de Silva,165.01,RCB,85(45),87.3,107.38,'2-26',2.37,57.64,21
M037,HH Pandya,164.33,MI,23(16),28.81,35.21,'5-18',5.0,129.12,22
S03M060,AD Russell,164.33,DC,34(22),34.33,34.7,'5-32',5.08,129.63,23
S04M076,NT Ellis,164.29,SRH,,,0.0,'6-28',6.91,164.29,24
S04M083,JJ Smit,162.11,PBKS,10(5),10.31,11.14,'5-38',7.1,150.98,25
S05M063,Shadab Khan,161.27,SRH,44(21),50.79,63.79,'3-25',4.29,97.48,26
S04M071,SP Narine,161.23,KKR,63(38),72.47,82.58,'2-40',3.93,78.65,27
