bowler,venue,runs_conceded,wkts,dots,Eco,SR,overs,Curr_Tm
M Pathirana,KKR,95,4,21,8.64,16.5,11.0,RCB
M Pathirana,GT,225,4,24,11.95,28.25,18.5,RCB
CH Gayle,RCB,37,4,7,9.25,6.0,4.0,CSK
MP Yadav,RCB,110,4,40,7.59,21.75,14.3,PBKS
S Lamichhane,SRH,67,4,17,7.31,13.75,9.1,DC
Mukesh Kumar,MI,114,4,18,10.36,16.5,11.0,
Mohsin Khan,KKR,20,4,13,5.71,5.25,3.3,
Mohammed Siraj,RCB,373,4,66,9.82,57.0,38.0,
Mohammed Shami,PBKS,99,4,22,9.0,16.5,11.0,LSG
YK Pathan,KKR,154,4,31,8.11,28.5,19.0,KKR
Usman Khan (2),CSK,23,4,10,7.67,4.5,3.0,
C Green,GT,73,4,12,9.12,12.0,8.0,KKR
Imran Tahir,RCB,123,4,22,10.25,18.0,12.0,CSK
S Lamichhane,CSK,36,4,11,9.39,5.75,3.5,DC
Mohammad Ghazanfar,DC,23,4,10,7.67,4.5,3.0,SRH
AD Russell,CSK,50,4,5,10.0,7.5,5.0,DC
Mayank Dagar,LSG,76,4,8,10.13,11.25,7.3,LSG
Mayank Dagar,CSK,60,4,9,10.0,9.0,6.0,LSG
HJ Manenti,RCB,53,4,11,9.94,8.0,5.2,CSK
BA Stokes,KKR,106,4,24,8.15,19.5,13.0,RR
A Zampa,MI,100,4,12,9.09,16.5,11.0,SRH
JJ Bumrah,KKR,119,3,17,10.82,22.0,11.0,DC
JA Duffy,DC,28,3,9,7.0,8.0,4.0,GT
JR Hazlewood,MI,92,3,26,7.67,24.0,12.0,RR
Imran Tahir,PBKS,63,3,17,9.45,13.33,6.4,CSK
JJ Bumrah,CSK,139,3,23,8.69,32.0,16.0,DC
JR Hazlewood,RCB,74,3,16,9.25,16.0,8.0,RR
J Anderson,KKR,51,3,4,16.11,6.33,3.1,
M Prasidh Krishna,SRH,137,3,13,11.42,24.0,12.0,RR
Jagjit Singh,KKR,41,3,11,10.25,8.0,4.0,SRH
Jagjit Singh,RR,79,3,14,11.29,14.0,7.0,SRH
RA Jadeja,CSK,62,3,15,6.89,18.0,9.0,SRH
R Tewatia,SRH,50,3,7,10.0,10.0,5.0,
R Shepherd,CSK,120,3,18,10.0,24.0,12.0,GT
R Sai Kishore,DC,117,3,17,11.7,20.0,10.0,MI
Shaheen Shah Afridi,CSK,39,3,5,9.75,8.0,4.0,MI
Shaheen Shah Afridi,LSG,56,3,19,7.81,14.33,7.1,MI
Shaheen Shah Afridi,RCB,96,3,15,12.0,16.0,8.0,MI
PWH de Silva,MI,67,3,19,8.38,16.0,8.0,RCB
PWH de Silva,KKR,24,3,12,6.0,8.0,4.0,RCB
Shakib Al Hasan,RR,74,3,15,9.25,16.0,8.0,
PJ Cummins,RCB,65,3,12,9.29,14.0,7.0,
Noor Ahmad,RR,78,3,7,9.75,16.0,8.0,MI
Noor Ahmad,DC,91,3,17,11.38,16.0,8.0,MI
Nithish Kumar Reddy,MI,54,3,9,7.71,14.0,7.0,SRH
Nithish Kumar Reddy,KKR,77,3,16,7.7,20.0,10.0,SRH
Nithish Kumar Reddy,CSK,46,3,12,7.67,12.0,6.0,SRH
Naveen-ul-Haq,RCB,75,3,20,9.38,16.0,8.0,SRH
RA Jadeja,LSG,106,3,13,8.83,24.0,12.0,SRH
RA Jadeja,PBKS,119,3,27,7.93,30.0,15.0,SRH
RA Jadeja,RCB,448,3,22,12.11,74.0,37.0,SRH
S Dube,PBKS,72,3,12,9.0,16.0,8.0,RR
SS Ghosh,KKR,31,3,6,10.33,6.0,3.0,MI
SP Narine,CSK,73,3,12,9.12,16.0,8.0,KKR
SL Malinga,RR,50,3,9,8.33,12.0,6.0,PBKS
S Lamichhane,RCB,22,3,5,11.0,4.0,2.0,DC
S Lamichhane,PBKS,64,3,10,9.14,14.0,7.0,DC
S Lamichhane,LSG,19,3,6,6.71,5.67,2.5,DC
S Lamichhane,GT,19,3,9,6.33,6.0,3.0,DC
S Dube,CSK,83,3,17,9.22,18.0,9.0,RR
RA Jadeja,RR,72,3,9,9.0,16.0,8.0,SRH
Sandeep Sharma,CSK,175,3,28,10.0,35.0,17.3,
Ravi Bishnoi,RR,132,3,15,11.0,24.0,12.0,GT
Sandeep Sharma,GT,84,3,13,10.5,16.0,8.0,
Rashid Khan,DC,80,3,11,11.16,14.33,7.1,MI
Sandeep Sharma,PBKS,70,3,5,10.0,14.0,7.0,
RR Patel,DC,44,3,6,11.0,8.0,4.0,RCB
RA Jadeja,SRH,230,3,44,10.87,42.33,21.1,SRH
Naseem Shah,RR,111,3,43,6.94,32.0,16.0,
Naman Dhir,PBKS,63,3,6,12.6,10.0,5.0,GT
NT Ellis,KKR,75,3,36,6.25,24.0,12.0,SRH
Kuldeep Yadav,LSG,61,3,19,7.62,16.0,8.0,SRH
Swapnil Singh,SRH,174,3,12,14.5,24.0,12.0,CSK
M Jansen,KKR,65,3,18,8.12,16.0,8.0,
M Jansen,CSK,113,3,22,9.42,24.0,12.0,
LS Livingstone,GT,131,3,13,10.92,24.0,12.0,KKR
LI Meriwala,RR,85,3,28,7.08,24.0,12.0,DC
LI Meriwala,KKR,72,3,12,9.0,16.0,8.0,DC
T Natarajan,GT,147,3,18,10.5,28.0,14.0,CSK
Karan Lal,LSG,61,3,6,8.71,14.0,7.0,RR
Swapnil Singh,PBKS,106,3,21,8.83,24.0,12.0,CSK
KV Sharma,DC,41,3,5,10.25,8.0,4.0,
TA Boult,LSG,98,3,24,8.17,24.0,12.0,MI
KK Ahmed,RCB,27,3,10,6.75,8.0,4.0,RR
KK Ahmed,LSG,98,3,19,8.91,22.0,11.0,RR
KC Cariappa,LSG,30,3,9,7.5,8.0,4.0,
KA Pollard,CSK,100,3,16,10.0,20.0,10.0,CSK
KA Maharaj,RCB,20,3,14,5.0,8.0,4.0,SRH
M Pathirana,CSK,108,3,20,10.62,20.33,10.1,RCB
M Siddharth,KKR,82,3,18,10.25,16.0,8.0,CSK
N Rana,KKR,122,3,22,8.71,28.0,14.0,PBKS
Mohammad Ghazanfar,RCB,86,3,14,12.29,14.0,7.0,SRH
Mustafizur Rahman,MI,114,3,21,9.5,24.0,12.0,
Mujeeb Ur Rahman,PBKS,56,3,21,7.0,16.0,8.0,
Mujeeb Ur Rahman,GT,117,3,19,10.64,22.0,11.0,
Sikandar Raza,PBKS,137,3,26,9.13,30.0,15.0,
Mohammed Siraj,KKR,35,3,23,5.0,14.0,7.0,
Mohammed Shami,DC,172,3,22,12.29,28.0,14.0,LSG
Mohammad Nabi,CSK,61,3,18,8.71,14.0,7.0,LSG
MR Marsh,RCB,52,3,12,7.43,14.0,7.0,SRH
M Siddharth,LSG,73,3,16,9.52,15.33,7.4,CSK
MR Marsh,DC,198,3,20,12.38,32.0,16.0,SRH
Suryansh Shedge,RCB,131,3,16,10.92,24.0,12.0,CSK
MJ Santner,KKR,178,3,30,9.37,38.0,19.0,KKR
MJ Owen,PBKS,36,3,9,7.2,10.0,5.0,DC
Suyash Sharma,PBKS,69,3,18,9.86,14.0,7.0,KKR
MA Wood,PBKS,59,3,9,9.83,12.0,6.0,
MA Starc,LSG,140,3,26,10.77,26.0,13.0,KKR
Mohammad Nabi,RCB,56,3,18,7.0,16.0,8.0,LSG
SZ Mulani,PBKS,13,3,6,6.5,4.0,2.0,LSG
Atharva Ankolekar,MI,64,3,17,8.73,14.67,7.2,MI
GD Phillips,SRH,53,3,10,8.83,12.0,6.0,GT
AR Patel,LSG,114,3,16,9.5,24.0,12.0,CSK
Washington Sundar,RCB,99,3,23,8.25,24.0,12.0,PBKS
AR Patel,KKR,97,3,24,8.82,22.0,11.0,CSK
BJ McMullen,RR,165,3,13,11.79,28.0,14.0,RR
Akash Vasisht,MI,92,3,20,8.36,22.0,11.0,SRH
HV Patel,MI,159,3,33,9.94,32.0,16.0,GT
HV Patel,RCB,118,3,18,10.73,22.0,11.0,GT
Harpreet Brar,GT,152,3,20,10.13,30.0,15.0,GT
Avesh Khan,CSK,111,3,20,9.25,24.0,12.0,GT
Harpreet Brar,LSG,123,3,16,10.25,24.0,12.0,GT
AK Markram,KKR,42,3,3,10.5,8.0,4.0,DC
Akash Vasisht,PBKS,60,3,11,10.0,12.0,6.0,SRH
Arshad Khan,KKR,151,3,22,9.44,32.0,16.0,DC
C Green,CSK,51,3,8,10.2,10.0,5.0,KKR
AJ Turner,RR,76,3,6,12.67,12.0,6.0,
Arshdeep Singh,GT,233,3,33,9.71,48.0,24.0,LSG
C Sakariya,RR,67,3,19,8.38,16.0,8.0,SRH
AR Ramjani,MI,23,3,11,5.75,8.0,4.0,PBKS
AD Russell,RCB,85,3,11,10.62,16.0,8.0,DC
H Ssenyondo,GT,20,3,11,5.0,8.0,4.0,LSG
Yash Thakur,DC,93,3,10,11.62,16.0,8.0,MI
Abhishek Sharma,LSG,78,3,19,8.67,18.0,9.0,MI
DR Sams,KKR,50,3,11,12.5,8.0,4.0,
C Sakariya,CSK,124,3,26,8.27,30.0,15.0,SRH
C Sakariya,DC,146,3,19,9.12,32.0,16.0,SRH
Abrar Ahmed,LSG,31,3,8,8.45,7.33,3.4,
DR Sams,GT,203,3,25,11.28,36.0,18.0,
Yash Dayal,LSG,162,3,22,10.8,30.0,15.0,
C Sakariya,RCB,69,3,16,8.62,16.0,8.0,SRH
GJ Maxwell,GT,150,3,25,9.68,31.0,15.3,DC
GJ Maxwell,CSK,127,3,13,10.58,24.0,12.0,DC
Washington Sundar,RR,102,3,20,8.5,24.0,12.0,PBKS
H Ssenyondo,RR,17,3,13,4.25,8.0,4.0,LSG
AR Ramjani,RCB,87,3,6,10.88,16.0,8.0,PBKS
HH Pandya,DC,100,3,17,10.0,20.0,10.0,MI
V Puthur,PBKS,83,3,15,10.38,16.0,8.0,DC
AD Russell,RR,158,3,13,14.36,22.0,11.0,DC
DS Airee,RR,63,3,17,7.88,16.0,8.0,CSK
AD Russell,MI,103,3,11,11.44,18.0,9.0,DC
WG Jacks,SRH,198,3,23,10.42,38.0,19.0,LSG
Yuvraj Singh,KKR,39,3,10,9.75,8.0,4.0,CSK
BA Stokes,PBKS,37,3,7,9.25,8.0,4.0,RR
A Sheth,CSK,21,3,15,5.25,8.0,4.0,DC
BA Stokes,MI,131,3,28,9.36,28.0,14.0,RR
BA Stokes,CSK,89,3,17,8.09,22.0,11.0,RR
A Nortje,KKR,27,3,11,6.75,8.0,4.0,
A Nortje,CSK,41,3,9,10.25,8.0,4.0,
B Kumar,PBKS,70,3,14,10.0,14.0,7.0,KKR
Chirag Jani,RCB,25,3,8,6.0,8.33,4.1,CSK
Ashwani Kumar,MI,95,3,9,11.88,16.0,8.0,RR
Fazalhaq Farooqi,LSG,27,3,10,6.75,8.0,4.0,CSK
D Wiese,KKR,56,3,19,7.0,16.0,8.0,GT
Avesh Khan,KKR,73,3,21,9.12,16.0,8.0,GT
WG Jacks,GT,117,3,11,10.64,22.0,11.0,LSG
A Mishra,GT,34,3,7,8.5,8.0,4.0,
Avesh Khan,DC,208,3,15,11.56,36.0,18.0,GT
A Kamboj,RR,111,3,23,9.25,24.0,12.0,GT
A Kamboj,KKR,81,3,14,10.12,16.0,8.0,GT
WG Jacks,DC,90,3,7,12.86,14.0,7.0,LSG
Chirag Jani,GT,95,3,12,10.56,18.0,9.0,CSK
GJ Maxwell,PBKS,153,3,18,10.2,30.0,15.0,DC
AA Kulkarni,GT,67,3,12,7.44,18.0,9.0,GT
A Zampa,GT,118,3,13,9.83,24.0,12.0,SRH
Harsh Dubey,LSG,89,3,11,11.12,16.0,8.0,RCB
DAJ Bracewell,CSK,69,3,21,8.62,16.0,8.0,
A Zampa,RCB,75,3,8,10.47,14.33,7.1,SRH
Ashutosh Sharma,MI,58,3,17,8.29,14.0,7.0,RCB
YS Chahal,KKR,43,3,8,10.75,8.0,4.0,RCB
AD Russell,GT,54,3,10,11.17,9.67,4.5,DC
YS Chahal,DC,83,2,13,10.6,23.5,7.5,RCB
YK Pathan,RR,37,2,7,9.25,12.0,4.0,KKR
BJ McMullen,GT,20,2,6,6.67,9.0,3.0,RR
Mustafizur Rahman,PBKS,85,2,10,10.62,24.0,8.0,
Mustafizur Rahman,LSG,68,2,12,8.5,24.0,8.0,
YK Pathan,SRH,54,2,17,6.75,24.0,8.0,KKR
Mustafizur Rahman,KKR,47,2,13,6.71,21.0,7.0,
Mohammad Nabi,RR,129,2,12,10.75,36.0,12.0,LSG
Avesh Khan,PBKS,43,2,6,10.75,12.0,4.0,GT
Mujeeb Ur Rahman,RCB,33,2,8,8.25,12.0,4.0,
Azmatullah Omarzai,CSK,102,2,22,9.27,33.0,11.0,
Bilal Zalmai,PBKS,36,2,4,9.0,12.0,4.0,
Mukesh Kumar,LSG,25,2,11,6.25,12.0,4.0,
Baltej Singh,RCB,28,2,4,14.0,6.0,2.0,
BJ McMullen,CSK,34,2,8,8.5,12.0,4.0,RR
Mustafizur Rahman,GT,30,2,6,10.0,9.0,3.0,
Baltej Singh,MI,18,2,8,6.0,9.0,3.0,
Mohit Redkar,RR,36,2,6,9.0,12.0,4.0,CSK
BA Stokes,RCB,44,2,7,11.0,12.0,4.0,RR
Shivank Vashisth,KKR,19,2,8,6.33,9.0,3.0,
YK Pathan,PBKS,48,2,16,6.86,21.0,7.0,KKR
Mohsin Khan,RCB,77,2,11,10.74,21.5,7.1,
I Sharma,MI,43,2,5,10.75,12.0,4.0,
C Green,MI,59,2,10,7.38,24.0,8.0,KKR
Cheepurapalli Stephen,SRH,74,2,5,10.57,21.0,7.0,CSK
Suyash Sharma,LSG,107,2,15,8.92,36.0,12.0,KKR
MG Erasmus,SRH,69,2,14,9.86,21.0,7.0,
MG Bracewell,PBKS,75,2,13,10.71,21.0,7.0,
MA Wood,KKR,20,2,8,5.0,12.0,4.0,
CV Varun,MI,29,2,10,7.25,12.0,4.0,PBKS
MA Starc,PBKS,41,2,5,10.25,12.0,4.0,KKR
CV Varun,RR,63,2,13,9.0,21.0,7.0,PBKS
MA Starc,DC,37,2,6,9.25,12.0,4.0,KKR
M Theekshana,SRH,71,2,15,8.88,24.0,8.0,
Chirag Jani,MI,80,2,17,8.89,27.0,9.0,CSK
C Green,RR,157,2,12,12.08,39.0,13.0,KKR
Swapnil Singh,KKR,24,2,10,6.0,12.0,4.0,CSK
M Siddharth,RCB,104,2,14,10.4,30.0,10.0,CSK
Chirag Jani,PBKS,41,2,18,5.86,21.0,7.0,CSK
D Brevis,RCB,25,2,6,8.33,9.0,3.0,LSG
D Brevis,RR,169,2,23,10.56,48.0,16.0,LSG
M Prasidh Krishna,PBKS,139,2,20,9.27,45.0,15.0,RR
D Ferreira,GT,26,2,9,6.5,12.0,4.0,GT
M Prasidh Krishna,GT,148,2,12,12.33,36.0,12.0,RR
M Prasidh Krishna,CSK,116,2,25,7.25,48.0,16.0,RR
Washington Sundar,DC,94,2,18,8.55,33.0,11.0,PBKS
Suyash Sharma,KKR,30,2,9,7.5,12.0,4.0,KKR
MJ Owen,LSG,70,2,7,11.67,18.0,6.0,DC
MJ Owen,RR,114,2,9,14.25,24.0,8.0,DC
C Sakariya,GT,60,2,16,7.5,24.0,8.0,SRH
Sonu Yadav,DC,33,2,4,11.0,9.0,3.0,PBKS
C Sakariya,LSG,64,2,11,8.0,24.0,8.0,SRH
Mayank Dagar,SRH,113,2,17,9.42,36.0,12.0,LSG
Mayank Dagar,RCB,28,2,12,7.0,12.0,4.0,LSG
Mayank Dagar,PBKS,231,2,40,10.04,69.0,23.0,LSG
Sufiyan Muqeem,GT,38,2,8,9.5,12.0,4.0,GT
Sufiyan Muqeem,PBKS,20,2,11,5.0,12.0,4.0,GT
MR Marsh,SRH,80,2,17,8.89,27.0,9.0,SRH
MR Marsh,KKR,14,2,6,7.0,6.0,2.0,SRH
CH Gayle,CSK,77,2,15,9.24,25.0,8.2,CSK
CH Gayle,SRH,27,2,2,13.5,6.0,2.0,CSK
MP Yadav,LSG,51,2,9,9.56,16.0,5.2,PBKS
CH Morris,CSK,39,2,10,9.75,12.0,4.0,
Washington Sundar,LSG,146,2,15,9.73,45.0,15.0,PBKS
Suryansh Shedge,DC,164,2,21,10.81,45.5,15.1,CSK
Suryansh Shedge,GT,78,2,11,10.4,22.5,7.3,CSK
MJ Suthar,PBKS,47,2,6,11.75,12.0,4.0,
MJ Santner,DC,37,2,5,11.1,10.0,3.2,KKR
MW Short,RCB,9,2,2,9.0,3.0,1.0,MI
PP Chawla,LSG,39,2,8,9.75,12.0,4.0,
Shashank Singh,KKR,99,2,18,11.0,27.0,9.0,PBKS
RS Hangargekar,MI,187,2,14,11.69,48.0,16.0,
Ravi Teja,KKR,70,2,20,8.75,24.0,8.0,RCB
Ravi Bishnoi,RCB,85,2,18,8.64,29.5,9.5,GT
AJ Turner,LSG,27,2,7,6.75,12.0,4.0,
Ravi Bishnoi,CSK,84,2,20,10.5,24.0,8.0,GT
Rasikh Salam,RR,127,2,11,12.92,29.5,9.5,MI
AJ Tye,GT,28,2,8,9.33,9.0,3.0,
AJ Tye,MI,37,2,5,12.33,9.0,3.0,
Rasikh Salam,LSG,43,2,5,10.75,12.0,4.0,MI
AK Markram,GT,75,2,9,10.71,21.0,7.0,DC
AK Markram,RCB,33,2,13,6.6,15.0,5.0,DC
Rashid Khan,SRH,186,2,18,12.4,45.0,15.0,MI
AK Markram,RR,38,2,5,12.67,9.0,3.0,DC
Rashid Khan,RCB,46,2,22,5.75,24.0,8.0,MI
Yudhvir Singh,MI,170,2,26,11.33,45.0,15.0,RCB
Yudhvir Singh,KKR,47,2,22,7.83,18.0,6.0,RCB
Sandeep Sharma,LSG,43,2,6,10.75,12.0,4.0,
AR Patel,MI,142,2,12,10.14,42.0,14.0,CSK
Ramandeep Singh,LSG,174,2,18,10.88,48.0,16.0,LSG
Ramandeep Singh,KKR,77,2,14,9.62,24.0,8.0,LSG
Ramandeep Singh,GT,64,2,6,9.14,21.0,7.0,LSG
AR Ramjani,CSK,34,2,7,8.5,12.0,4.0,PBKS
S Dube,DC,95,2,6,13.57,21.0,7.0,RR
AD Russell,KKR,140,2,17,11.83,35.5,11.5,DC
S Dube,RCB,58,2,8,11.6,15.0,5.0,RR
SL Malinga,SRH,42,2,6,10.96,11.5,3.5,PBKS
SZ Mulani,CSK,76,2,13,9.5,24.0,8.0,LSG
SP Narine,PBKS,79,2,21,10.3,23.0,7.4,KKR
SP Narine,DC,113,2,11,9.42,36.0,12.0,KKR
SN Thakur,MI,34,2,7,8.5,12.0,4.0,
SN Thakur,GT,54,2,6,13.5,12.0,4.0,
Samant Jakhar,DC,82,2,12,11.71,21.0,7.0,DC
SM Curran,RR,22,2,8,5.5,12.0,4.0,
SM Curran,LSG,44,2,6,11.0,12.0,4.0,
SM Curran,CSK,69,2,12,9.86,21.0,7.0,
A Nagwaswalla,DC,70,2,16,8.75,24.0,8.0,RR
S Dube,SRH,40,2,5,10.0,12.0,4.0,RR
A Nortje,LSG,102,2,32,6.8,45.0,15.0,
A Nortje,RR,114,2,10,10.86,31.5,10.3,
SH Johnson,KKR,35,2,9,8.75,12.0,4.0,GT
A Sheth,GT,34,2,4,8.5,12.0,4.0,DC
Samant Jakhar,RR,17,2,4,8.5,6.0,2.0,DC
A Zampa,CSK,32,2,8,8.0,12.0,4.0,SRH
A Zampa,KKR,53,2,20,7.57,21.0,7.0,SRH
A Zampa,PBKS,128,2,26,8.53,45.0,15.0,SRH
S Gopal,LSG,90,2,13,11.25,24.0,8.0,GT
Sandeep Sharma,RCB,58,2,15,7.25,24.0,8.0,
Sandeep Sharma,SRH,76,2,8,11.12,20.5,6.5,
Atharva Ankolekar,LSG,32,2,10,8.0,12.0,4.0,MI
Sanvir Singh,GT,34,2,11,8.5,12.0,4.0,GT
Shakib Al Hasan,LSG,42,2,13,8.4,15.0,5.0,
Arshad Khan,GT,118,2,14,11.8,30.0,10.0,DC
PWH de Silva,LSG,91,2,8,11.38,24.0,8.0,RCB
Arshad Khan,PBKS,70,2,11,10.0,21.0,7.0,DC
PP Chawla,RR,161,2,25,10.17,47.5,15.5,
VR Iyer,SRH,144,2,14,11.08,39.0,13.0,SRH
PP Chawla,GT,35,2,4,8.75,12.0,4.0,
Shakib Al Hasan,SRH,36,2,10,9.0,12.0,4.0,
PJ Cummins,LSG,93,2,20,9.3,30.0,10.0,
PJ Cummins,KKR,149,2,31,9.31,48.0,16.0,
Ashutosh Sharma,LSG,54,2,10,9.0,18.0,6.0,RCB
PHKD Mendis,DC,154,2,13,11.85,39.0,13.0,DC
OEG Baartman,RCB,77,2,14,9.62,24.0,8.0,
Shashank Singh,DC,114,2,26,10.36,33.0,11.0,PBKS
Ashwani Kumar,KKR,28,2,11,7.0,12.0,4.0,RR
Noor Ahmad,RCB,130,2,19,10.83,36.0,12.0,MI
Noor Ahmad,PBKS,66,2,14,8.25,24.0,8.0,MI
Ashwani Kumar,RCB,45,2,4,11.25,12.0,4.0,RR
Atharva Ankolekar,DC,37,2,6,9.25,12.0,4.0,MI
Nithish Kumar Reddy,SRH,283,2,23,11.4,74.5,24.5,SRH
Atharva Ankolekar,GT,112,2,10,14.3,23.5,7.5,MI
R Ashwin,CSK,64,2,15,8.0,24.0,8.0,KKR
R Ashwin,DC,63,2,17,8.79,21.5,7.1,KKR
Akash Vasisht,LSG,90,2,20,8.18,33.0,11.0,SRH
R Shepherd,RR,78,2,11,10.4,22.5,7.3,GT
Yudhvir Singh,DC,87,2,14,10.88,24.0,8.0,RCB
RE van der Merwe,GT,51,2,6,12.75,12.0,4.0,
RD Chahar,SRH,96,2,12,12.0,24.0,8.0,CSK
RD Chahar,PBKS,72,2,17,9.0,24.0,8.0,CSK
AS Roy,DC,31,2,9,7.75,12.0,4.0,GT
AS Roy,LSG,177,2,21,11.06,48.0,16.0,GT
Abdul Samad,KKR,19,2,10,4.75,12.0,4.0,LSG
R Tewatia,PBKS,55,2,10,9.17,18.0,6.0,
R Shepherd,SRH,39,2,3,13.0,9.0,3.0,GT
R Shepherd,RCB,45,2,3,11.25,12.0,4.0,GT
Akash Vasisht,KKR,22,2,6,7.33,9.0,3.0,SRH
Abhishek Sharma,SRH,96,2,15,8.73,33.0,11.0,MI
Abid Mushtaq,RCB,48,2,8,12.0,12.0,4.0,
R Sanjay Yadav,PBKS,40,2,3,13.33,9.0,3.0,PBKS
R Sai Kishore,LSG,89,2,11,11.12,24.0,8.0,MI
Akash Deep,RR,87,2,15,10.88,24.0,8.0,
R Parag,MI,30,2,6,7.5,12.0,4.0,GT
R Ashwin,SRH,165,2,24,10.31,48.0,16.0,KKR
R Ashwin,RR,145,2,13,13.18,33.0,11.0,KKR
R Ashwin,RCB,98,2,30,8.91,33.0,11.0,KKR
WG Jacks,CSK,98,2,10,10.89,27.0,9.0,LSG
TU Deshpande,RCB,25,2,7,8.33,9.0,3.0,MI
HH Pandya,PBKS,95,2,9,13.57,21.0,7.0,MI
LI Meriwala,MI,36,2,7,9.0,12.0,4.0,DC
HV Patel,KKR,94,2,20,8.55,33.0,11.0,GT
JG Bethell,LSG,66,2,6,13.2,15.0,5.0,RR
DR Sams,RCB,14,2,10,4.67,9.0,3.0,
GF Linde,SRH,63,2,10,7.88,24.0,8.0,GT
Harpreet Brar,SRH,96,2,20,8.0,36.0,12.0,GT
DJ Bravo,MI,44,2,11,7.33,18.0,6.0,
LI Meriwala,LSG,57,2,7,8.14,21.0,7.0,DC
JD Unadkat,CSK,75,2,11,9.38,24.0,8.0,
GF Linde,LSG,47,2,7,11.75,12.0,4.0,GT
V Puthur,RR,50,2,8,12.5,12.0,4.0,DC
V Kaverappa,KKR,45,2,9,11.25,12.0,4.0,PBKS
DS Airee,PBKS,36,2,4,9.0,12.0,4.0,CSK
DS Rathi,GT,41,2,3,13.67,9.0,3.0,KKR
K Kartikeya,LSG,69,2,13,9.86,21.0,7.0,LSG
LS Livingstone,KKR,84,2,19,9.33,27.0,9.0,KKR
GD Phillips,RR,54,2,12,7.71,21.0,7.0,GT
TA Boult,DC,50,2,21,7.14,21.0,7.0,MI
DS Rathi,LSG,31,2,4,7.75,12.0,4.0,KKR
HV Patel,GT,137,2,12,12.45,33.0,11.0,GT
Jagjit Singh,GT,37,2,10,9.25,12.0,4.0,SRH
KK Ahmed,RR,83,2,13,11.86,21.0,7.0,RR
Tanush Kotian,RCB,60,2,13,7.5,24.0,8.0,CSK
H Ssenyondo,CSK,38,2,7,9.5,12.0,4.0,LSG
Khrievitso Kense,PBKS,56,2,14,7.0,24.0,8.0,RCB
H Ssenyondo,PBKS,21,2,12,5.25,12.0,4.0,LSG
T Natarajan,SRH,119,2,10,10.82,33.0,11.0,CSK
JR Hazlewood,LSG,56,2,14,7.0,24.0,8.0,RR
DL Chahar,KKR,172,2,40,9.05,57.0,19.0,
HJ Manenti,LSG,27,2,10,6.75,12.0,4.0,CSK
V Puthur,RCB,14,2,10,4.67,9.0,3.0,DC
JR Hazlewood,PBKS,88,2,11,11.0,24.0,8.0,RR
V Nigam,DC,141,2,14,14.1,30.0,10.0,GT
HJ Manenti,MI,82,2,9,11.71,21.0,7.0,CSK
T Natarajan,MI,88,2,12,8.8,30.0,10.0,CSK
HJ Manenti,RR,44,2,6,11.0,12.0,4.0,CSK
JJ Smit,DC,74,2,8,9.25,24.0,8.0,PBKS
LH Ferguson,MI,44,2,13,7.33,18.0,6.0,
LH Ferguson,RCB,47,2,10,11.75,12.0,4.0,
Khrievitso Kense,CSK,37,2,5,9.25,12.0,4.0,RCB
HR Shokeen,PBKS,57,2,7,11.03,15.5,5.1,RR
DS Rathi,PBKS,97,2,27,8.08,36.0,12.0,KKR
Tanay Thyagarajan,MI,30,2,7,7.5,12.0,4.0,RCB
Fazalhaq Farooqi,MI,68,2,12,9.71,21.0,7.0,CSK
J Anderson,RCB,37,2,7,9.25,12.0,4.0,
V Nigam,RCB,28,2,11,7.0,12.0,4.0,GT
KA Maharaj,RR,62,2,16,8.86,21.0,7.0,SRH
Tripuresh Singh,RCB,47,2,4,15.67,9.0,3.0,RCB
M Jansen,DC,47,2,12,9.4,15.0,5.0,
V Nigam,RR,106,2,12,10.6,30.0,10.0,GT
M Jansen,RCB,66,2,13,9.43,21.0,7.0,
Imran Tahir,GT,40,2,9,10.0,12.0,4.0,CSK
M Markande,DC,67,2,13,9.57,21.0,7.0,
KK Ahmed,CSK,67,2,24,8.38,24.0,8.0,RR
Utkarsh Singh,CSK,16,2,3,8.0,6.0,2.0,PBKS
D Wiese,MI,110,2,14,10.0,33.0,11.0,GT
Swapnil Singh,RCB,42,2,7,10.5,12.0,4.0,CSK
G Coetzee,RCB,21,2,12,7.0,9.0,3.0,
Utkarsh Singh,DC,11,2,5,5.5,6.0,2.0,PBKS
KH Pandya,KKR,47,2,8,9.4,15.0,5.0,RR
GD Phillips,LSG,87,2,9,10.88,24.0,8.0,GT
Khrievitso Kense,RR,50,2,20,7.14,21.0,7.0,RCB
DAJ Bracewell,DC,114,2,7,14.25,24.0,8.0,
GF Linde,CSK,39,1,6,9.75,24.0,4.0,GT
R Ashwin,GT,86,1,13,10.75,48.0,8.0,KKR
Gurjapneet Singh,SRH,33,1,4,11.0,18.0,3.0,
KC Cariappa,DC,40,1,6,10.0,24.0,4.0,
PHKD Mendis,GT,49,1,6,12.25,24.0,4.0,DC
Gurjapneet Singh,RCB,48,1,7,12.0,24.0,4.0,
Ashwani Kumar,DC,34,1,6,11.33,18.0,3.0,RR
GJ Maxwell,RCB,84,1,11,10.5,48.0,8.0,DC
Prashant Veer,DC,32,1,8,8.0,24.0,4.0,DC
Abhishek Sharma,RR,88,1,11,9.78,54.0,9.0,MI
PHKD Mendis,LSG,41,1,8,7.69,32.0,5.2,DC
