striker,phase,pitch,runs,balls,dots,outs,avg,SR,Curr_Tm
A Mhatre,Middle,pace,4,4,0,0,,100.0,KKR
Rasikh Salam,Death,spin,4,1,1,0,,400.0,MI
A Mishra,Death,spin,4,2,1,1,4.0,200.0,
A Nortje,Death,pace,4,3,2,1,4.0,133.33,
MW Short,Death,pace,4,5,2,2,2.0,80.0,MI
RE van der Merwe,Death,spin,4,2,1,1,4.0,200.0,
A Zampa,Death,pace,4,3,2,1,4.0,133.33,SRH
JR Hazlewood,Death,neutralish,4,7,5,2,2.0,57.14,RR
AD Russell,PP,spin,4,5,4,1,4.0,80.0,DC
HR Shokeen,Middle,spin,4,7,3,0,,57.14,RR
Fazalhaq Farooqi,Death,spin,4,6,2,1,4.0,66.67,CSK
DS Airee,Middle,pace,4,8,4,1,4.0,50.0,CSK
N Jagadeesan,Middle,spin,4,2,1,1,4.0,200.0,
KK Nair,Middle,neutralish,4,5,4,1,4.0,80.0,
LG Pretorius,Middle,spin,4,5,2,1,4.0,80.0,
Sikandar Raza,PP,neutralish,4,1,0,0,,400.0,
Khrievitso Kense,Middle,pace,4,7,5,1,4.0,57.14,RCB
Arshdeep Singh,Middle,pace,4,11,7,1,4.0,36.36,LSG
Chirag Jani,PP,neutralish,4,2,1,0,,200.0,CSK
D Ferreira,PP,pace,4,3,2,1,4.0,133.33,GT
Kaleem Sana,Middle,pace,4,11,8,0,,36.36,RCB
Sandeep Sharma,Middle,pace,4,4,0,0,,100.0,
Samarth Vyas,Death,pace,4,6,3,2,2.0,66.67,KKR
JM Bairstow,Death,spin,4,4,1,1,4.0,100.0,
JM Coles,Death,spin,4,2,1,1,4.0,200.0,MI
Ishaan Gadekar,Death,spin,3,4,1,1,3.0,75.0,SRH
K Gowtham,Death,neutralish,3,6,3,1,3.0,50.0,
Harsh Dubey,Middle,spin,3,15,12,3,1.0,20.0,RCB
TM Head,Death,spin,3,5,2,2,1.5,60.0,
AM Hardie,Middle,spin,3,6,3,1,3.0,50.0,CSK
Mohammed Shami,Middle,pace,3,1,0,0,,300.0,LSG
MW Short,PP,spin,3,7,5,0,,42.86,MI
M Prasidh Krishna,Death,spin,3,6,3,1,3.0,50.0,RR
MP Yadav,Middle,spin,3,18,16,0,,16.67,PBKS
JA Duffy,Death,spin,3,2,1,1,3.0,150.0,GT
J Overton,Death,spin,3,5,2,0,,60.0,
Aman Rao,PP,spin,3,2,1,1,3.0,150.0,DC
M Theekshana,Middle,spin,3,8,6,1,3.0,37.5,
Harsh Dubey,Death,pace,3,3,0,0,,100.0,RCB
A Manohar,Middle,spin,3,4,1,0,,75.0,
R Shepherd,Middle,pace,3,9,6,2,1.5,33.33,GT
D Wiese,Middle,spin,3,5,2,0,,60.0,GT
Samant Jakhar,Middle,pace,3,5,2,1,3.0,60.0,DC
DA Warner,Death,spin,3,3,0,0,,100.0,
CJ Jordan,Death,pace,3,7,4,1,3.0,42.86,
SN Thakur,Middle,pace,3,2,1,0,,150.0,
Rashid Khan,Middle,neutralish,3,1,0,0,,300.0,MI
RR Patel,Death,spin,3,4,1,1,3.0,75.0,RCB
JR Hazlewood,Middle,neutralish,3,3,0,0,,100.0,RR
NT Ellis,Death,spin,3,2,1,1,3.0,150.0,SRH
Yash Thakur,Middle,pace,2,3,1,0,,66.67,MI
MA Wood,Death,spin,2,2,1,1,2.0,100.0,
KK Ahmed,Middle,spin,2,3,2,1,2.0,66.67,RR
Sandeep Sharma,Death,spin,2,5,4,0,,40.0,
A Manohar,Death,pace,2,2,0,0,,100.0,
V Shankar,Death,spin,2,5,3,1,2.0,40.0,
Sami Sohail,Middle,pace,2,2,0,0,,100.0,
Yudhvir Singh,Death,spin,2,4,2,0,,50.0,RCB
JM Coles,PP,spin,2,2,1,1,2.0,100.0,MI
JG Bethell,PP,spin,2,14,12,0,,14.29,RR
LI Meriwala,Death,pace,2,3,1,0,,66.67,DC
Suyash Sharma,Middle,spin,2,4,3,0,,50.0,KKR
Imran Tahir,Middle,spin,2,6,4,1,2.0,33.33,CSK
Mustafizur Rahman,Middle,neutralish,2,3,1,0,,66.67,
Akshay Karnewar,Middle,spin,2,5,3,0,,40.0,PBKS
Cheepurapalli Stephen,Death,neutralish,2,4,3,1,2.0,50.0,CSK
A Zampa,Middle,spin,2,6,5,1,2.0,33.33,SRH
Abrar Ahmed,Death,neutralish,2,2,0,0,,100.0,
AM Hardie,Middle,pace,2,5,4,0,,40.0,CSK
AJ Tye,Death,neutralish,2,2,0,0,,100.0,
Arslan Khan,Middle,spin,2,4,2,1,2.0,50.0,
Mohammad Nabi,Middle,neutralish,2,2,0,0,,100.0,LSG
Mohammad Nabi,Death,pace,2,4,2,0,,50.0,LSG
Mohammad Ghazanfar,Middle,spin,2,7,5,0,,28.57,SRH
Shaheen Shah Afridi,PP,pace,2,4,3,0,,50.0,MI
Mohammad Ghazanfar,Death,neutralish,2,1,0,0,,200.0,SRH
RA Jadeja,PP,pace,2,2,2,1,2.0,100.0,SRH
RR Patel,Death,neutralish,2,4,2,2,1.0,50.0,RCB
AR Ramjani,Middle,pace,2,3,1,0,,66.67,PBKS
EA Brookes,Middle,spin,2,3,1,1,2.0,66.67,
AS Roy,Death,neutralish,2,3,3,1,2.0,66.67,GT
D Ferreira,PP,spin,1,6,5,2,0.5,16.67,GT
JDS Neesham,Middle,neutralish,1,2,2,0,,50.0,
H Ssenyondo,Death,spin,1,5,4,1,1.0,20.0,LSG
Vishnu Vinod,Middle,spin,1,6,5,3,0.33,16.67,
Aryan Juyal,Middle,spin,1,7,6,1,1.0,14.29,
HR Shokeen,Middle,pace,1,1,0,0,,100.0,RR
J Fraser-McGurk,Death,neutralish,1,2,1,1,1.0,50.0,KKR
Ishaan Gadekar,PP,pace,1,2,1,1,1.0,50.0,SRH
DJ Bravo,Middle,pace,1,2,1,0,,50.0,
C Sakariya,Middle,pace,1,7,6,1,1.0,14.29,SRH
Imran Tahir,Death,spin,1,12,11,4,0.25,8.33,CSK
Aryan Juyal,PP,pace,1,2,1,0,,50.0,
Ashwani Kumar,Middle,pace,1,3,2,2,0.5,33.33,RR
VG Arora,Death,neutralish,1,3,2,0,,33.33,KKR
Harshit Rana,Middle,pace,1,1,0,0,,100.0,KKR
DS Airee,PP,spin,1,2,1,0,,50.0,CSK
DS Rathi,Death,neutralish,1,1,0,0,,100.0,KKR
Waseem Muhammad,Middle,neutralish,1,2,1,1,1.0,50.0,
B Kumar,Middle,pace,1,1,0,0,,100.0,KKR
C Sakariya,Death,neutralish,1,4,3,1,1.0,25.0,SRH
Babar Azam,Death,pace,1,4,3,3,0.33,25.0,
Sikandar Raza,PP,pace,1,2,1,1,1.0,50.0,
JR Hazlewood,PP,pace,1,2,1,0,,50.0,RR
D Padikkal,Middle,neutralish,1,4,3,1,1.0,25.0,KKR
PJ Cummins,Death,neutralish,1,3,2,1,1.0,33.33,
SN Thakur,Death,pace,1,3,3,1,1.0,33.33,
SO Hetmyer,Death,neutralish,1,2,1,1,1.0,50.0,
SPD Smith,Middle,spin,1,4,3,1,1.0,25.0,CSK
YV Dhull,PP,neutralish,1,6,5,1,1.0,16.67,
Mustafizur Rahman,Death,neutralish,1,4,3,2,0.5,25.0,
Mukul Choudhary,Middle,spin,1,3,2,1,1.0,33.33,DC
AHT Donald,PP,pace,1,4,3,3,0.33,25.0,
Jaskaran Singh,Death,neutralish,1,1,0,0,,100.0,KKR
SR Hain,Death,pace,1,3,2,1,1.0,33.33,
SS Agarwal,Death,spin,1,1,0,0,,100.0,
SZ Mulani,Death,neutralish,1,3,2,1,1.0,33.33,LSG
Abrar Ahmed,Death,pace,1,1,0,0,,100.0,
Samant Jakhar,Death,neutralish,1,1,0,0,,100.0,DC
M Siddharth,Middle,spin,1,3,3,1,1.0,33.33,CSK
Anmolpreet Singh,Middle,neutralish,1,2,1,1,1.0,50.0,CSK
Shaheen Shah Afridi,Death,neutralish,1,4,3,1,1.0,25.0,MI
Arslan Khan,Middle,neutralish,1,2,1,1,1.0,50.0,
Arshad Khan,Middle,neutralish,1,5,4,1,1.0,20.0,DC
KV Sharma,Death,spin,1,2,1,1,1.0,50.0,
KV Sharma,Middle,spin,1,3,2,0,,33.33,
Anmolpreet Singh,PP,neutralish,1,3,2,2,0.5,33.33,CSK
Ravi Teja,Middle,pace,1,6,5,1,1.0,16.67,RCB
Khushdil Shah,PP,spin,1,4,3,0,,25.0,DC
A Manohar,Middle,neutralish,1,1,0,0,,100.0,
Samant Jakhar,Death,pace,1,2,1,1,1.0,50.0,DC
LH Ferguson,Middle,pace,1,2,1,0,,50.0,
M Jansen,PP,pace,1,2,1,1,1.0,50.0,
M Pathirana,Middle,pace,1,8,7,0,,12.5,RCB
Cheepurapalli Stephen,Middle,pace,0,1,1,1,0.0,0.0,CSK
A Kamboj,Middle,pace,0,2,2,1,0.0,0.0,GT
A Mhatre,Death,neutralish,0,1,1,1,0.0,0.0,KKR
B Indrajith,Death,pace,0,1,1,1,0.0,0.0,RCB
AA Kulkarni,Middle,neutralish,0,2,2,1,0.0,0.0,GT
AB de Villiers,PP,neutralish,0,1,1,1,0.0,0.0,RR
Yash Thakur,Death,neutralish,0,1,1,0,,0.0,MI
Yash Dayal,Death,pace,0,1,1,1,0.0,0.0,
YS Chahal,Death,pace,0,4,4,1,0.0,0.0,RCB
YS Chahal,Death,neutralish,0,5,5,0,,0.0,RCB
AU Rashid,Death,spin,0,1,1,1,0.0,0.0,
Abrar Ahmed,Death,spin,0,1,1,0,,0.0,
Akash Deep,Death,spin,0,1,1,0,,0.0,
Akash Vasisht,Middle,pace,0,3,4,1,0.0,0.0,SRH
Akash Vasisht,PP,pace,0,1,1,1,0.0,0.0,SRH
Arslan Khan,PP,pace,0,1,1,1,0.0,0.0,
Washington Sundar,PP,spin,0,3,3,0,,0.0,PBKS
Akash Vasisht,Death,pace,0,1,1,1,0.0,0.0,SRH
JM Sharma,PP,neutralish,0,1,1,1,0.0,0.0,RCB
D Visser,PP,pace,0,1,1,1,0.0,0.0,
Naveen-ul-Haq,Middle,pace,0,2,2,1,0.0,0.0,SRH
MM Ali,PP,spin,0,6,6,1,0.0,0.0,
MP Yadav,Death,neutralish,0,2,2,1,0.0,0.0,PBKS
MS Pepper,Middle,spin,0,1,1,1,0.0,0.0,
MS Pepper,PP,spin,0,6,6,2,0.0,0.0,
Mayank Dagar,Middle,spin,0,2,2,0,,0.0,LSG
Mohammed Shami,Middle,spin,0,1,1,1,0.0,0.0,LSG
Mohammed Siraj,Death,spin,0,1,1,1,0.0,0.0,
TH David,PP,spin,0,2,2,0,,0.0,PBKS
Mohit Redkar,Death,neutralish,0,3,3,2,0.0,0.0,CSK
Mukesh Kumar,Death,spin,0,4,4,1,0.0,0.0,
NT Ellis,Death,neutralish,0,3,3,1,0.0,0.0,SRH
TA Boult,PP,pace,0,1,1,1,0.0,0.0,MI
TA Boult,Middle,spin,0,1,1,0,,0.0,MI
Noor Ahmad,Middle,pace,0,1,1,1,0.0,0.0,MI
DA Miller,PP,pace,0,4,4,0,,0.0,
Noor Ahmad,Middle,spin,0,9,9,1,0.0,0.0,MI
PN Mankad,Death,pace,0,1,1,1,0.0,0.0,
Pardeep Yadav,Middle,pace,0,2,2,1,0.0,0.0,
R Minz,Middle,pace,0,1,1,1,0.0,0.0,
R Powell,Middle,neutralish,0,2,2,2,0.0,0.0,LSG
Ramandeep Singh,PP,pace,0,2,2,0,,0.0,LSG
Rasikh Salam,Death,neutralish,0,1,1,0,,0.0,MI
Ravi Singh,PP,pace,0,1,1,0,,0.0,KKR
Ravi Teja,Death,neutralish,0,1,1,1,0.0,0.0,RCB
SL Malinga,Death,neutralish,0,1,1,1,0.0,0.0,PBKS
Samant Jakhar,Death,spin,0,1,1,1,0.0,0.0,DC
Sandeep Sharma,Death,neutralish,0,1,1,1,0.0,0.0,
Shivank Vashisth,Death,spin,0,1,1,0,,0.0,
MJ Suthar,Death,spin,0,1,1,0,,0.0,
MJ Santner,Death,pace,0,2,2,1,0.0,0.0,KKR
MA Starc,Death,neutralish,0,1,2,1,0.0,0.0,KKR
M Theekshana,Death,neutralish,0,1,1,1,0.0,0.0,
DA Payne,Death,neutralish,0,1,1,1,0.0,0.0,PBKS
DA Payne,Death,spin,0,2,2,1,0.0,0.0,PBKS
VS Halambage,PP,spin,0,6,6,1,0.0,0.0,RCB
DG Nalkande,Death,pace,0,3,3,1,0.0,0.0,
DJ Bravo,PP,pace,0,1,1,1,0.0,0.0,
DS Rathi,Death,pace,0,1,1,1,0.0,0.0,KKR
HJ Manenti,Death,neutralish,0,2,2,2,0.0,0.0,CSK
HV Patel,Death,neutralish,0,1,1,1,0.0,0.0,GT
Harpreet Brar,PP,spin,0,1,1,0,,0.0,GT
Harsh Tyagi,Death,spin,0,3,3,1,0.0,0.0,SRH
Harshit Rana,Middle,neutralish,0,4,4,0,,0.0,KKR
Hemang Patel,Middle,spin,0,2,2,1,0.0,0.0,
V Shankar,Death,pace,0,3,3,1,0.0,0.0,
Imran Tahir,Death,neutralish,0,2,2,0,,0.0,CSK
J Overton,Middle,pace,0,3,3,0,,0.0,
JM Vince,PP,pace,0,2,2,1,0.0,0.0,
K L Shrijith,Middle,spin,0,1,1,1,0.0,0.0,
KK Ahmed,Death,neutralish,0,2,2,1,0.0,0.0,RR
KR Sen,Death,pace,0,3,3,1,0.0,0.0,
Kaleem Sana,Death,pace,0,1,1,1,0.0,0.0,RCB
Karan Lal,Middle,pace,0,1,1,1,0.0,0.0,RR
Karan Lal,Middle,spin,0,1,1,1,0.0,0.0,RR
Khushdil Shah,Death,pace,0,1,1,1,0.0,0.0,DC
Kuldeep Yadav,Death,pace,0,2,2,1,0.0,0.0,SRH
Kumar Kushagra,Death,neutralish,0,1,1,1,0.0,0.0,GT
LH Ferguson,Death,neutralish,0,2,2,1,0.0,0.0,
M Shahrukh Khan,Death,pace,0,1,1,1,0.0,0.0,
Atharva Taide,Death,pace,0,0,0,1,,,MI
