bowler,match_id,bowling_team,batting_team,balls
SP Narine,S06M013,KKR,PBKS,4
Arshdeep Singh,S04M028,LSG,PBKS,4
Karan Lal,S05M091,RR,LSG,4
Kuldeep Yadav,M044,SRH,RR,5
SL Malinga,S04M064,PBKS,RCB,5
RA Jadeja,S02M006,DC,CSK,6
CV Varun,S05M014,PBKS,RCB,6
Avesh Khan,S05M082,GT,RR,6
Rashid Khan,S03M024,GT,PBKS,7
M Pathirana,S04M073,RCB,MI,7
Naveen-ul-Haq,S04M006,SRH,DC,7
B Kumar,S03M064,KKR,MI,8
Mohammad Ghazanfar,M019,GT,DC,8
R Shepherd,S03M027,GT,KKR,9
HJ Manenti,S06M045,CSK,RCB,9
NT Ellis,S05M075,SRH,LSG,9
CV Varun,S03M040,PBKS,RCB,9
Rashid Khan,S03M059,GT,RR,9
M Pathirana,S03M035,RCB,LSG,9
SZ Mulani,S04M028,LSG,PBKS,9
Tanush Kotian,S04M051,CSK,DC,9
A Nagwaswalla,S05M001,RR,PBKS,9
Tanush Kotian,S05M049,CSK,GT,9
Swapnil Singh,M062,RR,GT,9
SS Ghosh,S05M090,MI,KKR,9
CV Varun,S04M038,PBKS,RR,9
T Natarajan,M003,CSK,RR,9
AR Ramjani,S05M007,PBKS,CSK,9
MG Bracewell,S03M051,DC,KKR,10
SH Johnson,S02M018,SRH,GT,10
NT Ellis,S04M076,SRH,RR,10
Sikandar Raza,S04M025,MI,KKR,10
Akash Vasisht,S03M043,MI,PBKS,10
Akash Vasisht,S05M034,DC,SRH,10
TA Boult,M013,PBKS,LSG,10
LS Livingstone,S04M060,RCB,CSK,10
PWH de Silva,S05M021,RCB,GT,10
R Ashwin,S06M009,KKR,PBKS,11
Ashwani Kumar,S04M015,RR,CSK,11
Ravi Bishnoi,M066,PBKS,GT,11
Washington Sundar,M074,PBKS,CSK,11
B Kumar,S03M032,KKR,CSK,11
MA Starc,S06M029,KKR,MI,11
YS Chahal,M073,CSK,SRH,11
HV Patel,M004,PBKS,SRH,11
PHKD Mendis,S04M011,SRH,RCB,11
Sandeep Sharma,S03M001,RR,SRH,11
R Ashwin,S05M042,KKR,PBKS,11
Yuvraj Singh,S05M062,CSK,DC,11
LS Livingstone,S02M038,SRH,PBKS,11
