batting_team,runs,balls,outs,fours,sixes,dots,SR,Bat_avg,bpb,dot_%,bowling_type
MI,9136,5710,288,805,386,1866,160.0,31.72,4.79,32.68,pace
DC,9003,5272,269,861,355,1560,170.77,33.47,4.34,29.59,pace
RR,8952,5182,279,813,399,1615,172.75,32.09,4.28,31.17,pace
GT,8697,5260,290,805,330,1575,165.34,29.99,4.63,29.94,pace
SRH,8681,5629,276,668,372,1728,154.22,31.45,5.41,30.7,spin
CSK,8233,5258,268,733,326,1781,156.58,30.72,4.97,33.87,pace
LSG,8160,4989,239,722,322,1533,163.56,34.14,4.78,30.73,pace
KKR,8056,5398,333,721,334,2026,149.24,24.19,5.12,37.53,pace
RCB,8049,4942,284,727,332,1622,162.87,28.34,4.67,32.82,pace
RR,7429,4680,227,586,317,1389,158.74,32.73,5.18,29.68,spin
PBKS,7340,4595,258,683,273,1491,159.74,28.45,4.81,32.45,pace
PBKS,7275,4973,276,571,288,1678,146.29,26.36,5.79,33.74,spin
LSG,7171,4664,246,561,301,1471,153.75,29.15,5.41,31.54,spin
DC,7116,4337,220,562,318,1338,164.08,32.35,4.93,30.85,spin
GT,6754,4185,207,558,258,1146,161.39,32.63,5.13,27.38,spin
RCB,6723,4421,263,541,281,1482,152.07,25.56,5.38,33.52,spin
SRH,6478,3951,195,582,247,1178,163.96,33.22,4.77,29.82,pace
CSK,6214,4050,216,531,239,1311,153.43,28.77,5.26,32.37,spin
MI,6061,3886,191,497,219,1147,155.97,31.73,5.43,29.52,spin
KKR,5637,3711,193,444,234,1227,151.9,29.21,5.47,33.06,spin
