striker,num_innings,runs,balls,outs,bat_order,bat_avg,bat_sr,team
Shahbaz Ahmed,4,51,45,2,8,25.5,113.33,L.S.G.
A Mhatre,3,50,37,3,1,16.67,135.14,K.K.R.
AJ Turner,3,50,44,2,7,25.0,113.64,M.I.
Harpreet Brar,5,50,38,3,8,16.67,131.58,R.C.B.
M Jansen,5,49,41,4,8,12.25,119.51,R.R.
R Tewatia,5,48,32,5,7,9.6,150.0,R.R.
Yuvraj Chaudhary,2,46,26,2,8,23.0,176.92,R.C.B.
Jay Gohil,5,45,31,2,7,22.5,145.16,M.I.
Atharva Taide,3,43,36,3,3,14.33,119.44,R.R.
M Shahrukh Khan,4,43,41,4,4,10.75,104.88,R.C.B.
Shakib Al Hasan,4,43,43,3,7,14.33,100.0,P.B.K.S.
HS Desai,4,43,22,4,7,10.75,195.45,D.C.
T Stubbs,5,42,38,2,6,21.0,110.53,S.R.H.
MA Agarwal,2,42,28,2,4,21.0,150.0,C.S.K.
AD Russell,5,42,30,5,7,8.4,140.0,D.C.
MR Marsh,5,41,46,3,1,13.67,89.13,
R Shepherd,4,40,19,3,6,13.33,210.53,G.T.
Mohammed Siraj,4,40,17,2,10,20.0,235.29,R.C.B.
B Kumar,5,39,35,1,11,39.0,111.43,K.K.R.
Tanush Kotian,2,39,27,0,9,39.0,144.44,S.R.H.
PHKD Mendis,2,39,30,0,7,39.0,130.0,K.K.R.
HH Pandya,5,37,36,5,6,7.4,102.78,M.I.
JR Hazlewood,5,37,33,2,9,18.5,112.12,R.R.
RK Bhui,5,35,35,4,7,8.75,100.0,C.S.K.
Harshit Rana,4,35,36,3,9,11.67,97.22,C.S.K.
AR Patel,5,34,38,4,5,8.5,89.47,C.S.K.
Rashid Khan,5,34,37,3,8,11.33,91.89,G.T.
MM Ali,5,33,23,4,8,8.25,143.48,K.K.R.
Jagjit Singh,4,33,25,1,9,33.0,132.0,C.S.K.
R Ashwin,5,32,22,1,9,32.0,145.45,K.K.R.
Swapnil Singh,4,30,18,2,7,15.0,166.67,R.R.
Arshad Khan,4,28,26,2,7,14.0,107.69,K.K.R.
Mohammed Shami,3,27,24,2,10,13.5,112.5,P.B.K.S.
M Theekshana,4,27,24,3,9,9.0,112.5,M.I.
Suryansh Shedge,5,27,18,3,8,9.0,150.0,C.S.K.
JO Holder,2,26,11,1,7,26.0,236.36,S.R.H.
SH Johnson,3,25,16,1,9,25.0,156.25,S.R.H.
R Sai Kishore,5,24,18,4,9,6.0,133.33,G.T.
KK Ahmed,5,24,16,3,10,8.0,150.0,G.T.
Arslan Khan,2,24,16,2,3,12.0,150.0,R.C.B.
JC Archer,5,22,29,5,9,4.4,75.86,L.S.G.
Samarth Vyas,1,21,16,1,1,21.0,131.25,M.I.
TA Boult,5,21,22,2,9,10.5,95.45,M.I.
KH Pandya,5,20,18,4,8,5.0,111.11,S.R.H.
Umran Malik,2,20,9,1,8,20.0,222.22,M.I.
HR Shokeen,2,20,17,1,9,20.0,117.65,R.R.
RS Hangargekar,3,20,11,1,9,20.0,181.82,R.C.B.
Sandeep Sharma,3,19,16,2,11,9.5,118.75,R.R.
