bowler,innings,pitch,runs_conceded,balls,wkts,dots,Eco,SR,Curr_Tm
Ravi Teja,2,spin,90,48,5,12,11.25,9.6,PBKS
Rasikh Salam,2,spin,75,50,5,20,9.0,10.0,SRH
Sanvir Singh,1,pace,261,144,5,28,10.88,28.8,
Mohammad Nabi,1,neutralish,119,96,5,37,7.44,19.2,
Shaheen Shah Afridi,2,spin,241,144,5,46,10.04,28.8,DC
Shivam Shukla,1,neutralish,152,72,5,17,12.67,14.4,MI
Sonu Yadav,1,neutralish,75,48,5,13,9.38,9.6,CSK
Mukesh Kumar,2,pace,207,120,5,44,10.35,24.0,
RE van der Merwe,2,neutralish,85,48,5,13,10.62,9.6,CSK
Mangesh Yadav,1,spin,140,72,5,15,11.67,14.4,GT
JN Loftie-Eaton,1,spin,127,96,5,37,7.94,19.2,
M Theekshana,2,pace,141,84,5,26,10.07,16.8,
Swapnil Singh,1,pace,104,72,5,24,8.67,14.4,
R Shepherd,1,neutralish,245,144,5,42,10.21,28.8,SRH
M Jansen,2,pace,269,177,5,62,9.12,35.4,
M Prasidh Krishna,2,spin,220,144,5,41,9.17,28.8,KKR
Harsh Dubey,1,neutralish,178,114,5,26,9.37,22.8,DC
C Green,1,neutralish,99,72,5,23,8.25,14.4,KKR
Ehsan Khan,2,spin,227,128,5,31,10.64,25.6,CSK
BA Stokes,1,neutralish,183,90,5,27,12.2,18.0,
Harsh Dubey,1,pace,88,48,5,14,11.0,9.6,DC
Easwaran K,1,pace,108,72,5,28,9.0,14.4,DC
Azmatullah Omarzai,1,pace,305,180,5,52,10.17,36.0,
Fazalhaq Farooqi,2,spin,167,141,5,43,7.11,28.2,GT
GF Linde,1,neutralish,135,72,5,20,11.25,14.4,GT
AJ Tye,1,pace,86,48,5,16,10.75,9.6,
Harshit Rana,2,neutralish,202,120,5,33,10.1,24.0,
Ashwin Das,2,neutralish,121,72,5,14,10.08,14.4,LSG
DS Rathi,2,pace,163,96,5,18,10.19,19.2,LSG
HH Pandya,1,spin,387,198,5,40,11.73,39.6,LSG
HV Patel,1,neutralish,171,94,5,25,10.91,18.8,PBKS
Abhishek Tanwar,2,pace,95,52,5,9,10.96,10.4,RCB
HJ Manenti,1,neutralish,116,72,5,15,9.67,14.4,RCB
DJ Bravo,1,pace,193,114,5,22,10.16,22.8,
Atharva Ankolekar,1,pace,77,48,5,15,9.62,9.6,RR
Abrar Ahmed,1,spin,251,138,5,37,10.91,27.6,
Rashid Khan,2,neutralish,211,114,4,25,11.11,28.5,RCB
Geet Puri,2,neutralish,43,24,4,7,10.75,6.0,CSK
Naman Tiwari,1,neutralish,116,72,4,29,9.67,18.0,CSK
MJ Santner,2,spin,140,98,4,31,8.57,24.5,
YK Pathan,1,neutralish,60,60,4,22,6.0,15.0,
Naman Tiwari,2,pace,142,72,4,19,11.83,18.0,CSK
R Shepherd,2,neutralish,286,135,4,19,12.71,33.75,SRH
Gurnoor Brar,1,pace,149,96,4,34,9.31,24.0,DC
Sufiyan Muqeem,1,pace,103,48,4,13,12.88,12.0,GT
Naveen-ul-Haq,1,spin,107,72,4,17,8.92,18.0,
Khushdil Shah,1,spin,172,114,4,37,9.05,28.5,
Sandeep Sharma,1,neutralish,186,96,4,14,11.62,24.0,
H Ssenyondo,1,pace,113,72,4,28,9.42,18.0,LSG
KA Maharaj,2,pace,136,90,4,21,9.07,22.5,RCB
A Kamboj,2,pace,60,42,4,19,8.57,10.5,
Noor Ahmad,1,neutralish,238,120,4,31,11.9,30.0,KKR
C Sakariya,1,spin,155,108,4,30,8.61,27.0,RR
Sanvir Singh,2,pace,105,66,4,13,9.55,16.5,
Yash Singh,2,spin,86,42,4,7,12.29,10.5,RCB
D Brevis,2,spin,95,54,4,17,10.56,13.5,GT
Abhishek Tanwar,1,pace,188,78,4,21,14.46,19.5,RCB
GD Phillips,2,neutralish,26,18,4,6,8.67,4.5,RR
Baltej Singh,1,pace,69,60,4,30,6.9,15.0,
Usman Khan (2),2,neutralish,23,18,4,10,7.67,4.5,
DJ Bravo,2,pace,96,66,4,15,8.73,16.5,
SH Johnson,1,spin,118,66,4,14,10.73,16.5,KKR
MA Wood,1,pace,104,66,4,15,9.45,16.5,KKR
AS Roy,2,spin,164,108,4,31,9.11,27.0,
DS Rathi,1,pace,155,144,4,41,6.46,36.0,LSG
Rashid Khan,2,pace,183,144,4,39,7.62,36.0,RCB
Rajvardhan S Hangargekar,2,pace,96,72,4,21,8.0,18.0,
Sonu Yadav,2,neutralish,103,67,4,22,9.22,16.75,CSK
M Prasidh Krishna,1,neutralish,142,90,4,21,9.47,22.5,KKR
Rajvardhan S Hangargekar,1,pace,340,210,4,52,9.71,52.5,
D Wiese,1,spin,141,84,4,18,10.07,21.0,KKR
RD Chahar,1,spin,227,126,4,34,10.81,31.5,
GD Phillips,1,pace,184,102,4,28,10.82,25.5,RR
Abhishek Sharma,2,pace,57,36,4,11,9.5,9.0,MI
SO Ngoche,2,spin,110,69,4,15,9.57,17.25,KKR
Ashutosh Sharma,1,spin,90,72,4,16,7.5,18.0,GT
Ashutosh Sharma,1,neutralish,161,84,4,19,11.5,21.0,GT
Esakkimuthu A,1,pace,54,48,4,12,6.75,12.0,
SP Narine,2,neutralish,105,66,4,15,9.55,16.5,SRH
Utkarsh Singh,2,neutralish,66,48,4,11,8.25,12.0,RR
Mustafizur Rahman,2,spin,101,66,4,22,9.18,16.5,
LH Ferguson,1,pace,125,84,4,28,8.93,21.0,
A Sheth,1,pace,89,72,4,31,7.42,18.0,
L Ngidi,2,neutralish,47,24,4,4,11.75,6.0,RR
G Coetzee,2,pace,149,102,4,42,8.76,25.5,
PHKD Mendis,1,pace,249,144,4,21,10.38,36.0,PBKS
BJ McMullen,1,pace,144,90,4,24,9.6,22.5,RCB
AD Russell,2,neutralish,446,228,4,45,11.74,57.0,DC
JM Coles,1,spin,154,114,4,17,8.11,28.5,
JJ Smit,1,spin,141,96,4,40,8.81,24.0,PBKS
Shivam Shukla,1,pace,64,48,4,16,8.0,12.0,MI
TA Boult,2,spin,194,125,4,44,9.31,31.25,
JJ Bumrah,1,spin,210,145,4,26,8.69,36.25,DC
AJ Hosein,1,spin,307,192,4,52,9.59,48.0,
J Overton,2,pace,159,96,4,22,9.94,24.0,RR
Shivam Shukla,2,pace,56,42,4,17,8.0,10.5,MI
JG Bethell,2,neutralish,160,86,4,21,11.16,21.5,
CH Gayle,1,spin,153,78,4,17,11.77,19.5,RCB
Shaheen Shah Afridi,2,neutralish,139,72,4,22,11.58,18.0,DC
AJ Hosein,2,spin,133,114,4,50,7.0,28.5,
Shaheen Shah Afridi,1,spin,91,48,4,14,11.38,12.0,DC
Parvej Musaraf,1,spin,106,72,4,20,8.83,18.0,
JA Richardson,2,pace,76,48,4,19,9.5,12.0,
CJ Jordan,1,pace,53,42,4,12,7.57,10.5,
Shaheen Shah Afridi,1,neutralish,181,96,4,23,11.31,24.0,DC
Shahbaz Ahmed,2,neutralish,202,120,4,19,10.1,30.0,KKR
R Parag,1,spin,306,186,4,37,9.87,46.5,GT
Shivank Vashisth,2,spin,98,66,4,21,8.91,16.5,
MP Stoinis,2,pace,335,208,4,56,9.66,52.0,
A Kamboj,1,pace,171,96,4,24,10.69,24.0,
Abdul Samad,1,spin,194,108,4,24,10.78,27.0,KKR
PHKD Mendis,2,pace,109,72,4,12,9.08,18.0,PBKS
Z Khan,2,pace,105,80,4,33,7.88,20.0,
Imran Tahir,1,neutralish,76,48,4,20,9.5,12.0,KKR
CH Morris,1,pace,189,114,4,35,9.95,28.5,
Cheepurapalli Stephen,1,pace,157,90,4,19,10.47,22.5,RR
Shadab Khan,1,spin,179,104,4,38,10.33,26.0,
Prince Yadav,2,pace,60,42,3,7,8.57,14.0,GT
AJ Turner,2,spin,97,54,3,11,10.78,18.0,
Zeeshan Ansari,1,neutralish,128,72,3,21,10.67,24.0,RR
S Gopal,1,spin,228,138,3,39,9.91,46.0,
Hemang Patel,2,pace,34,24,3,9,8.5,8.0,
SH Johnson,1,neutralish,161,90,3,20,10.73,30.0,KKR
Ravi Teja,1,neutralish,160,96,3,22,10.0,32.0,PBKS
Mukesh Kumar,1,pace,248,144,3,33,10.33,48.0,
MJ Owen,2,neutralish,184,96,3,10,11.5,32.0,MI
JA Duffy,1,spin,68,48,3,16,8.5,16.0,LSG
SH Johnson,2,neutralish,138,60,3,14,13.8,20.0,KKR
MR Marsh,2,spin,83,48,3,7,10.38,16.0,KKR
Mohammad Ghazanfar,2,neutralish,119,70,3,20,10.2,23.33,RR
Imran Tahir,2,neutralish,65,48,3,21,8.12,16.0,KKR
Arshad Khan,2,spin,147,78,3,20,11.31,26.0,CSK
Fazalhaq Farooqi,2,neutralish,91,60,3,28,9.1,20.0,GT
VR Iyer,1,pace,176,102,3,25,10.35,34.0,SRH
Swapnil Singh,2,neutralish,164,90,3,17,10.93,30.0,
MG Bracewell,2,neutralish,183,102,3,24,10.76,34.0,
N Rana,2,spin,93,72,3,23,7.75,24.0,GT
Bilal Zalmai,2,spin,144,95,3,23,9.09,31.67,
Tanush Kotian,1,pace,342,198,3,28,10.36,66.0,CSK
JA Duffy,2,spin,126,66,3,18,11.45,22.0,LSG
S Gopal,2,spin,142,90,3,29,9.47,30.0,
Abid Mushtaq,2,spin,95,48,3,15,11.88,16.0,
Mohammad Nabi,1,pace,110,72,3,19,9.17,24.0,
M Theekshana,2,neutralish,118,63,3,12,11.24,21.0,
M Theekshana,1,spin,216,138,3,29,9.39,46.0,
M Theekshana,1,pace,96,67,3,21,8.6,22.33,
AS Roy,1,spin,206,138,3,40,8.96,46.0,
Umran Malik,2,pace,122,78,3,26,9.38,26.0,
Ramandeep Singh,1,pace,355,210,3,36,10.14,70.0,RCB
CH Gayle,2,pace,55,36,3,7,9.17,12.0,RCB
Prashant Veer,2,spin,59,54,3,22,6.56,18.0,PBKS
S Lamichhane,1,neutralish,110,72,3,17,9.17,24.0,MI
SH Johnson,2,spin,142,86,3,25,9.91,28.67,KKR
SL Malinga,1,neutralish,100,42,3,6,14.29,14.0,
BJ McMullen,2,pace,235,144,3,33,9.79,48.0,RCB
DR Sams,2,pace,81,60,3,24,8.1,20.0,
Mohammed Shami,2,neutralish,188,114,3,28,9.89,38.0,MI
JC Archer,2,spin,142,90,3,19,9.47,30.0,DC
M Prasidh Krishna,1,spin,193,120,3,36,9.65,40.0,KKR
DS Airee,1,neutralish,87,48,3,11,10.88,16.0,DC
J Overton,1,spin,25,24,3,11,6.25,8.0,RR
Abhishek Sharma,1,neutralish,71,46,3,14,9.26,15.33,MI
R Ashwin,1,pace,198,132,3,36,9.0,44.0,PBKS
SM Curran,2,pace,272,168,3,56,9.71,56.0,RR
AA Kulkarni,2,neutralish,74,54,3,12,8.22,18.0,SRH
Mohit Redkar,1,neutralish,75,48,3,11,9.38,16.0,
WG Jacks,1,neutralish,164,108,3,18,9.11,36.0,RR
J Overton,1,neutralish,36,24,3,10,9.0,8.0,RR
JO Holder,2,pace,249,126,3,21,11.86,42.0,
A Mishra,1,spin,129,72,3,17,10.75,24.0,
Sandeep Sharma,2,neutralish,145,90,3,20,9.67,30.0,
Naseem Shah,2,spin,55,24,3,5,13.75,8.0,
KH Pandya,1,pace,104,60,3,13,10.4,20.0,SRH
AR Patel,2,neutralish,255,141,3,39,10.85,47.0,PBKS
Abdul Samad,1,pace,82,54,3,11,9.11,18.0,KKR
KA Pollard,2,neutralish,50,36,3,10,8.33,12.0,RR
Harpreet Brar,2,pace,166,103,3,31,9.67,34.33,
Suyash Sharma,1,pace,138,96,3,24,8.62,32.0,
PJ Cummins,2,spin,49,42,3,19,7.0,14.0,SRH
KA Maharaj,2,neutralish,123,72,3,21,10.25,24.0,RCB
H Ssenyondo,2,pace,43,24,3,5,10.75,8.0,LSG
KA Maharaj,1,neutralish,53,41,3,12,7.76,13.67,RCB
Nithish Kumar Reddy,1,neutralish,172,96,3,19,10.75,32.0,GT
Ravi Bishnoi,2,neutralish,107,60,3,11,10.7,20.0,SRH
Chirag Jani,1,spin,99,54,3,14,11.0,18.0,RCB
Noor Ahmad,1,pace,162,96,3,13,10.12,32.0,KKR
MM Ali,1,spin,96,72,3,27,8.0,24.0,
JN Loftie-Eaton,1,neutralish,94,66,3,26,8.55,22.0,
R Sai Kishore,1,pace,70,42,3,10,10.0,14.0,GT
Sanvir Singh,2,neutralish,31,24,3,6,7.75,8.0,
Yash Raj Punja,2,spin,116,72,3,22,9.67,24.0,
V Kaverappa,2,pace,86,48,3,16,10.75,16.0,
Noor Ahmad,2,pace,65,48,3,12,8.12,16.0,KKR
Sayed Irfan Aftab,1,pace,125,72,3,13,10.42,24.0,PBKS
Jagjit Singh,2,neutralish,90,36,3,8,15.0,12.0,
HJ Manenti,2,neutralish,129,80,3,32,9.68,26.67,RCB
C Sakariya,2,neutralish,148,90,3,21,9.87,30.0,RR
HJ Manenti,2,spin,46,24,3,5,11.5,8.0,RCB
Abdul Samad,2,neutralish,104,60,3,16,10.4,20.0,KKR
Mangesh Yadav,2,pace,62,45,3,16,8.27,15.0,GT
MW Short,2,spin,60,30,3,7,12.0,10.0,MI
SS Ghosh,2,spin,92,48,3,13,11.5,16.0,RCB
Shashank Singh,2,neutralish,171,108,3,37,9.5,36.0,PBKS
Naseem Shah,2,neutralish,58,48,3,16,7.25,16.0,
Sikandar Raza,2,neutralish,120,90,3,26,8.0,30.0,
Washington Sundar,2,neutralish,114,72,3,18,9.5,24.0,RCB
RA Bawa,1,spin,88,54,3,12,9.78,18.0,SRH
Shadab Khan,1,neutralish,121,66,3,11,11.0,22.0,
Kuldeep Yadav,1,pace,114,72,3,15,9.5,24.0,LSG
SZ Mulani,1,spin,179,138,3,37,7.78,46.0,
D Forrester,1,pace,160,102,3,26,9.41,34.0,MI
D Ferreira,1,spin,100,78,3,26,7.69,26.0,
JDS Neesham,1,pace,160,96,3,28,10.0,32.0,
GD Phillips,2,pace,115,72,3,18,9.58,24.0,RR
CJ Jordan,2,pace,118,87,3,23,8.14,29.0,
AR Ramjani,1,pace,224,162,3,59,8.3,54.0,PBKS
GD Phillips,2,spin,122,72,3,21,10.17,24.0,RR
Naman Dhir,1,spin,129,54,3,6,14.33,18.0,GT
KK Ahmed,1,pace,112,90,3,31,7.47,30.0,
Khrievitso Kense,1,neutralish,84,48,3,9,10.5,16.0,
KV Sharma,1,spin,92,48,3,6,11.5,16.0,
KK Ahmed,1,spin,160,96,3,34,10.0,32.0,
B Muzarabani,1,pace,93,63,3,30,8.86,21.0,GT
GJ Maxwell,1,neutralish,309,162,3,27,11.44,54.0,DC
R Tewatia,1,spin,99,60,3,17,9.9,20.0,
R Parag,2,neutralish,150,78,3,12,11.54,26.0,GT
Geet Puri,2,pace,71,54,3,16,7.89,18.0,CSK
AJ Turner,1,spin,58,48,3,13,7.25,16.0,
JG Bethell,1,pace,162,78,3,14,12.46,26.0,
CV Varun,1,neutralish,99,66,3,21,9.0,22.0,PBKS
Mayank Dagar,2,neutralish,142,93,2,18,9.16,46.5,DC
Utkarsh Singh,2,pace,88,60,2,10,8.8,30.0,RR
V Nigam,2,neutralish,139,72,2,7,11.58,36.0,GT
Manvanth Kumar L,1,pace,113,66,2,17,10.27,33.0,
MW Short,1,spin,41,36,2,15,6.83,18.0,MI
DJ Willey,1,pace,27,24,2,10,6.75,12.0,
Sufiyan Muqeem,2,pace,40,24,2,5,10.0,12.0,GT
Mangesh Yadav,2,spin,22,18,2,8,7.33,9.0,GT
V Nigam,1,pace,151,66,2,15,13.73,33.0,GT
Abdul Samad,2,pace,24,24,2,9,6.0,12.0,KKR
Rashid Khan,1,pace,64,48,2,14,8.0,24.0,RCB
D Brevis,1,spin,84,48,2,9,10.5,24.0,GT
R Sanjay Yadav,1,spin,40,18,2,3,13.33,9.0,
C Sakariya,1,neutralish,101,72,2,14,8.42,36.0,RR
OEG Baartman,2,pace,189,100,2,22,11.34,50.0,
PHKD Mendis,1,neutralish,78,48,2,11,9.75,24.0,PBKS
Cheepurapalli Stephen,1,spin,36,24,2,5,9.0,12.0,RR
Cheepurapalli Stephen,1,neutralish,85,60,2,19,8.5,30.0,RR
CV Varun,2,neutralish,94,66,2,18,8.55,33.0,PBKS
CH Gayle,1,neutralish,37,18,2,7,12.33,9.0,RCB
TA Boult,1,spin,124,72,2,18,10.33,36.0,
AS Roy,1,neutralish,49,24,2,6,12.25,12.0,
Parth Chandan,1,spin,92,66,2,27,8.36,33.0,DC
R Parag,1,neutralish,80,54,2,11,8.89,27.0,GT
R Ashwin,1,neutralish,130,72,2,13,10.83,36.0,PBKS
Prashant Veer,1,spin,85,54,2,17,9.44,27.0,PBKS
Prince Yadav,1,pace,48,24,2,7,12.0,12.0,GT
C Connolly,2,spin,57,42,2,17,8.14,21.0,GT
R Tewatia,1,neutralish,45,30,2,6,9.0,15.0,
Mohammad Nabi,2,neutralish,167,96,2,18,10.44,48.0,
Naseem Shah,1,pace,133,72,2,22,11.08,36.0,
Umran Malik,1,pace,38,24,2,10,9.5,12.0,
Tripuresh Singh,2,neutralish,57,42,2,11,8.14,21.0,SRH
Tripuresh Singh,1,neutralish,109,48,2,9,13.62,24.0,SRH
Mohsin Khan,2,neutralish,36,24,2,7,9.0,12.0,
Mujeeb Ur Rahman,2,spin,92,48,2,13,11.5,24.0,
Mukesh Kumar,1,spin,53,30,2,9,10.6,15.0,
Baltej Singh,2,pace,69,36,2,9,11.5,18.0,
Taskin Ahmed,1,pace,134,72,2,27,11.17,36.0,
AK Markram,1,neutralish,102,42,2,9,14.57,21.0,DC
Mustafizur Rahman,2,neutralish,155,90,2,23,10.33,45.0,
AK Markram,1,pace,26,18,2,5,8.67,9.0,DC
Tanay Thyagarajan,1,neutralish,87,48,2,9,10.88,24.0,CSK
Naman Tiwari,1,pace,57,42,2,17,8.14,21.0,CSK
TU Deshpande,2,pace,99,66,2,27,9.0,33.0,
Naseem Shah,1,neutralish,79,48,2,15,9.88,24.0,
MR Marsh,1,spin,85,60,2,19,8.5,30.0,KKR
MA Starc,2,spin,171,84,2,27,12.21,42.0,MI
MR Marsh,1,neutralish,150,78,2,16,11.54,39.0,KKR
GF Linde,1,pace,29,24,2,15,7.25,12.0,GT
K Kartikeya,2,spin,94,53,2,16,10.64,26.5,MI
Yash Dayal,2,pace,131,71,2,26,11.07,35.5,
Yash Dayal,1,pace,115,66,2,14,10.45,33.0,
KA Pollard,1,neutralish,55,30,2,7,11.0,15.0,RR
Akshya Deka,1,spin,75,48,2,13,9.38,24.0,MI
YS Chahal,1,pace,184,102,2,18,10.82,51.0,KKR
KH Pandya,1,neutralish,129,72,2,16,10.75,36.0,SRH
Sami Sohail,1,pace,174,96,2,21,10.88,48.0,
Sikandar Raza,1,neutralish,117,72,2,18,9.75,36.0,
KK Ahmed,1,neutralish,124,60,2,16,12.4,30.0,
KR Sen,1,pace,109,66,2,19,9.91,33.0,
Samant Jakhar,1,pace,49,30,2,9,9.8,15.0,
Samant Jakhar,1,neutralish,17,12,2,4,8.5,6.0,
Saim Ayub,1,spin,49,24,2,5,12.25,12.0,
SN Thakur,2,neutralish,54,24,2,6,13.5,12.0,
YK Pathan,1,pace,81,60,2,13,8.1,30.0,
Saim Ayub,1,neutralish,63,42,2,15,9.0,21.0,
SZ Mulani,2,neutralish,37,24,2,7,9.25,12.0,
GD Phillips,1,neutralish,177,96,2,26,11.06,48.0,RR
DL Chahar,2,pace,223,138,2,38,9.7,69.0,
Arshad Khan,1,spin,105,66,2,24,9.55,33.0,CSK
SS Ghosh,1,spin,42,24,2,6,10.5,12.0,RCB
Washington Sundar,1,neutralish,60,48,2,16,7.5,24.0,RCB
Sonu Yadav,1,pace,116,60,2,12,11.6,30.0,CSK
Ashwani Kumar,1,neutralish,73,24,2,3,18.25,12.0,
SN Thakur,2,pace,71,42,2,10,10.14,21.0,
A Sheth,2,pace,122,72,2,12,10.17,36.0,
WG Jacks,2,neutralish,196,120,2,27,9.8,60.0,RR
Shubhang Hegde,2,spin,89,66,2,25,8.09,33.0,LSG
Junaid Siddique,2,pace,66,42,2,18,9.43,21.0,RR
Sayed Irfan Aftab,2,pace,54,36,2,7,9.0,18.0,PBKS
HR Shokeen,1,spin,60,48,2,18,7.5,24.0,
Akash Deep,1,pace,55,48,2,16,6.88,24.0,
J Anderson,1,neutralish,51,24,2,7,12.75,12.0,
I Sharma,2,spin,81,48,2,9,10.12,24.0,
Akash Deep,1,spin,33,24,2,12,8.25,12.0,
Yuvraj Singh,2,pace,173,90,2,27,11.53,45.0,
J Miyaji,2,pace,67,48,2,20,8.38,24.0,
JA Duffy,2,pace,37,36,2,20,6.17,18.0,LSG
Yudhvir Singh,2,neutralish,89,48,2,14,11.12,24.0,RR
Akash Pawar,1,pace,118,72,2,29,9.83,36.0,
JD Unadkat,1,pace,92,48,2,10,11.5,24.0,
JD Unadkat,2,pace,126,72,2,12,10.5,36.0,
JDS Neesham,2,neutralish,87,48,2,14,10.88,24.0,
JDS Neesham,2,pace,250,138,2,43,10.87,69.0,
Akash Vasisht,1,pace,95,66,2,18,8.64,33.0,DC
Akash Vasisht,2,neutralish,163,96,2,16,10.19,48.0,DC
JG Bethell,1,spin,78,48,2,10,9.75,24.0,
Yash Thakur,2,spin,80,42,2,11,11.43,21.0,
Shahbaz Ahmed,1,neutralish,170,84,2,15,12.14,42.0,KKR
Harsh Tyagi,2,neutralish,46,24,2,8,11.5,12.0,
Harsh Tyagi,1,spin,6,12,2,9,3.0,6.0,
Harsh Tyagi,1,neutralish,59,36,2,8,9.83,18.0,
Harpreet Brar,2,neutralish,141,78,2,11,10.85,39.0,
Harpreet Brar,1,pace,258,168,2,37,9.21,84.0,
JJ Smit,2,spin,58,42,2,17,8.29,21.0,PBKS
JN Loftie-Eaton,2,spin,124,91,2,37,8.18,45.5,
JR Hazlewood,1,spin,157,90,2,20,10.47,45.0,MI
A Kamboj,2,neutralish,54,30,2,8,10.8,15.0,
Ehsan Khan,1,pace,76,48,2,12,9.5,24.0,CSK
AS Roy,2,neutralish,113,66,2,14,10.27,33.0,
MJ Santner,2,pace,97,66,2,19,8.82,33.0,
MA Starc,1,neutralish,119,72,2,22,9.92,36.0,MI
VG Arora,1,neutralish,17,15,2,6,6.8,7.5,
MJ Suthar,1,spin,47,24,2,6,11.75,12.0,
DW Lawrence,1,spin,43,24,2,11,10.75,12.0,
Ashwin Shelke,1,spin,45,36,2,20,7.5,18.0,DC
MJ Owen,1,neutralish,68,42,2,8,9.71,21.0,MI
M Siddharth,2,neutralish,68,46,2,14,8.87,23.0,GT
VR Iyer,2,spin,95,48,2,9,11.88,24.0,SRH
DS Rathi,1,neutralish,84,48,2,12,10.5,24.0,LSG
Rishad Hossain,2,spin,60,36,2,8,10.0,18.0,
VR Iyer,2,pace,117,54,2,5,13.0,27.0,SRH
VR Iyer,1,neutralish,148,90,2,21,9.87,45.0,SRH
DR Mousley,2,spin,60,42,2,15,8.57,21.0,LSG
Atharva Ankolekar,2,neutralish,37,24,2,6,9.25,12.0,RR
S Lamichhane,2,neutralish,119,65,2,13,10.98,32.5,MI
SA Abbott,2,pace,126,72,2,13,10.5,36.0,
SA Abbott,1,pace,83,48,2,13,10.38,24.0,
MM Ali,1,pace,69,48,2,8,8.62,24.0,
MG Bracewell,1,spin,82,48,2,15,10.25,24.0,
M Pathirana,2,neutralish,193,88,2,11,13.16,44.0,CSK
AD Russell,2,spin,159,73,2,12,13.07,36.5,DC
MP Stoinis,1,pace,418,234,2,56,10.72,117.0,
MP Yadav,1,neutralish,101,60,2,22,10.1,30.0,KKR
AD Russell,1,spin,117,78,2,19,9.0,39.0,DC
Ravi Teja,2,neutralish,102,67,2,7,9.13,33.5,PBKS
Azmatullah Omarzai,1,spin,15,6,1,1,15.0,6.0,
Abid Mushtaq,1,spin,156,96,1,36,9.75,96.0,
Shadab Khan,1,pace,24,12,1,3,12.0,12.0,
Akash Deep,2,neutralish,48,24,1,4,12.0,24.0,
R Powell,2,spin,7,6,1,2,7.0,6.0,
Ravi Bishnoi,2,pace,54,24,1,5,13.5,24.0,SRH
T Natarajan,1,neutralish,181,114,1,33,9.53,114.0,RR
Sayed Irfan Aftab,2,spin,32,24,1,3,8.0,24.0,PBKS
Abrar Ahmed,1,pace,43,24,1,4,10.75,24.0,
Ravi Teja,1,spin,88,48,1,7,11.0,48.0,PBKS
Azmatullah Omarzai,2,spin,62,36,1,11,10.33,36.0,
Abrar Ahmed,1,neutralish,54,24,1,8,13.5,24.0,
Akash Madhwal,2,pace,34,24,1,11,8.5,24.0,
Shubhang Hegde,1,pace,169,78,1,12,13.0,78.0,LSG
Rishabh Chouhan,1,spin,12,6,1,2,12.0,6.0,GT
Shivank Vashisth,1,spin,43,24,1,3,10.75,24.0,
Swapnil Singh,1,neutralish,141,72,1,10,11.75,72.0,
BA Stokes,2,spin,19,12,1,2,9.5,12.0,
S Gill,2,pace,11,18,1,10,3.67,18.0,RCB
Athisayaraj Davidson,1,pace,45,24,1,7,11.25,24.0,CSK
R Powell,1,pace,61,36,1,6,10.17,36.0,
Sufiyan Muqeem,1,neutralish,35,18,1,4,11.67,18.0,GT
Satyajeet Bachhav,1,spin,42,24,1,7,10.5,24.0,MI
Azmatullah Omarzai,2,neutralish,80,37,1,8,12.97,37.0,
Avesh Khan,1,neutralish,90,48,1,8,11.25,48.0,LSG
Ravi Bishnoi,1,neutralish,122,66,1,14,11.09,66.0,SRH
B Sai Sudharsan,1,spin,11,6,1,2,11.0,6.0,MI
RD Chahar,2,pace,45,36,1,14,7.5,36.0,
Akshya Deka,1,pace,37,24,1,8,9.25,24.0,MI
Akhil Scaria,1,pace,44,18,1,7,14.67,18.0,GT
Suryansh Shedge,1,neutralish,123,78,1,18,9.46,78.0,KKR
RA Bawa,1,pace,56,54,1,19,6.22,54.0,SRH
SM Curran,2,neutralish,33,24,1,5,8.25,24.0,RR
RA Bawa,2,pace,23,12,1,3,11.5,12.0,SRH
SM Curran,2,spin,38,24,1,4,9.5,24.0,RR
RR Patel,1,neutralish,34,24,1,5,8.5,24.0,
Bilal Zalmai,1,spin,87,72,1,19,7.25,72.0,
Suryansh Shedge,1,spin,232,126,1,21,11.05,126.0,KKR
Bal Krishna,1,pace,59,48,1,13,7.38,48.0,
Bilal Zalmai,1,neutralish,42,24,1,3,10.5,24.0,
RA Bawa,1,neutralish,160,84,1,18,11.43,84.0,SRH
SR Watson,1,pace,133,72,1,13,11.08,72.0,
RA Jadeja,2,pace,310,174,1,24,10.69,174.0,CSK
Sonu Yadav,1,spin,75,42,1,12,10.71,42.0,CSK
Ashutosh Aman,1,spin,121,72,1,25,10.08,72.0,
SN Netravalkar,1,neutralish,47,24,1,6,11.75,24.0,
RE van der Merwe,1,pace,15,12,1,3,7.5,12.0,CSK
Abhishek Prabhakar,1,pace,29,24,1,7,7.25,24.0,
SN Thakur,1,pace,45,24,1,7,11.25,24.0,
BJ McMullen,2,spin,52,28,1,2,11.14,28.0,RCB
C Connolly,1,neutralish,12,12,1,6,6.0,12.0,GT
Akshay Karnewar,2,spin,10,12,1,6,5.0,12.0,
Ramandeep Singh,1,neutralish,38,30,1,7,7.6,30.0,RCB
RD Chahar,2,spin,167,102,1,34,9.82,102.0,
Sumit Kumar,2,pace,76,30,1,4,15.2,30.0,
R Sai Kishore,2,pace,123,72,1,17,10.25,72.0,GT
Atharva Ankolekar,1,neutralish,126,72,1,20,10.5,72.0,RR
Sandeep Sharma,1,spin,84,48,1,13,10.5,48.0,
Ramandeep Singh,2,neutralish,20,12,1,3,10.0,12.0,RCB
Sami Sohail,2,pace,37,21,1,5,10.57,21.0,
Abhishek Prabhakar,2,pace,31,20,1,3,9.3,20.0,
Samant Jakhar,2,neutralish,39,18,1,7,13.0,18.0,
