bowler,innings,pitch,runs_conceded,balls,wkts,dots,Eco,SR,Curr_Tm
AD Russell,2,pace,722,359,20,83,12.07,17.95,DC
Sufiyan Muqeem,1,spin,272,210,20,81,7.77,10.5,GT
V Nigam,1,spin,622,376,19,95,9.93,19.79,GT
Mohammad Nabi,2,spin,418,300,19,97,8.36,15.79,
Mohammed Shami,1,pace,647,372,19,126,10.44,19.58,MI
KH Pandya,2,spin,690,474,19,145,8.73,24.95,SRH
WG Jacks,2,pace,764,426,19,85,10.76,22.42,RR
GF Linde,2,spin,277,186,18,73,8.94,10.33,GT
NT Ellis,2,neutralish,243,152,18,46,9.59,8.44,SRH
SH Johnson,2,pace,392,263,18,105,8.94,14.61,KKR
V Puthur,1,spin,461,312,18,116,8.87,17.33,RCB
SP Narine,1,spin,562,360,18,99,9.37,20.0,SRH
B Kumar,2,spin,517,313,18,89,9.91,17.39,KKR
AR Ramjani,2,spin,365,286,18,99,7.66,15.89,PBKS
A Zampa,1,neutralish,314,228,18,78,8.26,12.67,SRH
NT Ellis,2,pace,470,282,18,79,10.0,15.67,SRH
Naveen-ul-Haq,1,pace,397,262,18,88,9.09,14.56,
A Nagwaswalla,1,pace,228,210,17,107,6.51,12.35,RR
Noor Ahmad,1,spin,563,384,17,112,8.8,22.59,KKR
S Lamichhane,2,spin,266,157,17,48,10.17,9.24,MI
DAJ Bracewell,2,pace,458,266,17,89,10.33,15.65,
SM Curran,1,pace,377,240,17,76,9.43,14.12,RR
DS Rathi,1,spin,438,312,17,113,8.42,18.35,LSG
AR Patel,2,spin,441,329,17,110,8.04,19.35,PBKS
B Kumar,1,spin,533,300,17,88,10.66,17.65,KKR
SP Narine,2,spin,612,417,17,124,8.81,24.53,SRH
Ravi Bishnoi,1,spin,563,408,17,137,8.28,24.0,SRH
JJ Bumrah,1,neutralish,311,186,17,48,10.03,10.94,DC
R Shepherd,2,pace,562,317,17,86,10.64,18.65,SRH
Harsh Dubey,1,spin,473,282,17,86,10.06,16.59,DC
HH Pandya,2,pace,675,470,17,148,8.62,27.65,LSG
GJ Maxwell,2,spin,788,456,17,119,10.37,26.82,DC
LI Meriwala,1,pace,384,270,17,70,8.53,15.88,SRH
M Markande,2,spin,438,330,16,113,7.96,20.62,SRH
Atharva Ankolekar,2,spin,368,235,16,71,9.4,14.69,RR
Karan Lal,2,neutralish,172,124,16,39,8.32,7.75,RR
Sikandar Raza,1,spin,491,318,16,86,9.26,19.88,
LI Meriwala,2,pace,408,264,16,78,9.27,16.5,SRH
Tanush Kotian,1,neutralish,311,192,16,60,9.72,12.0,CSK
S Dube,1,pace,413,257,16,86,9.64,16.06,RR
Mohammad Amir,1,pace,281,216,16,80,7.81,13.5,LSG
Arshdeep Singh,2,spin,587,345,16,100,10.21,21.56,LSG
M Prasidh Krishna,2,pace,682,444,16,112,9.22,27.75,KKR
Arshdeep Singh,2,neutralish,255,163,16,59,9.39,10.19,LSG
Chirag Jani,1,pace,476,312,16,99,9.15,19.5,RCB
Swapnil Singh,2,spin,321,198,16,60,9.73,12.38,
Mayank Dagar,2,spin,411,256,16,72,9.63,16.0,DC
JR Hazlewood,2,pace,527,354,15,105,8.93,23.6,MI
V Nigam,2,spin,374,258,15,70,8.7,17.2,GT
RE van der Merwe,1,spin,403,216,15,75,11.19,14.4,CSK
Arshad Khan,1,pace,534,318,15,94,10.08,21.2,CSK
MJ Owen,2,pace,415,192,15,31,12.97,12.8,MI
Ashwin Das,2,pace,243,190,15,59,7.67,12.67,LSG
Avesh Khan,2,pace,531,307,15,89,10.38,20.47,LSG
Shashank Singh,1,pace,460,288,15,108,9.58,19.2,PBKS
V Puthur,2,spin,483,302,15,84,9.6,20.13,RCB
Karan Lal,1,neutralish,443,264,15,62,10.07,17.6,RR
Jagjit Singh,2,pace,439,326,15,119,8.08,21.73,
PHKD Mendis,2,spin,364,241,15,75,9.06,16.07,PBKS
Shivam Shukla,2,spin,264,165,15,51,9.6,11.0,MI
Shivam Shukla,1,spin,299,192,15,78,9.34,12.8,MI
R Sai Kishore,1,spin,540,360,15,129,9.0,24.0,GT
M Markande,1,spin,504,348,15,107,8.69,23.2,SRH
Mohammed Shami,2,pace,432,294,15,93,8.82,19.6,MI
Abrar Ahmed,2,spin,347,170,15,50,12.25,11.33,
S Dube,1,neutralish,456,246,14,62,11.12,17.57,RR
R Ashwin,2,spin,244,187,14,73,7.83,13.36,PBKS
Avesh Khan,1,pace,576,360,14,115,9.6,25.71,LSG
KA Maharaj,1,spin,237,180,14,82,7.9,12.86,RCB
S Dube,2,pace,314,184,14,45,10.24,13.14,RR
Tanay Thyagarajan,1,spin,360,264,14,99,8.18,18.86,CSK
PWH de Silva,1,pace,522,342,14,82,9.16,24.43,RCB
Akash Vasisht,1,spin,425,288,14,74,8.85,20.57,DC
M Pathirana,1,spin,333,192,14,55,10.41,13.71,CSK
AR Patel,2,pace,701,414,14,105,10.16,29.57,PBKS
Jagjit Singh,1,pace,520,303,14,106,10.3,21.64,
SP Narine,1,pace,759,468,14,109,9.73,33.43,SRH
Ashutosh Sharma,1,pace,523,324,14,108,9.69,23.14,GT
Sufiyan Muqeem,2,neutralish,313,183,14,40,10.26,13.07,GT
M Pathirana,1,neutralish,324,184,14,55,10.57,13.14,CSK
Pulkit Narang,2,spin,351,227,13,56,9.28,17.46,KKR
M Prasidh Krishna,1,pace,644,420,13,115,9.2,32.31,KKR
RA Jadeja,1,spin,659,390,13,91,10.14,30.0,CSK
Sufiyan Muqeem,2,spin,175,126,13,46,8.33,9.69,GT
Swapnil Singh,1,spin,444,258,13,77,10.33,19.85,
A Nortje,2,pace,301,185,13,55,9.76,14.23,
R Sai Kishore,1,neutralish,350,216,13,62,9.72,16.62,GT
Pulkit Narang,1,spin,275,224,13,99,7.37,17.23,KKR
Sandeep Sharma,1,pace,415,306,13,95,8.14,23.54,
DS Airee,1,spin,324,210,13,56,9.26,16.15,DC
JC Archer,2,neutralish,219,132,13,49,9.95,10.15,DC
WG Jacks,1,pace,626,324,13,59,11.59,24.92,RR
Mohammad Amir,2,pace,221,141,13,42,9.4,10.85,LSG
B Kumar,2,neutralish,274,155,13,49,10.61,11.92,KKR
Yuvraj Singh,1,pace,407,222,12,75,11.0,18.5,
Yudhvir Singh,2,pace,307,198,12,70,9.3,16.5,RR
PWH de Silva,1,neutralish,266,162,12,48,9.85,13.5,RCB
Yash Thakur,2,pace,344,210,12,62,9.83,17.5,
Utkarsh Singh,2,spin,233,203,12,65,6.89,16.92,RR
PWH de Silva,2,pace,418,234,12,43,10.72,19.5,RCB
Abrar Ahmed,2,neutralish,147,107,12,33,8.24,8.92,
Sikandar Raza,2,spin,431,269,12,82,9.61,22.42,
MR Marsh,1,pace,306,204,12,67,9.0,17.0,KKR
HV Patel,2,spin,265,170,12,45,9.35,14.17,PBKS
