player,team,#catches,#runout/stumping
Priyansh Arya,SRH,17,0
TM Head,CSK,14,0
V Kohli,DC,12,0
V Suryavanshi,PBKS,12,0
Q de Kock,PBKS,12,0
JP Inglis,GT,12,0
GJ Maxwell,RR,11,2
N Pooran,MI,11,0
KL Rahul,SRH,9,0
Abhishek Sharma,MI,9,0
PD Salt,RCB,9,0
Washington Sundar,PBKS,9,0
Shubman Gill,LSG,8,0
Ishan Kishan,KKR,8,0
JM Sharma,RCB,7,0
Suryansh Shedge,CSK,7,0
RD Rickelton,RR,7,0
Shashank Singh,PBKS,7,0
LS Livingstone,SRH,7,2
N Sindhu,DC,6,0
A Mhatre,KKR,6,0
H Klaasen,PBKS,6,0
R Sai Kishore,GT,6,0
PP Shaw,MI,6,0
JR Hazlewood,RR,6,0
DAJ Bracewell,MI,6,0
SV Samson,GT,6,1
LG Pretorius,GT,6,0
RD Gaikwad,RCB,6,3
R Parag,GT,5,0
MA Agarwal,CSK,5,0
TA Boult,MI,5,1
T Stubbs,SRH,5,0
Abishek Porel,DC,5,0
AD Russell,DC,5,0
BM Duckett,CSK,5,0
JC Buttler,KKR,4,0
S Dube,RR,4,1
A Nortje,RCB,4,0
MA Starc,KKR,4,0
AJ Turner,MI,4,0
AR Patel,CSK,4,0
KH Pandya,SRH,4,0
Ramandeep Singh,LSG,4,0
Ashutosh Sharma,RCB,4,0
Urvil Patel,DC,4,0
R Shepherd,GT,4,0
B Sai Sudharsan,RCB,4,0
RR Pant,KKR,4,0
VR Iyer,SRH,4,0
Harpreet Brar,RCB,4,0
Kartik Sharma,LSG,3,0
Mohammad Nabi,GT,3,0
Naman Dhir,GT,3,1
Noor Ahmad,RCB,3,0
P Simran Singh,SRH,3,0
Umran Malik,MI,3,0
C Green,RCB,3,0
AK Markram,SRH,3,0
AM Rahane,KKR,3,0
Kuldeep Yadav,SRH,3,0
RR Rossouw,MI,3,0
Yudhvir Singh,GT,3,0
Akash Vasisht,MI,3,0
JJ Bumrah,MI,3,0
Harshit Rana,CSK,3,0
KD Karthik,MI,3,1
Rashid Khan,GT,3,0
Arshad Khan,KKR,3,0
Dhruv Jurel,LSG,3,0
Abdul Samad,LSG,3,0
PWH de Silva,DC,2,0
Sameer Rizvi,LSG,2,0
PJ Cummins,PBKS,2,0
Ravi Bishnoi,PBKS,2,0
R Tewatia,RR,2,0
RS Hangargekar,RCB,2,1
N Wadhera,RR,2,1
RA Jadeja,DC,2,0
R Ashwin,KKR,2,0
MM Ali,KKR,2,0
Mujeeb Ur Rahman,CSK,2,0
JC Archer,LSG,2,0
A Raghuvanshi,KKR,2,1
AJ Tye,DC,2,0
YBK Jaiswal,RR,2,0
WL Madsen,MI,2,0
BJ McMullen,DC,2,0
DP Conway,GT,2,0
FH Allen,LSG,2,0
HH Pandya,MI,2,0
HS Desai,DC,2,0
Tilak Varma,CSK,2,0
Fazalhaq Farooqi,CSK,2,1
JM Bairstow,KKR,2,1
Tanush Kotian,SRH,2,0
Mayank Dagar,RR,2,1
MP Yadav,CSK,2,0
MG Bracewell,DC,2,1
Swapnil Singh,RR,2,1
M Markande,PBKS,2,2
M Jansen,RR,2,0
Jay Gohil,MI,2,0
SP Narine,LSG,2,0
V Kaverappa,SRH,1,0
Shakib Al Hasan,PBKS,1,0
V Nigam,GT,1,1
T Natarajan,CSK,1,0
Shahbaz Ahmed,LSG,1,0
YS Chahal,RCB,1,0
Smaran Ravichandran,PBKS,1,1
Yuvraj Chaudhary,RCB,1,0
Samarth Vyas,MI,1,0
Salman Nizar,PBKS,1,0
A Badoni,SRH,1,0
SS Iyer,LSG,1,0
Harsh Dubey,LSG,1,1
A Mishra,CSK,1,0
AS Roy,SRH,1,0
Aniket Verma,RR,1,0
Anmolpreet Singh,CSK,1,0
Arshdeep Singh,LSG,1,0
Azmatullah Omarzai,RR,1,1
B Kumar,KKR,1,0
BA Stokes,LSG,1,0
CJ Green,RCB,1,0
CJ Jordan,GT,1,0
CV Varun,PBKS,1,0
D Padikkal,GT,1,0
GF Linde,RR,1,0
Jagjit Singh,CSK,1,0
SB Dubey,GT,1,0
K Gowtham,DC,1,0
K Rabada,DC,1,0
KA Maharaj,RR,1,0
M Prasidh Krishna,DC,1,3
M Theekshana,MI,1,1
MK Lomror,SRH,1,0
Mohammed Siraj,RCB,1,0
N Rana,KKR,1,1
PHKD Mendis,KKR,1,0
RM Patidar,RR,1,0
Rahul Singh,MI,1,0
Rasikh Salam,GT,1,0
SA Yadav,DC,1,2
Zeeshan Ansari,LSG,1,1
JO Holder,SRH,0,1
M Siddharth,CSK,0,1
Mohammed Shami,PBKS,0,1
SS Ghosh,MI,0,2
