match_id,innings,runs,balls,wkts,Eco,win,PP_perf,Middle_perf,Death_perf,bowler,team,team_total
S03M004,2,45,24,1,11.25,1.0,1-7(6),,0-38(18),B Kumar,KKR,6-202 (120)
S03M008,1,29,24,2,7.25,0.0,1-11(6),,1-18(18),B Kumar,KKR,8-138 (120)
S03M015,1,49,24,2,12.25,0.0,1-6(6),,1-43(18),B Kumar,KKR,4-197 (120)
S03M023,2,28,24,3,7.0,1.0,0-4(6),,3-24(18),B Kumar,KKR,6-198 (120)
S03M027,2,36,15,1,14.4,0.0,0-11(6),,1-25(9),B Kumar,KKR,3-169 (105)
S03M032,2,32,24,3,8.0,1.0,1-3(6),,2-29(18),B Kumar,KKR,5-192 (120)
S03M037,1,50,24,3,12.5,0.0,0-15(6),,3-35(18),B Kumar,KKR,6-229 (120)
S03M044,2,39,24,0,9.75,1.0,0-6(6),,0-33(18),B Kumar,KKR,6-174 (120)
S03M051,1,32,18,0,10.67,0.0,,,0-32(18),B Kumar,KKR,5-175 (120)
S03M060,1,34,24,1,8.5,0.0,0-8(6),,1-26(18),B Kumar,KKR,7-193 (120)
S03M064,1,29,18,4,9.67,1.0,2-11(6),,2-18(12),B Kumar,KKR,10-169 (111)
S03M067,2,50,24,2,12.5,0.0,1-10(6),,1-40(18),B Kumar,KKR,5-186 (120)
S03M003,2,37,24,1,9.25,1.0,0-22(12),1-4(6),0-11(6),M Pathirana,RCB,8-183 (120)
S03M009,1,46,24,3,11.5,1.0,1-14(6),1-13(6),1-19(12),M Pathirana,RCB,6-195 (120)
S03M013,1,47,24,3,11.75,0.0,0-11(6),1-11(6),2-25(12),M Pathirana,RCB,6-216 (120)
S03M019,1,35,24,1,8.75,1.0,0-20(12),0-2(6),1-13(6),M Pathirana,RCB,8-210 (120)
S03M025,2,45,23,0,11.74,0.0,0-7(6),0-27(12),0-11(5),M Pathirana,RCB,4-178 (107)
S03M029,2,37,24,1,9.25,1.0,1-19(12),,0-18(12),M Pathirana,RCB,3-211 (120)
S03M035,1,47,24,4,11.75,0.0,2-15(6),,2-32(18),M Pathirana,RCB,7-211 (120)
S03M045,2,37,24,2,9.25,1.0,0-6(6),1-9(6),1-22(12),M Pathirana,RCB,9-171 (120)
S03M049,2,31,18,2,10.33,0.0,0-8(6),1-11(6),1-12(6),M Pathirana,RCB,6-196 (114)
S03M054,1,33,24,1,8.25,1.0,0-11(6),0-11(6),1-11(12),M Pathirana,RCB,7-177 (120)
S03M057,2,43,24,0,10.75,0.0,0-17(6),0-11(6),0-15(12),M Pathirana,RCB,2-215 (119)
S03M062,2,41,24,1,10.25,1.0,0-10(6),0-25(12),1-6(6),M Pathirana,RCB,10-164 (117)
S03M067,1,49,24,1,12.25,1.0,0-21(6),0-12(6),1-16(12),M Pathirana,RCB,4-185 (120)
S03M071,1,53,24,2,13.25,0.0,,0-16(6),2-37(18),M Pathirana,RCB,6-210 (120)
S03M002,2,19,21,3,5.43,0.0,,1-5(12),2-14(9),JJ Bumrah,MI,7-193 (111)
S03M017,2,5,12,2,2.5,1.0,,2-5(12),,JJ Bumrah,MI,10-107 (86)
S03M022,1,28,24,0,7.0,1.0,,0-24(18),0-4(6),JJ Bumrah,MI,7-176 (120)
S03M028,2,32,24,0,8.0,1.0,,0-21(18),0-11(6),JJ Bumrah,MI,9-151 (120)
S03M033,1,48,24,1,12.0,0.0,,1-21(12),0-27(12),JJ Bumrah,MI,4-195 (120)
S03M038,2,46,24,0,11.5,0.0,,0-20(12),0-26(12),JJ Bumrah,MI,6-205 (117)
S03M053,2,1,6,1,1.0,1.0,,1-1(6),,JJ Bumrah,MI,10-84 (60)
S03M057,1,39,24,2,9.75,1.0,0-13(6),0-21(12),2-5(6),JJ Bumrah,MI,7-211 (120)
S03M064,2,22,12,2,11.0,0.0,,2-22(12),,JJ Bumrah,MI,5-173 (102)
S03M068,1,28,24,3,7.0,1.0,,1-19(12),2-9(12),JJ Bumrah,MI,9-194 (120)
S03M072,1,35,24,4,8.75,1.0,,2-8(12),2-27(12),JJ Bumrah,MI,9-190 (120)
S03M073,2,32,24,1,8.0,1.0,,1-32(24),,JJ Bumrah,MI,9-196 (120)
