player,team,points_bat,points_ball,total_points
Harpreet Brar,RCB,71.84538461538462,115.8756746125403,187.7210592279249
MM Ali,KKR,27.11518353105374,158.5760595094491,185.6912430405029
M Theekshana,MI,0.0,183.8403535188216,183.8403535188216
Kuldeep Yadav,SRH,0.0,182.1399571589628,182.1399571589628
Anmolpreet Singh,CSK,180.4040875912409,0.0,180.4040875912409
Mohammad Nabi,GT,0.0,178.3065592394786,178.3065592394786
Atharva Ankolekar,MI,0.0,177.6100225471628,177.6100225471628
Smaran Ravichandran,PBKS,176.8062446043166,0.0,176.8062446043166
LG Pretorius,GT,176.5048057553957,0.0,176.5048057553957
SS Ghosh,MI,0.0,175.4546929133858,175.4546929133858
CJ Jordan,GT,0.0,173.3362962219788,173.3362962219788
PJ Cummins,PBKS,0.0,173.2342710282762,173.2342710282762
Sandeep Sharma,RR,0.0,171.1558140070417,171.1558140070417
Sameer Rizvi,LSG,169.179688172043,0.0,169.179688172043
K Gowtham,DC,72.57005680600214,93.68644053666796,166.2564973426701
Naveen-ul-Haq,SRH,0.0,165.3612761397079,165.3612761397079
Zeeshan Ansari,LSG,0.0,159.5054504660378,159.5054504660378
HV Patel,PBKS,0.0,157.462779168465,157.462779168465
Tanush Kotian,SRH,0.0,154.5648619528619,154.5648619528619
K Kartikeya,GT,0.0,152.8688011286958,152.8688011286958
Yudhvir Singh,GT,0.0,151.3005795206972,151.3005795206972
Rahul Singh,MI,151.0841111111111,0.0,151.0841111111111
N Wadhera,RR,147.0073157894736,0.0,147.0073157894736
MG Bracewell,DC,0.0,143.0367592429146,143.0367592429146
TU Deshpande,RR,0.0,141.09923591617,141.09923591617
DS Airee,RCB,0.0,140.6213595800525,140.6213595800525
JG Bethell,SRH,109.6959090909091,30.80460189919649,140.5005109901056
T Stubbs,SRH,139.9016293222683,0.0,139.9016293222683
KA Maharaj,RR,0.0,137.3231043771044,137.3231043771044
Harshit Rana,CSK,0.0,132.4873100770466,132.4873100770466
RS Hangargekar,RCB,0.0,132.2315676935402,132.2315676935402
Umran Malik,MI,0.0,132.0802415000565,132.0802415000565
RK Bhui,CSK,131.2221339829476,0.0,131.2221339829476
JC Archer,LSG,0.0,129.7597777777778,129.7597777777778
PWH de Silva,DC,0.0,128.9131111111111,128.9131111111111
F du Plessis,CSK,128.5182322899506,0.0,128.5182322899506
RR Pant,KKR,127.9389752704791,0.0,127.9389752704791
Kartik Sharma,LSG,126.1861356147021,0.0,126.1861356147021
R Tewatia,RR,0.0,126.1082735439003,126.1082735439003
SH Johnson,SRH,0.0,126.06281268103,126.06281268103
C Sakariya,SRH,0.0,125.7181016949153,125.7181016949153
J Fraser-McGurk,RCB,124.751,0.0,124.751
Swapnil Singh,RR,0.0,122.2530128881078,122.2530128881078
Ashwani Kumar,RR,0.0,122.0195560681789,122.0195560681789
HC Brook,PBKS,121.9722171945701,0.0,121.9722171945701
Salman Nizar,PBKS,121.0909298245614,0.0,121.0909298245614
A Badoni,SRH,119.034899408284,0.0,119.034899408284
Yuvraj Chaudhary,RCB,118.6742946859903,0.0,118.6742946859903
HR Shokeen,RR,0.0,117.5898510242086,117.5898510242086
Avesh Khan,DC,0.0,116.7867005258433,116.7867005258433
Ravi Teja,LSG,0.0,116.1105843621399,116.1105843621399
Mohammed Siraj,RCB,0.0,113.4610122100122,113.4610122100122
Mohammed Shami,PBKS,0.0,106.6446795547745,106.6446795547745
GF Linde,RR,0.0,106.2408057553957,106.2408057553957
Jay Gohil,MI,105.6646666666667,0.0,105.6646666666667
A Mishra,CSK,0.0,105.4860446570973,105.4860446570973
DP Conway,GT,101.3973500761035,0.0,101.3973500761035
OEG Baartman,RCB,0.0,100.9803437283437,100.9803437283437
TH David,LSG,100.5183846153846,0.0,100.5183846153846
Nithish Kumar Reddy,GT,99.74368656716418,0.0,99.74368656716418
M Markande,PBKS,0.0,97.10500250089316,97.10500250089316
Suyash Sharma,MI,0.0,93.5153733400011,93.5153733400011
A Raghuvanshi,KKR,91.834,0.0,91.834
Harsh Dubey,LSG,0.0,91.58631362467867,91.58631362467867
SZ Mulani,MI,0.0,91.01675625823451,91.01675625823451
Sikandar Raza,DC,0.0,87.64329914529914,87.64329914529914
V Nigam,GT,0.0,83.45506257982119,83.45506257982119
VG Arora,KKR,0.0,82.63276836158192,82.63276836158192
JO Holder,SRH,0.0,82.6173841122083,82.6173841122083
Noor Ahmad,RCB,0.0,81.58540898345154,81.58540898345154
Mukesh Kumar,GT,0.0,81.56167706167706,81.56167706167706
JD Unadkat,SRH,0.0,75.91469841269841,75.91469841269841
Yash Thakur,PBKS,0.0,73.42198250728863,73.42198250728863
DJ Hooda,GT,72.18494736842106,0.0,72.18494736842106
Ramandeep Singh,LSG,0.0,70.33170174652933,70.33170174652933
Mujeeb Ur Rahman,CSK,0.0,69.57434432234433,69.57434432234433
MR Marsh,DC,0.0,58.40092807424595,58.40092807424595
MM Sharma,MI,0.0,54.96092018779343,54.96092018779343
