bowler,bowling_team,num_innings,wkts,balls,strike_rate,wkt_contribution_%
B Kumar,KKR,12,22,267,12.14,25.58
M Pathirana,RCB,14,22,329,14.95,22.92
M Prasidh Krishna,DC,13,17,306,18.0,21.25
AD Russell,DC,15,16,222,13.88,20.0
CV Varun,PBKS,10,17,207,12.18,19.32
YS Chahal,RCB,8,18,177,9.83,18.75
R Shepherd,GT,10,17,234,13.76,18.48
Shakib Al Hasan,PBKS,9,16,200,12.5,18.18
GJ Maxwell,RR,12,15,273,18.2,17.65
AK Markram,SRH,10,15,222,14.8,17.65
MA Starc,KKR,11,15,255,17.0,17.44
Rasikh Salam,GT,10,15,238,15.87,16.3
JJ Bumrah,MI,12,19,243,12.79,16.24
Arshdeep Singh,LSG,14,13,336,25.85,16.05
DS Rathi,KKR,7,13,162,12.46,15.12
AJ Tye,DC,6,12,120,10.0,15.0
WG Jacks,LSG,7,12,150,12.5,14.81
MP Yadav,CSK,8,12,159,13.25,14.46
T Natarajan,CSK,6,12,144,12.0,14.46
Fazalhaq Farooqi,CSK,10,12,228,19.0,14.46
A Zampa,SRH,9,12,216,18.0,14.12
LS Livingstone,SRH,10,12,144,12.0,14.12
DAJ Bracewell,MI,10,16,228,14.25,13.68
SP Narine,LSG,13,11,312,28.36,13.58
AR Patel,CSK,13,11,282,25.64,13.25
Rashid Khan,GT,7,12,162,13.5,13.04
JR Hazlewood,RR,10,11,240,21.82,12.94
Mayank Dagar,RR,10,11,234,21.27,12.94
TA Boult,MI,11,15,254,16.93,12.82
Ashutosh Sharma,RCB,15,12,252,21.0,12.5
A Nortje,RCB,9,12,209,17.42,12.5
Ravi Bishnoi,PBKS,9,11,192,17.45,12.5
NT Ellis,LSG,5,10,114,11.4,12.35
Suryansh Shedge,CSK,12,10,248,24.8,12.05
R Sai Kishore,GT,11,11,245,22.27,11.96
BA Stokes,LSG,5,9,120,13.33,11.11
Akash Vasisht,MI,6,13,114,8.77,11.11
Sandeep Sharma,RR,9,9,185,20.56,10.59
Kuldeep Yadav,SRH,9,9,180,20.0,10.59
KH Pandya,SRH,9,9,198,22.0,10.59
Washington Sundar,PBKS,14,9,282,31.33,10.23
Mohammad Nabi,GT,7,9,168,18.67,9.78
M Siddharth,CSK,5,8,120,15.0,9.64
HH Pandya,MI,9,11,174,15.82,9.4
RA Jadeja,DC,12,7,230,32.86,8.75
Zeeshan Ansari,LSG,6,7,132,18.86,8.64
C Green,RCB,12,8,174,21.75,8.33
Arshad Khan,KKR,9,7,216,30.86,8.14
R Ashwin,KKR,8,7,186,26.57,8.14
PHKD Mendis,KKR,6,7,113,16.14,8.14
MM Ali,KKR,7,7,168,24.0,8.14
PJ Cummins,PBKS,5,7,114,16.29,7.95
Shashank Singh,PBKS,12,7,138,19.71,7.95
CJ Jordan,GT,6,7,129,18.43,7.61
Yudhvir Singh,GT,8,7,168,24.0,7.61
MG Bracewell,DC,7,6,132,22.0,7.5
JC Archer,LSG,5,6,108,18.0,7.41
M Theekshana,MI,6,8,141,17.62,6.84
HV Patel,PBKS,5,6,84,14.0,6.82
Mohammad Ghazanfar,CSK,1,5,24,4.8,6.02
Harshit Rana,CSK,5,5,114,22.8,6.02
Atharva Ankolekar,MI,3,7,71,10.14,5.98
Swapnil Singh,RR,4,5,96,19.2,5.88
SH Johnson,SRH,4,5,93,18.6,5.88
Naveen-ul-Haq,SRH,3,5,69,13.8,5.88
Tanush Kotian,SRH,4,5,66,13.2,5.88
M Jansen,RR,7,5,162,32.4,5.88
K Kartikeya,GT,5,5,102,20.4,5.43
Harpreet Brar,RCB,10,5,228,45.6,5.21
AJ Turner,MI,5,6,102,17.0,5.13
Avesh Khan,DC,6,4,138,34.5,5.0
Ravi Teja,LSG,6,4,108,27.0,4.94
A Mishra,CSK,5,4,120,30.0,4.82
KA Maharaj,RR,3,4,66,16.5,4.71
C Sakariya,SRH,5,4,120,30.0,4.71
HR Shokeen,RR,5,4,120,30.0,4.71
Ashwani Kumar,RR,3,4,54,13.5,4.71
Mohammed Shami,PBKS,4,4,96,24.0,4.55
SS Ghosh,MI,3,5,48,9.6,4.27
RS Hangargekar,RCB,6,4,138,34.5,4.17
PWH de Silva,DC,2,3,48,16.0,3.75
Harsh Dubey,LSG,3,3,72,24.0,3.7
JO Holder,SRH,4,3,78,26.0,3.53
R Tewatia,RR,4,3,42,14.0,3.53
GF Linde,RR,2,3,48,16.0,3.53
TU Deshpande,RR,2,3,42,14.0,3.53
N Rana,KKR,5,3,108,36.0,3.49
Umran Malik,MI,4,4,78,19.5,3.42
M Markande,PBKS,6,3,108,36.0,3.41
DS Airee,RCB,2,3,48,16.0,3.12
Mohammed Siraj,RCB,5,3,96,32.0,3.12
K Gowtham,DC,4,2,90,45.0,2.5
BJ McMullen,DC,12,2,156,78.0,2.5
Sikandar Raza,DC,3,2,72,36.0,2.5
Abdul Samad,LSG,8,2,60,30.0,2.47
JD Unadkat,SRH,3,2,72,36.0,2.35
VG Arora,KKR,5,2,120,60.0,2.33
Yash Thakur,PBKS,5,2,105,52.5,2.27
GD Phillips,GT,2,2,24,12.0,2.17
Mukesh Kumar,GT,4,2,96,48.0,2.17
V Nigam,GT,3,2,54,27.0,2.17
Noor Ahmad,RCB,4,2,90,45.0,2.08
OEG Baartman,RCB,2,2,48,24.0,2.08
SZ Mulani,MI,2,2,48,24.0,1.71
Suyash Sharma,MI,4,2,84,42.0,1.71
LH Ferguson,MI,1,2,24,12.0,1.71
Mustafizur Rahman,DC,4,1,90,90.0,1.25
S Gopal,DC,1,1,24,24.0,1.25
N Sindhu,DC,1,1,18,18.0,1.25
Ramandeep Singh,LSG,7,1,84,84.0,1.23
Gurjapneet Singh,LSG,1,1,18,18.0,1.23
Mujeeb Ur Rahman,CSK,3,1,60,60.0,1.2
Jagjit Singh,CSK,3,1,66,66.0,1.2
V Kaverappa,SRH,1,1,24,24.0,1.18
A Kamboj,RR,1,1,24,24.0,1.18
Kartik Tyagi,PBKS,2,1,24,24.0,1.14
DL Chahar,PBKS,1,1,24,24.0,1.14
Mohsin Khan,RCB,2,1,42,42.0,1.04
Abhishek Sharma,MI,9,1,120,120.0,0.85
MM Sharma,MI,2,1,30,30.0,0.85
