team,matches_played,points,#Won,#Lost,NRR,Recent Form (Latest first)
GT,14,16,8,6,0.4487,WWllw
RCB,14,16,8,6,0.2333,WwLwL
MI,14,15,7,6,0.6508,WLwWt
DC,14,14,7,7,0.12,llWwW
CSK,14,14,7,7,-0.0563,WlLLl
PBKS,14,14,7,7,-0.3343,LwWll
RR,14,14,7,7,-0.3606,lwWlw
LSG,14,13,6,7,-0.1449,wlLWT
KKR,14,12,6,8,-0.0955,lwlWL
SRH,14,12,6,8,-0.4495,LLlWl
