striker,batting_team,num_innings,strike_rate,runs,outs
V Nigam,GT,1,300.0,9,0
VG Arora,KKR,2,300.0,6,1
K Kartikeya,GT,2,266.67,16,0
Mohammed Siraj,RCB,2,240.0,12,0
JO Holder,SRH,2,236.36,26,1
RS Hangargekar,RCB,4,233.33,35,1
Rasikh Salam,GT,2,225.0,9,1
Umran Malik,MI,2,222.22,20,1
MA Agarwal,CSK,4,212.5,51,2
RA Jadeja,DC,7,208.93,117,4
C Green,RCB,8,200.0,150,2
Yudhvir Singh,GT,4,200.0,34,0
DS Rathi,KKR,3,200.0,24,2
Mujeeb Ur Rahman,CSK,1,200.0,8,0
GF Linde,RR,2,200.0,8,1
A Mishra,CSK,1,200.0,4,1
SH Johnson,SRH,1,200.0,2,0
Azmatullah Omarzai,RR,1,192.31,25,0
DS Airee,RCB,2,191.67,46,2
YBK Jaiswal,RR,14,191.46,381,7
Aniket Verma,RR,14,189.67,459,10
Suyash Sharma,MI,2,187.5,15,0
R Parag,GT,15,185.99,385,10
VR Iyer,SRH,11,183.33,275,7
Yuvraj Chaudhary,RCB,3,182.76,53,3
Abishek Porel,DC,13,182.58,325,10
A Badoni,SRH,3,181.48,49,2
Naman Dhir,GT,16,181.43,557,14
M Jansen,RR,4,177.42,55,2
N Rana,KKR,12,177.33,266,11
Suryansh Shedge,CSK,12,177.03,131,8
Ramandeep Singh,LSG,4,176.92,23,2
Abdul Samad,LSG,7,176.47,120,2
GD Phillips,GT,5,176.12,118,2
SA Yadav,DC,15,175.91,533,13
Atharva Ankolekar,MI,1,175.0,7,1
JM Sharma,RCB,15,173.45,392,11
Sameer Rizvi,LSG,7,173.42,137,3
PHKD Mendis,KKR,5,173.4,163,2
BJ McMullen,DC,14,170.83,410,12
JP Inglis,GT,16,170.34,649,15
PD Salt,RCB,16,169.23,528,15
Ashutosh Sharma,RCB,16,169.14,411,15
GJ Maxwell,RR,14,168.71,523,13
J Fraser-McGurk,RCB,3,168.57,59,2
DAJ Bracewell,MI,5,167.86,94,4
Priyansh Arya,SRH,13,167.65,513,13
KD Karthik,MI,9,166.15,216,6
Dhruv Jurel,LSG,8,165.25,195,5
Abhishek Sharma,MI,17,165.17,664,14
Arshad Khan,KKR,8,165.12,142,4
N Sindhu,DC,14,164.71,560,14
P Simran Singh,SRH,13,164.5,431,13
N Wadhera,RR,8,164.47,125,5
HC Brook,PBKS,4,164.15,87,4
JC Buttler,KKR,14,163.98,346,10
Shubman Gill,LSG,14,163.75,542,12
AD Russell,DC,13,162.7,205,8
RD Rickelton,RR,14,162.2,399,13
BM Duckett,CSK,14,162.17,373,14
KA Pollard,CSK,10,162.03,384,6
HH Pandya,MI,10,161.86,191,8
Rahul Singh,MI,6,161.73,131,5
SP Narine,LSG,12,160.74,262,12
S Dube,RR,12,159.44,287,12
FH Allen,LSG,14,158.58,536,13
WL Madsen,MI,6,158.38,274,3
Tilak Varma,CSK,14,158.18,435,12
V Kohli,DC,14,157.74,489,14
TM Head,CSK,14,157.51,430,14
RK Singh,RCB,13,157.45,296,9
Urvil Patel,DC,9,157.36,203,7
RR Rossouw,MI,8,157.14,198,6
Sanvir Singh,SRH,1,157.14,11,1
N Pooran,MI,17,156.38,527,13
AK Markram,SRH,8,156.1,192,5
PP Shaw,MI,17,155.99,482,17
B Sai Sudharsan,RCB,16,155.47,583,16
Washington Sundar,PBKS,9,155.32,146,4
R Ashwin,KKR,6,155.0,62,2
V Suryavanshi,PBKS,14,154.1,564,14
AM Rahane,KKR,14,153.85,380,14
TH David,LSG,2,153.85,40,1
SV Samson,GT,16,153.46,666,15
SS Iyer,LSG,13,151.19,381,11
AR Patel,CSK,14,150.98,231,11
Kartik Sharma,LSG,5,150.7,107,4
Anmolpreet Singh,CSK,5,150.0,189,5
BA Stokes,LSG,5,150.0,78,3
JG Bethell,SRH,3,150.0,66,3
A Raghuvanshi,KKR,5,150.0,66,5
D Padikkal,GT,2,150.0,12,2
A Nortje,RCB,1,150.0,6,0
MP Stoinis,PBKS,9,149.41,254,6
WG Jacks,LSG,7,148.65,110,6
RD Gaikwad,RCB,16,147.95,361,16
Shashank Singh,PBKS,14,147.37,308,7
R Sai Kishore,GT,5,147.37,28,3
H Klaasen,PBKS,14,147.24,293,13
JM Bairstow,KKR,14,145.96,416,13
KL Rahul,SRH,13,145.75,360,13
Salman Nizar,PBKS,4,145.61,83,3
SB Dubey,GT,2,145.0,29,1
DP Conway,GT,3,143.48,66,3
Akash Vasisht,MI,6,142.86,70,6
Ishan Kishan,KKR,12,142.62,348,11
T Stubbs,SRH,10,142.55,134,6
R Shepherd,GT,8,140.0,42,7
RM Patidar,RR,10,138.89,350,9
Harpreet Brar,RCB,5,138.46,36,4
LG Pretorius,GT,8,136.67,205,8
Smaran Ravichandran,PBKS,9,136.6,209,8
MG Bracewell,DC,5,136.36,30,3
M Theekshana,MI,1,136.36,15,1
RR Pant,KKR,7,135.05,131,7
Jay Gohil,MI,7,135.0,81,3
HV Patel,PBKS,2,135.0,27,1
Tanush Kotian,SRH,3,135.0,27,2
Q de Kock,PBKS,12,134.17,322,11
LS Livingstone,SRH,13,133.45,371,12
F du Plessis,CSK,3,131.76,112,3
Samarth Vyas,MI,1,131.25,21,1
K Gowtham,DC,3,128.57,36,2
RK Bhui,CSK,12,125.22,144,9
Swapnil Singh,RR,1,125.0,10,1
Nithish Kumar Reddy,GT,5,123.88,83,3
CV Varun,PBKS,3,123.08,16,2
PJ Cummins,PBKS,2,122.22,11,1
G Coetzee,KKR,1,120.0,12,0
PN Mankad,SRH,1,120.0,6,1
DJ Hooda,GT,4,118.42,45,4
YS Chahal,RCB,3,118.18,13,1
Rashid Khan,GT,4,114.81,31,2
KH Pandya,SRH,7,113.33,34,6
AJ Turner,MI,5,111.94,75,3
Ravi Bishnoi,PBKS,3,111.11,10,1
A Mhatre,KKR,4,106.45,33,4
AJ Tye,DC,4,105.0,21,1
R Tewatia,RR,2,100.0,11,2
CJ Green,RCB,1,100.0,10,1
A Manohar,GT,2,100.0,9,1
M Markande,PBKS,2,100.0,7,1
C Sakariya,SRH,1,100.0,1,0
Jagjit Singh,CSK,1,100.0,1,0
Mukesh Kumar,GT,1,100.0,1,0
Sandeep Sharma,RR,1,100.0,1,0
Fazalhaq Farooqi,CSK,1,94.44,17,1
MK Lomror,SRH,3,92.59,25,3
Shakib Al Hasan,PBKS,5,92.31,24,4
Sumit Kumar,DC,2,91.67,22,2
TU Deshpande,RR,1,90.91,10,1
M Shahrukh Khan,RCB,1,90.0,9,1
LH Ferguson,MI,1,87.5,7,1
JJ Bumrah,MI,2,85.71,6,1
M Prasidh Krishna,DC,3,83.33,5,0
RG Sharma,PBKS,2,81.82,27,2
MP Yadav,CSK,2,80.0,4,1
JR Hazlewood,RR,3,75.0,12,1
Mohammad Nabi,GT,4,75.0,6,3
AS Roy,SRH,2,75.0,3,1
MM Ali,KKR,5,74.42,32,5
D Brevis,PBKS,1,71.43,5,1
Noor Ahmad,RCB,3,69.23,9,1
Kuldeep Yadav,SRH,4,68.42,13,3
TA Boult,MI,4,66.67,10,2
MA Starc,KKR,4,65.22,15,3
Harshit Rana,CSK,3,60.0,9,1
DA Miller,PBKS,1,60.0,3,1
Mohammed Shami,PBKS,1,50.0,1,0
T Natarajan,CSK,2,50.0,1,0
Ashwani Kumar,RR,1,50.0,1,1
M Pathirana,RCB,1,42.86,3,0
CJ Jordan,GT,2,42.86,3,1
A Zampa,SRH,3,33.33,2,0
Arshdeep Singh,LSG,1,33.33,2,1
NT Ellis,LSG,1,33.33,1,0
Sikandar Raza,DC,1,33.33,1,0
Avesh Khan,DC,2,30.77,4,1
JC Archer,LSG,2,28.57,4,1
R Powell,KKR,1,16.67,1,1
B Kumar,KKR,3,16.67,1,3
